Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WIFI
2018-09-24,-1.7376429738562091,-2.4116625816993467,-1.187295751633987,-1.962009803921569,-1.9137050653594774,0.0,1.0
2018-09-25,-1.7378036333945703,-2.408858950806287,-1.1889161053276178,-1.9597877117779139,-1.910696060420494,0.0,1.0
2018-09-26,-1.7423312883435582,-2.415439672801636,-1.1933537832310839,-1.9631901840490797,-1.9106339468302658,0.0,1.0
2018-09-27,-1.7427754518533645,-2.4055958337588073,-1.194118247727969,-1.9608904319411824,-1.907995506994792,0.0,1.0
2018-09-28,-1.7471358428805237,-2.4097790507364976,-1.1951718494271686,-1.9652209492635027,-1.9118248772504092,0.0,1.0
2018-10-01,-1.7476970317297853,-2.4122824974411463,-1.1957011258955987,-1.9663254861821906,-1.9133060388945755,0.0,1.0
2018-10-02,-1.7481822836661547,-2.4171018945212492,-1.1959037378392217,-1.966205837173579,-1.9132616487455196,0.0,1.0
2018-10-03,-1.7520008208495794,-2.424584444900472,-1.1994664477734456,-1.9692181407757028,-1.9153498871331829,0.0,1.0
2018-10-04,-1.7514610888957243,-2.421716394955398,-1.1981954270480877,-1.9687275710037935,-1.9130523941351378,0.0,1.0
2018-10-05,-1.7288966010003062,-2.4097172603858326,-1.1712769215065837,-1.9745840563437789,-1.9227314484025724,0.0,1.0
2018-10-08,-1.7309265698506853,-2.412763346287584,-1.1662916751892003,-1.9875230108406627,-1.9294334219676823,0.0,1.0
2018-10-09,-1.7290942547536292,-2.4122878756900428,-1.16295236148027,-1.988039255775915,-1.9305867920670619,0.0,1.0
2018-10-10,-1.7306038894575233,-2.416274309109519,-1.1632548618219039,-1.9906857727737974,-1.9344933469805528,0.0,1.0
2018-10-11,-1.5958508660338584,-2.3811527546726685,-0.9788629024366375,-1.9206380272042274,-1.9090909090909092,0.0,1.0
2018-10-12,-1.5752322574466047,-2.343645244708361,-0.9448328704147112,-1.8654343453692175,-1.848481946173738,0.0,1.0
2018-10-15,-1.5428217585976949,-2.3814423168524343,-0.8964466037915596,-1.8577688863484805,-1.8481470896446606,0.0,1.0
2018-10-16,-1.5445061255742727,-2.4149119448698313,-0.8842840735068912,-1.8684915773353752,-1.8590160796324655,0.0,1.0
2018-10-17,-1.4812308833070722,-2.320140884233942,-0.8231532116044119,-1.819538418759848,-1.8246362035406434,0.0,1.0
2018-10-18,-1.4807603152526658,-2.3190542420027818,-0.8242929995363932,-1.8221604079740379,-1.825776541492814,0.0,1.0
2018-10-19,-1.4534691629955947,-2.297081497797357,-0.7919419970631425,-1.8172723935389132,-1.8180066079295152,0.0,1.0
2018-10-22,-1.4533455545371219,-2.287992667277727,-0.7866177818515123,-1.8187901008249312,-1.8192483959670027,0.0,1.0
2018-10-23,-1.4541788856304985,-2.287115102639296,-0.7889479472140762,-1.816440615835777,-1.8174486803519063,0.0,1.0
2018-10-24,-1.4522502744237102,-2.282199048664471,-0.7791803878521771,-1.8158616904500549,-1.8178741309915842,0.0,1.0
2018-10-25,-1.3602413853419626,-2.1674829456008395,-0.7159349309078188,-1.7753192233689,-1.7268672380619206,0.0,1.0
