Date,IMGN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2395104895104894,-2.3073593073593073,-0.5132367632367633,-1.6878954378954378,-1.5769230769230769,0.0
2018-09-25,1.0,-1.2509807194724982,-2.308071112594942,-0.526082964694099,-1.688423336950171,-1.5729071029129456,0.0
2018-09-26,1.0,-1.2570902702250482,-2.3166569062160125,-0.533924537772944,-1.691123567305279,-1.5673052790094537,0.0
2018-09-27,1.0,-1.2584175787450915,-2.3066254490767815,-0.5356337204444815,-1.6891970924889297,-1.565043027821873,0.0
2018-09-28,1.0,-1.2614548494983278,-2.3062709030100335,-0.5363712374581939,-1.6907190635451506,-1.566387959866221,0.0
2018-10-01,1.0,-1.2659075686537173,-2.3062625586068317,-0.5364199598124582,-1.6950770261219021,-1.5688211654387139,0.0
2018-10-02,1.0,-1.2660189295585895,-2.3117514029650725,-0.5359745372309239,-1.6941117346511434,-1.5680542759025042,0.0
2018-10-03,1.0,-1.2656616415410384,-2.294556113902847,-0.533752093802345,-1.701256281407035,-1.5799832495812396,0.0
2018-10-04,1.0,-1.2657665213015767,-2.30040254948004,-0.5345521637034553,-1.7014424689701444,-1.5843676618584368,0.0
2018-10-05,1.0,-1.2793036423561226,-2.336432012169357,-0.5258176286655962,-1.7164708865038452,-1.5930026197921068,0.0
2018-10-08,1.0,-1.2910702113156098,-2.362815269256987,-0.528118609406953,-1.7299761417859576,-1.6088104976141786,0.0
2018-10-09,1.0,-1.2905660377358492,-2.3813893653516294,-0.5066037735849057,-1.7567753001715265,-1.6409948542024015,0.0
2018-10-10,1.0,-1.3024084862185896,-2.4265716024693504,-0.49752195461264237,-1.7856708112338058,-1.6827232414572646,0.0
2018-10-11,1.0,-1.19432918395574,-2.5147821576763483,-0.29183955739972334,-1.8283195020746887,-1.8153526970954355,0.0
2018-10-12,1.0,-1.2247855917667239,-2.5173241852487136,-0.27787307032590053,-1.7900514579759863,-1.766295025728988,0.0
2018-10-15,1.0,-1.1835037255241727,-2.652053370299775,-0.19597989949748745,-1.8198752382602668,-1.8125108300121298,0.0
2018-10-16,1.0,-1.1794204407426687,-2.6781190352247095,-0.17959396147839665,-1.8234426513968418,-1.8154606975533576,0.0
2018-10-17,1.0,-1.127975687995948,-2.5761438460239745,-0.13819010636501772,-1.7919972986662165,-1.8074455512409253,0.0
2018-10-18,1.0,-1.1272051996285979,-2.5755887566472526,-0.13792521313412678,-1.7927745420781631,-1.8074618046762891,0.0
2018-10-19,1.0,-1.097462949007787,-2.5563091350581932,-0.10123084652097464,-1.8049903709285775,-1.8131122833458932,0.0
2018-10-22,1.0,-1.097929068500042,-2.5627567703529803,-0.10874486459294039,-1.803135742433135,-1.8118554540119056,0.0
2018-10-23,1.0,-1.1552673654290284,-2.715313554805472,-0.07088292769586071,-1.9740628886125422,-1.9672233078699592,0.0
2018-10-24,1.0,-1.1594241535590508,-2.711721318759442,-0.0519861370301253,-1.9837376699546787,-1.979561005953968,0.0
2018-10-25,1.0,-1.0578000339500935,-2.573501952130368,-0.009336275674758107,-1.9691054150398914,-1.8777796638940758,0.0
2018-10-26,1.0,-1.0124249499666444,-2.5259339559706473,-0.0,-1.958805870580387,-1.8417278185456971,0.0
2018-10-29,1.0,-0.9692282240052941,-2.5323020928116473,-0.0,-1.9331623790222516,-1.8372900984365954,0.0
2018-10-30,1.0,-0.9762279466578315,-2.53623788619233,-0.0,-1.9360556613931914,-1.8344239211463595,0.0
2018-10-31,1.0,-0.9971851974501201,-2.4913486215746334,-0.0,-1.9519827800314595,-1.8383144300024836,0.0
2018-11-01,1.0,-0.9508577111129527,-2.5364216458108895,-0.0,-1.954752631142786,-1.8450319051959891,0.0
2018-11-02,1.0,-0.9475939353988135,-2.5106295319709955,-0.0,-1.949241924851681,-1.8325642715886619,0.0
2018-11-05,1.0,-0.9505653214492036,-2.5075513741025004,-0.0,-1.9528761244532475,-1.8417925229017085,0.0
2018-11-06,1.0,-0.9537243256619649,-2.508537490720119,-0.0,-1.9493524705105996,-1.8371690175699085,0.0
2018-11-07,1.0,-0.9571203450277848,-2.5264161897652815,-0.0,-1.9597744049100108,-1.8506261922534628,0.0
2018-11-08,1.0,-0.9334705640181145,-2.516920543433512,-0.0,-1.942774804446274,-1.840675174969123,0.0
2018-11-09,1.0,-0.9323723228995058,-2.5177100494233935,-0.0,-1.9458813838550248,-1.841186161449753,0.0
2018-11-12,1.0,-0.9248833974306522,-2.484084772113575,-0.0,-1.9458309467310368,-1.827837329187464,0.0
2018-11-13,1.0,-0.8654762866607417,-2.469742263876545,-0.0,-1.936252726832027,-1.8080310252888423,0.0
2018-11-14,1.0,-0.8659019306890702,-2.4689393327409324,-0.0,-1.9359398982147185,-1.8074157847968333,0.0
2018-11-15,1.0,-0.8636180337123961,-2.4709250746027904,-0.0,-1.9408016775546415,-1.7898217598193402,0.0
