Date,IWF,IWM,MTUM,NNI,SPY,VLUE,VXX
2018-09-24,-0.3138812042310821,-0.8308868999186331,-0.020406834825061025,1.0,-0.5477949552481691,-0.5416761594792514,0.0
2018-09-25,-0.31323250180056306,-0.8397171479080731,-0.014731879787860929,1.0,-0.5553918680023571,-0.5506776664702416,0.0
2018-09-26,-0.3130805842770393,-0.8410306909568358,-0.010733628754308224,1.0,-0.5589364844903988,-0.5586410635155097,0.0
2018-09-27,-0.3140598865238923,-0.8371650651011773,-0.011806762651274146,1.0,-0.5584926699681872,-0.558131907776065,0.0
2018-09-28,-0.3160140479863459,-0.8364788131420883,-0.011980175271605343,1.0,-0.5591623724029278,-0.5586372140348573,0.0
2018-10-01,-0.3161228910917088,-0.8362765049563449,-0.012210332830040046,1.0,-0.5591150791045756,-0.5586227269743321,0.0
2018-10-02,-0.31658571803623,-0.8318128117616171,-0.014111315305854556,1.0,-0.5597597794696771,-0.5594316093462852,0.0
2018-10-03,-0.31621071967460473,-0.8243127993177196,-0.013186380633733516,1.0,-0.562389293446172,-0.5640949944236698,0.0
2018-10-04,-0.3163074500541286,-0.8241642882918349,-0.013646950759439686,1.0,-0.5622478102548961,-0.5641505101203951,0.0
2018-10-05,-0.31667432849543575,-0.8297432192815395,-0.009555395022000394,1.0,-0.5633742693898995,-0.5643265252511986,0.0
2018-10-08,-0.3148512255865775,-0.8267793944160442,-0.006521169222702845,1.0,-0.5653427710053742,-0.5634421287193604,0.0
2018-10-09,-0.313780108143536,-0.8272652793708013,-0.0036375553006718015,1.0,-0.5668687530722596,-0.5655251515648042,0.0
2018-10-10,-0.3146170477625631,-0.8262137194522702,-0.004651772259713032,1.0,-0.5672541440083864,-0.5631592740614558,0.0
2018-10-11,-0.24758484809965675,-0.8167344604042202,-0.0,1.0,-0.5428053896021354,-0.5707067497139952,0.0
2018-10-12,-0.251990720421343,-0.8103015863063514,-0.0,1.0,-0.5232929964261083,-0.5494388362906766,0.0
2018-10-15,-0.22251809153848562,-0.8403872059146017,-0.0,1.0,-0.5184674665580653,-0.551361172895586,0.0
2018-10-16,-0.21581243526568533,-0.8543046357615893,-0.0,1.0,-0.5179059037694987,-0.5506418505382756,0.0
2018-10-17,-0.20417583098417025,-0.8316656856974691,-0.0,1.0,-0.5113844056875562,-0.5506025216071374,0.0
2018-10-18,-0.20496759589444635,-0.8342274179044311,-0.0,1.0,-0.510558466929207,-0.5511488728332662,0.0
2018-10-19,-0.18847491000830693,-0.8243546749530813,-0.0,1.0,-0.5125065378580439,-0.5513337230409501,0.0
2018-10-22,-0.18843834604971696,-0.8161149396997293,-0.0,1.0,-0.5167979325621461,-0.5551932069899089,0.0
2018-10-23,-0.19185331036180162,-0.8164225941422594,-0.0,1.0,-0.514336697021905,-0.5539318237755353,0.0
2018-10-24,-0.19004580528144116,-0.816010329244674,-0.0,1.0,-0.5140643733284146,-0.5540594546404746,0.0
2018-10-25,-0.16457661531111908,-0.7809327600621044,-0.0,1.0,-0.5118834348501135,-0.5284246984354473,0.0
2018-10-26,-0.16354430379746837,-0.7773045420699926,-0.0,1.0,-0.5112434847356664,-0.5263142218912882,0.0
2018-10-29,-0.15427536877096132,-0.7802807704864513,-0.0,1.0,-0.5065740658296976,-0.5268453387944083,0.0
2018-10-30,-0.14365854382476032,-0.7809207206672405,-0.0,1.0,-0.5075242646404085,-0.5360482027841263,0.0
2018-10-31,-0.14632851666175167,-0.7664995576526098,-0.0,1.0,-0.5046299026835741,-0.5315246240047183,0.0
2018-11-01,-0.13673174897664694,-0.7732426303854877,-0.0,1.0,-0.5036958506346262,-0.5312012250787762,0.0
2018-11-02,-0.14238856674281028,-0.7467931822175365,-0.0,1.0,-0.5123879810226674,-0.5270016985884145,0.0
2018-11-05,-0.14420990911756082,-0.7431251832307241,-0.0,1.0,-0.5128994429785986,-0.5314277338024039,0.0
2018-11-06,-0.14775625054957942,-0.7456400035173082,-0.0,1.0,-0.5102734707037547,-0.5274496585280066,0.0
