Date,IWF,IWM,KT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3169130262636927,-0.7551141612775505,1.0,-0.0,-0.6390062029827108,-0.5883925036294048,0.0
2018-09-25,-0.3211151435169911,-0.7539425932035633,1.0,-0.0,-0.6382052128010558,-0.5859782250082481,0.0
2018-09-26,-0.3228372446116777,-0.7558174076641251,1.0,-0.0,-0.6385120639007162,-0.583490114532792,0.0
2018-09-27,-0.3260353468741757,-0.7490108150883672,1.0,-0.0,-0.6388156159324716,-0.5834542337114218,0.0
2018-09-28,-0.3314249784896419,-0.7497848964193526,1.0,-0.0,-0.6419683632272155,-0.5861076179760407,0.0
2018-10-01,-0.33140246929926187,-0.7503558306577075,1.0,-0.0,-0.6419516070305518,-0.5863427228492933,0.0
2018-10-02,-0.33075202777128737,-0.7814346273240095,1.0,-0.0,-0.6410761373877633,-0.5846657098033979,0.0
2018-10-03,-0.3317343173431735,-0.768668232136867,1.0,-0.0,-0.6528346192552835,-0.6013418316001342,0.0
2018-10-04,-0.33591601261152476,-0.7625276715636948,1.0,-0.0,-0.6580465553095861,-0.5976386932313678,0.0
2018-10-05,-0.3306435411504721,-0.7619366503716601,1.0,-0.0,-0.658441036630282,-0.5972677961561643,0.0
2018-10-08,-0.33433207648801505,-0.769391327767304,1.0,-0.0,-0.6611904120657149,-0.6016361432803663,0.0
2018-10-09,-0.3260929243016951,-0.7885526044883673,1.0,-0.0,-0.6858142886555487,-0.6310479719991764,0.0
2018-10-10,-0.3252627240881929,-0.7900611305721547,1.0,-0.0,-0.6861391579091971,-0.63287313689127,0.0
2018-10-11,-0.23418609311335248,-0.7848173134727139,1.0,-0.0,-0.6649522409992652,-0.6558680114888784,0.0
2018-10-12,-0.2283012607830126,-0.7810882548108825,1.0,-0.0,-0.6592568015925679,-0.6492037159920372,0.0
2018-10-15,-0.2183166186740807,-0.7867474266044417,1.0,-0.0,-0.6566378711150829,-0.6481315989805713,0.0
2018-10-16,-0.2074687405718883,-0.8268914887197881,1.0,-0.0,-0.6636384968656767,-0.6542522878884381,0.0
2018-10-17,-0.18126729021209326,-0.7810235805559215,1.0,-0.0,-0.6616058490317481,-0.6694770122513501,0.0
2018-10-18,-0.18037484765637865,-0.7794393754735004,1.0,-0.0,-0.6640864323594321,-0.6700484205672123,0.0
2018-10-19,-0.1574458275703089,-0.7715866429559376,1.0,-0.0,-0.6814858723572417,-0.6826384772442864,0.0
2018-10-22,-0.15756558375300353,-0.7645238800566143,1.0,-0.0,-0.6842763569336098,-0.6851979855830946,0.0
2018-10-23,-0.1573507143327408,-0.7645993811310817,1.0,-0.0,-0.6845414444663902,-0.6853644084534861,0.0
2018-10-24,-0.1547462529581909,-0.7609124375493032,1.0,-0.0,-0.6847225874309756,-0.6864975019721272,0.0
2018-10-25,-0.1174297442374487,-0.7063467003473319,1.0,-0.0,-0.6841490369434797,-0.6496368803283865,0.0
2018-10-26,-0.09764393821188952,-0.6919956311437041,1.0,-0.0,-0.6911530660009362,-0.6398190045248868,0.0
2018-10-29,-0.06780982073265783,-0.7116757599376462,1.0,-0.0,-0.6836165237724084,-0.6546219797349961,0.0
2018-10-30,-0.05872268802792756,-0.7119035002961069,1.0,-0.0,-0.6841006140323536,-0.6621886980643955,0.0
