Date,IWF,IWM,MTUM,RPD,SPY,VLUE,VXX
2018-09-24,-0.7688956334442921,-1.3725768552966515,-0.4407186214999021,1.0,-0.7532798120227139,-0.5597709026825926,0.0
2018-09-25,-0.7752291329706417,-1.3706807822379063,-0.44870852325638394,1.0,-0.7515561437043573,-0.5551144439543205,0.0
2018-09-26,-0.7773090695050768,-1.373571393535096,-0.4523470839260313,1.0,-0.7514592632559965,-0.5503997645558445,0.0
2018-09-27,-0.7772462767531315,-1.3903244895946347,-0.4497484959068942,1.0,-0.7575204655291449,-0.5566130782128416,0.0
2018-09-28,-0.7828472565496787,-1.3901631240731585,-0.4495304003954522,1.0,-0.7608996539792388,-0.5597132970835392,0.0
2018-10-01,-0.7848451874567217,-1.3888614106241963,-0.4493026016421011,1.0,-0.7626867148085864,-0.5604411910179048,0.0
2018-10-02,-0.7846321417962175,-1.3975641152589364,-0.44707396771957625,1.0,-0.7618576096643231,-0.5598079017724528,0.0
2018-10-03,-0.7841195980397011,-1.385030444037424,-0.44517598138706005,1.0,-0.7671897430820257,-0.5687342210781645,0.0
2018-10-04,-0.7837971674754878,-1.3857581459839554,-0.44547885510547686,1.0,-0.76691096365257,-0.570020798256908,0.0
2018-10-05,-0.7713694173321503,-1.380705905550626,-0.432613625160209,1.0,-0.7710243517696933,-0.5737454402050675,0.0
2018-10-08,-0.7690527766837337,-1.3767723513194172,-0.426201260338716,1.0,-0.7776683733753446,-0.5735033477747145,0.0
2018-10-09,-0.7762683396729734,-1.3816627970162525,-0.4368917650545868,1.0,-0.776416539050536,-0.5687892110853134,0.0
2018-10-10,-0.7762462328936317,-1.3824909836470531,-0.4363914826342572,1.0,-0.7764932562620424,-0.5688454127760486,0.0
2018-10-11,-0.7120479041916168,-1.389173652694611,-0.34864670658682634,1.0,-0.756119760479042,-0.5844311377245509,0.0
2018-10-12,-0.7169793488020415,-1.3816454798922548,-0.3457303530078919,1.0,-0.7295968999574689,-0.5516752516421719,0.0
2018-10-15,-0.7093670408452034,-1.394821243278936,-0.3342137534194888,1.0,-0.7278558626544667,-0.5503254409961325,0.0
2018-10-16,-0.7113995751711116,-1.3901345291479819,-0.3384942176067972,1.0,-0.728770356384234,-0.5515223035166391,0.0
2018-10-17,-0.6923683234421364,-1.345372774480712,-0.3252967359050445,1.0,-0.7193527448071216,-0.55410793768546,0.0
2018-10-18,-0.6913448611561819,-1.3437949098326456,-0.32608594872745816,1.0,-0.7206898150294375,-0.5539845162486672,0.0
2018-10-19,-0.6814041221935958,-1.3362164151637834,-0.3167096061832904,1.0,-0.7192675745307324,-0.5471107839528893,0.0
2018-10-22,-0.6801183377247724,-1.3525169879350993,-0.32889566865437064,1.0,-0.715619655156474,-0.545462950122498,0.0
2018-10-23,-0.6875579454848879,-1.3555071388837383,-0.34053402558872614,1.0,-0.7088355275356943,-0.5431577971444465,0.0
