Date,HDB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34763766403006335,-0.6044185835075916,-0.06685456253598812,-0.5580810376700913,-0.45358668969906357,0.0
2018-09-25,1.0,-0.34662071489569357,-0.6137611321215078,-0.06054044162498475,-0.5659387580822252,-0.4630352568012688,0.0
2018-09-26,1.0,-0.34890185417112135,-0.6172221034303693,-0.06414760057427377,-0.5661178483061978,-0.45825823991202613,0.0
2018-09-27,1.0,-0.3527471520630364,-0.6091072901078093,-0.06667073878386219,-0.5669303362550774,-0.4586629203188468,0.0
2018-09-28,1.0,-0.35383440268866484,-0.608615948670944,-0.06684998472349526,-0.5671249618087382,-0.4589062022609227,0.0
2018-10-01,1.0,-0.35330092040485583,-0.6105250282848669,-0.06727211570803901,-0.567103935418769,-0.45962144145797024,0.0
2018-10-02,1.0,-0.3533549452565906,-0.6111382959202398,-0.06752706587558872,-0.5667930760291149,-0.4594776438925929,0.0
2018-10-03,1.0,-0.3529465704853894,-0.6058503484533562,-0.06690915759872845,-0.5683457635407752,-0.46255654725516565,0.0
2018-10-04,1.0,-0.361083003710177,-0.5989942660902094,-0.06754975009965353,-0.5798914543280288,-0.4587434458651458,0.0
2018-10-05,1.0,-0.35821169558432014,-0.5979681140793781,-0.06208880320695247,-0.5823005599926557,-0.4594693840080786,0.0
2018-10-08,1.0,-0.3581482161434429,-0.5980662138180037,-0.061624135609815806,-0.5825224894437305,-0.45942720763723155,0.0
2018-10-09,1.0,-0.3564059390785244,-0.5990815857951937,-0.05654370120924537,-0.5857339660186744,-0.4636154905862544,0.0
2018-10-10,1.0,-0.35600490196078427,-0.6006433823529411,-0.05523897058823529,-0.5862132352941176,-0.46562499999999996,0.0
2018-10-11,1.0,-0.3182089552238806,-0.5995522388059701,-0.000955223880597015,-0.5828955223880596,-0.4834328358208955,0.0
2018-10-12,1.0,-0.32777744999705,-0.5931028379255413,-0.0,-0.5667591008319075,-0.4623871614844533,0.0
2018-10-15,1.0,-0.34478136542356724,-0.5813475515310378,-0.01146788990825688,-0.5753008459430478,-0.4657452639104015,0.0
