Date,IBOC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14494106352338793,-0.66614219425036,-0.10155208277774816,-0.36364606112326,-0.39052749479972265,0.0
2018-09-25,1.0,-0.14364035087719298,-0.6703840393667095,-0.09761446298673514,-0.36740479246897734,-0.39535194694052206,0.0
2018-09-26,1.0,-0.14390778776208815,-0.6707851946940522,-0.0983632862644416,-0.3671640992725717,-0.3941217372700043,0.0
2018-09-27,1.0,-0.14279157667386608,-0.6901187904967603,-0.09438444924406046,-0.3728671706263499,-0.39959503239740823,0.0
2018-09-28,1.0,-0.14105160819897916,-0.6919171460206864,-0.09484458127413647,-0.37295093035188637,-0.39982176132220687,0.0
2018-10-01,1.0,-0.14084278768233388,-0.6924905456509994,-0.09508373851971909,-0.3728254997298758,-0.4,0.0
2018-10-02,1.0,-0.14103676390846978,-0.7116907059971804,-0.08968658496909228,-0.37119076022123415,-0.3976249864439866,0.0
2018-10-03,1.0,-0.1411876355748373,-0.711822125813449,-0.0898590021691974,-0.3711225596529284,-0.3975054229934924,0.0
2018-10-04,1.0,-0.14033944331296672,-0.7154378818737271,-0.08985743380855397,-0.3698302783435166,-0.40010862186014934,0.0
2018-10-05,1.0,-0.12771547754482906,-0.7117395308521588,-0.07906712172923777,-0.3787312422124709,-0.411425320981635,0.0
2018-10-08,1.0,-0.12683679268259682,-0.7109571618001245,-0.07796390008930262,-0.37929261494330635,-0.4110897626715016,0.0
2018-10-09,1.0,-0.1295829607348996,-0.7120559304121615,-0.08343495108798743,-0.37725930141180936,-0.40750074519686746,0.0
2018-10-10,1.0,-0.13164886406766793,-0.710974353413219,-0.08564224909179634,-0.3787887003199046,-0.4040015181911837,0.0
2018-10-11,1.0,-0.09994155464640563,-0.7168322618351842,-0.05007704160246533,-0.37322671483980663,-0.41652940863928595,0.0
2018-10-12,1.0,-0.09538967584487242,-0.7218154809273702,-0.045970608520345915,-0.3730171361875962,-0.41646771712027164,0.0
2018-10-15,1.0,-0.07450039968025579,-0.7690647482014388,-0.0121236344257927,-0.3798827604583,-0.42899014122035706,0.0
2018-10-16,1.0,-0.07293666026871401,-0.7766314779270632,-0.006584559607592237,-0.3805182341650672,-0.4291426743442099,0.0
2018-10-17,1.0,-0.06156441071052077,-0.7546384145055871,-0.0,-0.38098250052709254,-0.43827746152224334,0.0
2018-10-18,1.0,-0.06072031217042818,-0.7530320607466778,-0.0,-0.3838061590381776,-0.4390160303733389,0.0
