Date,AY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20056393281843815,-0.4629152874831433,-0.0,-0.4289322054676965,-0.359470393527032,0.0
2018-09-25,1.0,-0.20215190804146957,-0.46212102644543024,-0.0,-0.4283473444278327,-0.35830004166564544,0.0
2018-09-26,1.0,-0.20127035511084954,-0.46176672552481857,-0.0,-0.4288306847164999,-0.36055522856582306,0.0
2018-09-27,1.0,-0.20336200347962458,-0.4574481119360925,-0.0,-0.4290475140287681,-0.36055772011075987,0.0
2018-09-28,1.0,-0.20619645005278273,-0.4570495666903984,-0.0,-0.43021628654898975,-0.361525053396509,0.0
2018-10-01,1.0,-0.2062658056912765,-0.4571681111738565,-0.0,-0.43018488055194093,-0.3616096638758624,0.0
2018-10-02,1.0,-0.20608755466024667,-0.46015329435464064,-0.0,-0.42946985702353463,-0.3609541590920258,0.0
2018-10-03,1.0,-0.20548349056603774,-0.45273191823899367,-0.0,-0.4324145047169811,-0.36613109276729555,0.0
2018-10-04,1.0,-0.2086721532981206,-0.4482250337796339,-0.0,-0.43640830364820044,-0.36339516029971747,0.0
2018-10-05,1.0,-0.20275166470818645,-0.4448932628280454,-0.0,-0.4369614179396788,-0.3635184097140619,0.0
2018-10-08,1.0,-0.20041539401343922,-0.441930360415394,-0.0,-0.43863164324984727,-0.3625167990226023,0.0
2018-10-09,1.0,-0.19838729383017714,-0.4417593158216249,-0.0,-0.43941356139279164,-0.36393402565668903,0.0
2018-10-10,1.0,-0.198275230254318,-0.44162411746023983,-0.0,-0.43944983265336035,-0.36366745657537924,0.0
2018-10-11,1.0,-0.15252870291298984,-0.42938134547869816,-0.0,-0.42352215580225827,-0.36670936521491604,0.0
2018-10-12,1.0,-0.15199436884091977,-0.4232050680431722,-0.0,-0.4150868137024871,-0.3560534960112623,0.0
2018-10-15,1.0,-0.13920022462971196,-0.4330673655146594,-0.0,-0.4121955214451178,-0.35545312024709264,0.0
2018-10-16,1.0,-0.13740904517910202,-0.4358578414169065,-0.0,-0.4115720268594558,-0.35483493600992017,0.0
2018-10-17,1.0,-0.1321617606091559,-0.42555019036122205,-0.0,-0.40892840560869165,-0.35486117559661995,0.0
2018-10-18,1.0,-0.13320620450687193,-0.4287109602102277,-0.0,-0.40803702239482803,-0.35559638147950046,0.0
2018-10-19,1.0,-0.1235462433081041,-0.4206433450249215,-0.0,-0.40903636699280044,-0.3543243492708141,0.0
2018-10-22,1.0,-0.12344594906872487,-0.4120719138512733,-0.0,-0.41526089568794194,-0.36007764477515364,0.0
2018-10-23,1.0,-0.12235838150289018,-0.4124161849710983,-0.0,-0.4165086705202312,-0.36085549132947975,0.0
2018-10-24,1.0,-0.1225741975968578,-0.42022451019127527,-0.0,-0.4194575499105213,-0.3618425639714598,0.0
2018-10-25,1.0,-0.09708781767206294,-0.388780862801845,-0.0,-0.4328479696120105,-0.34229447408881253,0.0
2018-10-26,1.0,-0.08301565232990984,-0.3811723550253397,-0.0,-0.4407319370318877,-0.3375117728842445,0.0
2018-10-29,1.0,-0.07998925116445718,-0.38113579362235755,-0.0,-0.4410829451809387,-0.3371327481189538,0.0
2018-10-30,1.0,-0.06171590449210845,-0.3852691218130312,-0.0,-0.4455011466342911,-0.35581635864921984,0.0
2018-10-31,1.0,-0.06497799816837545,-0.37195380732203087,-0.0,-0.4441912930822668,-0.35256539123053904,0.0
2018-11-01,1.0,-0.056129392080312326,-0.37856107083100954,-0.0,-0.44363636363636366,-0.3525711098717234,0.0
2018-11-02,1.0,-0.05995384751930416,-0.360499689358303,-0.0,-0.44903257300079874,-0.3493609656519038,0.0
2018-11-05,1.0,-0.06350337333838035,-0.3540780655073367,-0.0,-0.45053550355146843,-0.3585090512346641,0.0
2018-11-06,1.0,-0.0718689960234127,-0.36336624815691876,-0.0,-0.4471873464099012,-0.3516152093293418,0.0
2018-11-07,1.0,-0.0810155201243494,-0.3997315183344716,-0.0,-0.48988483549610234,-0.3844469042179883,0.0
2018-11-08,1.0,-0.09078552010301903,-0.40594744121715076,-0.0,-0.5005007869509229,-0.38746601802833025,0.0
