Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WLK
2018-09-24,-0.3720014194464159,-0.7726046841731725,-0.08598296664300924,-0.6332860184528034,-0.6847409510290986,0.0,1.0
2018-09-25,-0.3749556454474487,-0.7704918032786885,-0.09041231992051664,-0.6312894755517706,-0.6812149599034845,0.0,1.0
2018-09-26,-0.37592277115275413,-0.7717561044860874,-0.09245457126632595,-0.6308560477001703,-0.6780948324815446,0.0,1.0
2018-09-27,-0.3777927512589545,-0.7661890914249238,-0.09401375984112348,-0.6306475636569969,-0.6777076388396339,0.0,1.0
2018-09-28,-0.37348754448398575,-0.7758362989323843,-0.09505338078291814,-0.6336298932384341,-0.6807473309608539,0.0,1.0
2018-10-01,-0.3764299205302733,-0.7748832899754107,-0.09454402907950536,-0.6361854531199885,-0.6816221802501692,0.0,1.0
2018-10-02,-0.3784265497451253,-0.7595266103447047,-0.1002031868249385,-0.6403949666702313,-0.6861298256870924,0.0,1.0
2018-10-03,-0.37803748307560747,-0.7529394997505878,-0.09944416731988882,-0.6425212000285042,-0.6900520202380104,0.0,1.0
2018-10-04,-0.38932226436699346,-0.7447219637873042,-0.100300579689401,-0.658555786159021,-0.6854290417233235,0.0,1.0
2018-10-05,-0.3775812261492921,-0.7382930917650417,-0.0878775990584543,-0.6667498840900176,-0.695923535076144,0.0,1.0
2018-10-08,-0.3766201306816154,-0.737030028207234,-0.08080122826436249,-0.6772949619737922,-0.6988252936765809,0.0,1.0
2018-10-09,-0.3732060849598163,-0.74404420206659,-0.06522675086107922,-0.6904061423650975,-0.7149827784156142,0.0,1.0
2018-10-10,-0.37316720837847606,-0.7552184904297581,-0.05969664138678223,-0.6954135066811123,-0.7279162152401589,0.0,1.0
2018-10-11,-0.3114736693091733,-0.7647225368063421,-0.0,-0.6946135334088336,-0.7682616081540204,0.0,1.0
2018-10-12,-0.3204145222840738,-0.7582886951650737,-0.0,-0.6752441970381263,-0.7471204005181529,0.0,1.0
2018-10-15,-0.3109270134228188,-0.7644015659955258,-0.0,-0.6730984340044743,-0.7470987136465325,0.0,1.0
2018-10-16,-0.316005040957782,-0.7591892459567318,-0.0,-0.6758034026465027,-0.7496674368129944,0.0,1.0
2018-10-17,-0.29496601456025945,-0.7216299209881656,-0.0,-0.6729462098471518,-0.7607563054204189,0.0,1.0
2018-10-18,-0.29660870467037714,-0.7265876171051266,-0.0,-0.6717253776748366,-0.7620562104608151,0.0,1.0
2018-10-19,-0.28288795768358865,-0.716425087586728,-0.0,-0.6727004190423851,-0.7627945318403517,0.0,1.0
2018-10-22,-0.2832223061602912,-0.7136872467550306,-0.0,-0.6735114346542134,-0.7634091065174096,0.0,1.0
2018-10-23,-0.2804387442836021,-0.7149881373998557,-0.0,-0.6771653543307087,-0.7658082041054912,0.0,1.0
2018-10-24,-0.2804199910199288,-0.7249335129347563,-0.0,-0.6807584706248057,-0.7677615445722377,0.0,1.0
2018-10-25,-0.2555480607082631,-0.6902529510961215,-0.0,-0.6811467116357505,-0.7457672849915684,0.0,1.0
2018-10-26,-0.2433444816053512,-0.6796321070234114,-0.0,-0.6835117056856187,-0.7379933110367893,0.0,1.0
2018-10-29,-0.21636861070332314,-0.6953823568664087,-0.0,-0.6741959161884425,-0.7505338315761378,0.0,1.0
2018-10-30,-0.21439770490709542,-0.6952997297928413,-0.0,-0.6741835407145479,-0.752009874236915,0.0,1.0
2018-10-31,-0.21954777534646244,-0.675054704595186,-0.0,-0.6730322922883099,-0.747762084742391,0.0,1.0
2018-11-01,-0.21067620372210077,-0.6812702828001854,-0.0,-0.6720974898999933,-0.747433604874495,0.0,1.0
2018-11-02,-0.20913854677747737,-0.7014785888321484,-0.0,-0.6727078535429392,-0.7543139414572277,0.0,1.0
