Date,FSV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25982579708586484,-0.60500564546481,-0.019517178342921663,-0.4266089574708318,-0.37733211462981886,0.0
2018-09-25,1.0,-0.26022574576726687,-0.6042999193765117,-0.020397742542327332,-0.4260145122278957,-0.3765116904058049,0.0
2018-09-26,1.0,-0.260514364032141,-0.6046599123914972,-0.021069038725108166,-0.42578807341915026,-0.3753459998387573,0.0
2018-09-27,1.0,-0.259982685856509,-0.6175738556433287,-0.018585650903581864,-0.4298777188615951,-0.3793150091981387,0.0
2018-09-28,1.0,-0.2611178779266477,-0.6170794424143997,-0.01873054540533225,-0.43020706455542024,-0.3796183516037353,0.0
2018-10-01,1.0,-0.2606336805555555,-0.6207682291666666,-0.019151475694444444,-0.43090820312499994,-0.38121202256944436,0.0
2018-10-02,1.0,-0.2606866603338309,-0.623449586103949,-0.018699959288913014,-0.4304518930655448,-0.3807843669425974,0.0
2018-10-03,1.0,-0.2615125319414994,-0.6282281302669493,-0.01943674223889523,-0.43000054368509755,-0.37924753982493337,0.0
2018-10-04,1.0,-0.26453401462234666,-0.6232163726795859,-0.019976625988639144,-0.43394123882260216,-0.3762400456608594,0.0
2018-10-05,1.0,-0.25549123566327636,-0.6182644449253408,-0.010901320060592945,-0.43870374377840293,-0.381681454230686,0.0
2018-10-08,1.0,-0.2541508058637726,-0.6159660916281957,-0.008855052509381496,-0.4399179287816204,-0.38082125212602247,0.0
2018-10-09,1.0,-0.26115186090736214,-0.6210268948655256,-0.018799239337136647,-0.439038304808476,-0.3766367834827493,0.0
2018-10-10,1.0,-0.2615543366100038,-0.6202954434367024,-0.019334166078314233,-0.4391734100906968,-0.3751154075924619,0.0
2018-10-11,1.0,-0.23703684056971597,-0.6134525104103122,-0.0,-0.4278969843248548,-0.37392249953584594,0.0
2018-10-12,1.0,-0.24564665217732856,-0.6087354997512373,-0.0,-0.41087747780774564,-0.3532954515698238,0.0
2018-10-15,1.0,-0.22833041706928522,-0.6239847483742916,-0.0,-0.4067274294220574,-0.35256326551931266,0.0
2018-10-16,1.0,-0.2292782320211071,-0.622841618557509,-0.0,-0.40714714871607327,-0.3530210809539981,0.0
2018-10-17,1.0,-0.2179734775331531,-0.6003604995493756,-0.0,-0.40205999742500326,-0.35462855671430416,0.0
2018-10-18,1.0,-0.21792197759752802,-0.6004892493884383,-0.0,-0.4019827475215656,-0.3546028067464916,0.0
2018-10-19,1.0,-0.20519633140025037,-0.591191273024551,-0.0,-0.40431239302046346,-0.3540096568990624,0.0
2018-10-22,1.0,-0.20600283395594488,-0.5796212804328224,-0.0,-0.4211516166430504,-0.36957361844647685,0.0
2018-10-23,1.0,-0.20778919712541535,-0.5796048733997887,-0.0,-0.4196481467171522,-0.3687504829611313,0.0
2018-10-24,1.0,-0.21188956313867652,-0.6056426826385058,-0.0,-0.4323167047574014,-0.3771245435679197,0.0
2018-10-25,1.0,-0.19729236776530426,-0.5830657384334781,-0.0,-0.42893107611683406,-0.35959616718473036,0.0
2018-10-26,1.0,-0.17502695486984648,-0.5799917851825229,-0.0,-0.45214868819633414,-0.35996303332135343,0.0
2018-10-29,1.0,-0.17747958894583665,-0.5812965204625647,-0.0,-0.45705308161846137,-0.35967239292245085,0.0
