Date,IWF,IWM,MTUM,NIU,SPY,VLUE,VXX
2019-06-19,-0.0,-1.8006882312456982,-2.2363386097728837,1.0,-4.9242945629731585,-3.803165863730213,0.0
2019-06-20,-0.0,-1.7956113717913333,-2.2410985371239307,1.0,-4.9482473088600605,-3.8157604195418164,0.0
2019-06-21,-0.0,-1.8464120856063786,-2.253741782067422,1.0,-4.996782766820534,-3.8911735907119875,0.0
2019-06-24,-0.0,-1.8264578380646064,-2.24318277164033,1.0,-5.010208362466788,-3.904209201510278,0.0
2019-06-25,-0.0,-1.7994409503843467,-2.254367575122292,1.0,-5.016631726065688,-3.9058001397624036,0.0
2019-06-26,-0.0,-1.8021472392638036,-2.214166201896263,1.0,-4.978806469604016,-3.9481316229782486,0.0
2019-06-27,-0.0,-1.7952447552447555,-2.2054545454545456,1.0,-4.998041958041958,-3.9871328671328676,0.0
2019-06-28,-0.0,-1.6993934264353223,-2.271406404288334,1.0,-5.103399633234589,-4.032021441670193,0.0
2019-07-01,-0.0,-1.6682822523164647,-2.3398431931575194,1.0,-5.206414825374198,-4.040627227369921,0.0
2019-07-02,-0.0,-1.7016045929633445,-2.4569409686441923,1.0,-5.387604887384072,-4.175033122331811,0.0
2019-07-03,-0.0,-1.7441756937231043,-2.448582875797596,1.0,-5.4239501409704705,-4.222139783350645,0.0
2019-07-05,-0.0,-1.7430093209054593,-2.425210830004439,1.0,-5.405977215564433,-4.2210386151797605,0.0
2019-07-08,-0.0,-1.73247453565009,-2.4722887956860395,1.0,-5.497303774715398,-4.277112043139605,0.0
2019-07-09,-0.0,-1.7054333183655144,-2.4746295464750787,1.0,-5.499027091752732,-4.288579553958988,0.0
2019-07-10,-0.0,-1.7062874251497007,-2.474251497005988,1.0,-5.498502994011976,-4.291017964071856,0.0
2019-07-11,-0.0,-1.7189748201438848,-2.4737709832134294,1.0,-5.497901678657074,-4.297212230215828,0.0
2019-07-12,-0.0,-1.722355409050045,-2.472879832184597,1.0,-5.4949056038357815,-4.293377284986516,0.0
2019-07-15,-0.0,-1.7161676646706587,-2.4929640718562878,1.0,-5.509281437125749,-4.251796407185629,0.0
2019-07-16,-0.0,-1.7235955056179775,-2.492734082397004,1.0,-5.511610486891385,-4.253183520599251,0.0
2019-07-17,-0.0,-1.732744422817787,-2.484353945201377,1.0,-5.503967659829316,-4.251235214852523,0.0
2019-07-18,-0.0,-1.7263644497464958,-2.48836862511184,1.0,-5.479123173277662,-4.218162839248435,0.0
