Date,AVRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-19,1.0,-1.8594904266546057,-3.1717171717171717,-1.7310417608925073,-3.6250565355042967,-3.688677823006181,0.0
2019-02-20,1.0,-1.8601567209162144,-3.169379144062688,-1.7314647377938517,-3.6229656419529834,-3.685201928872815,0.0
2019-02-21,1.0,-1.86529749320447,-3.1707943219571124,-1.7379945635759588,-3.6325883418906675,-3.6945031712473573,0.0
2019-02-22,1.0,-1.8600543478260871,-3.171044685990338,-1.7350543478260871,-3.6348128019323678,-3.695652173913044,0.0
2019-02-25,1.0,-1.8584419521066993,-3.1773264625644133,-1.741739921188239,-3.6570172779630195,-3.7214307365868446,0.0
2019-02-26,1.0,-1.928411274823831,-3.3701153106982704,-1.780749519538757,-3.9274503523382447,-4.0086483023702755,0.0
2019-02-27,1.0,-1.931752643383531,-3.3647869272669015,-1.7843639859019544,-3.929509772508811,-4.009932713873758,0.0
2019-02-28,1.0,-1.9302996314693157,-3.3653260695401377,-1.7830475885274797,-3.9317417080596058,-4.012658227848101,0.0
2019-03-01,1.0,-1.9298301826337712,-3.3636654918295417,-1.7893303428388336,-3.930951618071131,-4.006568407561678,0.0
2019-03-04,1.0,-1.9200639488409275,-3.354276578737011,-1.7825739408473222,-3.926139088729017,-4.004156674660273,0.0
2019-03-05,1.0,-1.90297790585975,-3.364393211655459,-1.7635286583413383,-3.951008645533141,-4.028178033941723,0.0
2019-03-06,1.0,-1.8974811487245307,-3.3751002727418578,-1.7569388737365632,-3.9675918498315412,-4.046526552222044,0.0
2019-03-07,1.0,-1.88398406374502,-3.327171314741036,-1.7442231075697212,-3.960478087649402,-4.020239043824701,0.0
2019-03-08,1.0,-1.8643072528170133,-3.3150293604189813,-1.7365497540073005,-3.947627360736391,-4.006983018568481,0.0
2019-03-11,1.0,-1.8661267270128634,-3.3190408130855964,-1.7365412101000477,-3.9488645386692074,-4.010163569953947,0.0
2019-03-12,1.0,-1.8350369554961474,-3.2704827803113696,-1.733920427740211,-3.9135084132725275,-3.9726372071080363,0.0
2019-03-13,1.0,-1.8352201257861636,-3.2724842767295597,-1.7327044025157232,-3.9113207547169813,-3.9715408805031442,0.0
2019-03-14,1.0,-1.8303515379786566,-3.2693032015065913,-1.7299121155053359,-3.901443816698054,-3.962649089767734,0.0
2019-03-15,1.0,-1.8379826635145782,-3.27832939322301,-1.7396375098502757,-3.924034672970843,-3.9806146572104018,0.0
2019-03-18,1.0,-1.8337007874015747,-3.2774803149606297,-1.7346456692913386,-3.923464566929134,-3.9787401574803147,0.0
2019-03-19,1.0,-1.8343675417661098,-3.3217183770883056,-1.7266507557677009,-3.985043754972156,-4.043118536197295,0.0
2019-03-20,1.0,-1.8425171697811853,-3.3253473885960707,-1.7353457914071235,-4.003992972368632,-4.064686152371825,0.0
2019-03-21,1.0,-1.8593774940143655,-3.315243415802075,-1.7399840383080607,-4.00830007980846,-4.038786911412609,0.0
2019-03-22,1.0,-1.8378807106598987,-3.2914022842639596,-1.7415926395939085,-3.9920685279187818,-4.0,0.0
2019-03-25,1.0,-1.7937791601866253,-3.0933125972006223,-1.810108864696734,-3.93592534992224,-3.9189735614307932,0.0
2019-03-26,1.0,-1.7936507936507937,-3.0922813569872396,-1.8093681917211328,-3.940553999377529,-3.9257703081232496,0.0
2019-03-27,1.0,-1.8011487115802542,-3.0734244023595156,-1.8082893511331883,-3.9304563800062087,-3.909810617820552,0.0
2019-03-28,1.0,-1.8210609659540777,-3.1442596991290577,-1.8364212193190816,-4.026128266033254,-4.007442596991291,0.0
2019-03-29,1.0,-1.8175921531403259,-3.1371618414807783,-1.83546907134947,-4.023888625217529,-4.006169909824395,0.0
2019-04-01,1.0,-1.8060290404040404,-3.134469696969697,-1.8271780303030303,-4.018781565656566,-3.9963699494949494,0.0
2019-04-02,1.0,-1.8001889466225793,-3.1269091481656432,-1.8685246417886947,-4.003778932451583,-3.946307668083767,0.0
2019-04-03,1.0,-1.8057961883761222,-3.126634115608757,-1.868325720585919,-4.00645770987557,-3.9434556623090247,0.0
2019-04-04,1.0,-1.8054720860351101,-3.142653803574253,-1.8647793768780643,-4.03004902736043,-3.9720069587221256,0.0
2019-04-05,1.0,-1.8082213438735177,-3.1378656126482216,-1.870671936758893,-4.028142292490118,-3.9653754940711456,0.0
