Date,HY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29516955620979174,-0.9090248246283575,-0.0,-0.6787700359829899,-0.7516810235161561,0.0
2018-09-25,1.0,-0.2950456181163898,-0.909127258187634,-0.0,-0.6788920795318235,-0.7518447166587909,0.0
2018-09-26,1.0,-0.2933124613200335,-0.9089519094251702,-0.0,-0.6805489824893517,-0.7576904874585898,0.0
2018-09-27,1.0,-0.2917856358444982,-0.9233472435756646,-0.0,-0.6841642872831102,-0.7612929204187715,0.0
2018-09-28,1.0,-0.2886957159624413,-0.929944248826291,-0.0,-0.6859961854460094,-0.7631675469483569,0.0
2018-10-01,1.0,-0.28898914319248825,-0.9297241784037559,-0.0,-0.6859961854460094,-0.763130868544601,0.0
2018-10-02,1.0,-0.28968603286384975,-0.9290272887323945,-0.0,-0.6860695422535211,-0.7630941901408451,0.0
2018-10-03,1.0,-0.28905275515445006,-0.9178589771810112,-0.0,-0.6907329958177416,-0.771003008291144,0.0
2018-10-04,1.0,-0.28871751140113455,-0.9410848689332987,-0.0,-0.6911497534388787,-0.786733899373401,0.0
2018-10-05,1.0,-0.2754517571412734,-0.936994198292746,-0.0,-0.6923247477920254,-0.7906211891652193,0.0
2018-10-08,1.0,-0.27662804042797373,-0.9402835881677833,-0.0,-0.6928658694605901,-0.7923808818629446,0.0
2018-10-09,1.0,-0.26643090929611374,-0.9567360144464091,-0.0,-0.7168654301944999,-0.8220533463752305,0.0
2018-10-10,1.0,-0.264916377881573,-0.9593189694138919,-0.0,-0.717191502184722,-0.8253352418261263,0.0
2018-10-11,1.0,-0.18640029325513197,-0.9494501466275661,-0.0,-0.692008797653959,-0.8378299120234605,0.0
2018-10-12,1.0,-0.20472958178235165,-0.9548938033720167,-0.0,-0.673381504999635,-0.8163272753813591,0.0
2018-10-15,1.0,-0.15689661509059502,-1.017861736925282,-0.0,-0.672865595942519,-0.8276305634165166,0.0
2018-10-16,1.0,-0.14396740360673055,-1.093110993737267,-0.0,-0.6917301743001585,-0.8438844035312758,0.0
2018-10-17,1.0,-0.12953580210118473,-1.0672826167945757,-0.0,-0.6843752328440504,-0.8443111541613889,0.0
2018-10-18,1.0,-0.13729701216985044,-1.0885799329339514,-0.0,-0.6878414528465394,-0.8540371500697036,0.0
2018-10-19,1.0,-0.11935942527875476,-1.0813814263264236,-0.0,-0.6868592381950162,-0.8540746838284816,0.0
2018-10-22,1.0,-0.12070514260049406,-1.0822666367243057,-0.0,-0.6864286248970732,-0.8534321431244855,0.0
2018-10-23,1.0,-0.14146230699364215,-1.0970708446866486,-0.0,-0.6871783227369058,-0.8586890705419317,0.0
2018-10-24,1.0,-0.1393004661033006,-1.102201674940316,-0.0,-0.6882413126681571,-0.8597142748872636,0.0
2018-10-25,1.0,-0.09898187966332195,-1.0556474436725845,-0.0,-0.6925056051751388,-0.8283897526371891,0.0
2018-10-26,1.0,-0.09271160446943694,-1.0459723946542028,-0.0,-0.6913386401811145,-0.8214781275104068,0.0
2018-10-29,1.0,-0.06963221398459078,-1.0558584096525658,-0.0,-0.6811673208315162,-0.8275912196540195,0.0
2018-10-30,1.0,-0.05227165254083155,-1.057837110327016,-0.0,-0.6836782947146339,-0.8437670510348841,0.0
2018-10-31,1.0,-0.052675585284280936,-1.056310891377054,-0.0,-0.6831830740148321,-0.8431365420968445,0.0
2018-11-01,1.0,-0.007581333725894303,-1.1136832032975121,-0.0,-0.699249227145591,-0.859708523480053,0.0
2018-11-02,1.0,-0.00935539494441795,-1.1030194078585318,-0.0,-0.6999302931357083,-0.8565139230289468,0.0
2018-11-05,1.0,-0.0007748791557507104,-1.1407697132947126,-0.0,-0.7099369026973175,-0.8384192465222686,0.0
2018-11-06,1.0,-0.0,-1.1378849225511682,-0.0,-0.7222985773188217,-0.8543887671334646,0.0
2018-11-07,1.0,-0.0,-1.138539229883777,-0.0,-0.7205450967286771,-0.8541086480264379,0.0
2018-11-08,1.0,-0.0,-1.1326282429245285,-0.0,-0.7023142688679246,-0.8501989976415094,0.0
2018-11-09,1.0,-0.0,-1.1324635117204775,-0.0,-0.7034129441250184,-0.8498083443903877,0.0
