Date,DRIV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-12-14,1.0,-0.08112983513723342,-0.2230442526373476,-0.0,-0.46086221856875376,-0.518358679271133,0.0
2018-12-17,1.0,-0.07136521798458074,-0.22285142480271086,-0.0,-0.4455891382956949,-0.5344204134543222,0.0
2018-12-18,1.0,-0.06962993402278383,-0.2253042029084766,-0.0,-0.45165856219893613,-0.5363559573545191,0.0
2018-12-19,1.0,-0.08677837293412076,-0.22231378473652885,-0.0,-0.4424300691296983,-0.5375406308657236,0.0
2018-12-20,1.0,-0.08332004646607294,-0.20882399836002097,-0.0,-0.45700749379313493,-0.528574357105437,0.0
2018-12-21,1.0,-0.07656516331137421,-0.20762887547795641,-0.0,-0.464988252637398,-0.5542451743677155,0.0
2018-12-24,1.0,-0.0635255293794115,-0.1954349619580163,-0.00678338986158218,-0.4573058942157851,-0.568658905490879,0.0
2018-12-26,1.0,-0.07489667075441704,-0.2032066130717173,-0.0019303265658354907,-0.4314620520506881,-0.559476767952037,0.0
2018-12-27,0.9840248125252267,-0.04845665243345442,-0.18673124721177745,-0.01106791579036815,-0.33471416735708365,-0.5433900537463089,0.015975187474773223
2018-12-28,0.9766292511308426,-0.03886748199028313,-0.19450494220137376,-0.0033925280616518678,-0.33024794772993804,-0.527140224493215,0.023370748869157312
2018-12-31,0.9854798391479187,-0.011020541245516791,-0.2344527768720791,-0.005390718400173894,-0.3708944679926095,-0.5519182697532877,0.014520160852081295
2019-01-02,0.9866530221215816,-0.01247604946873367,-0.23562968124020203,-0.0,-0.372604946873367,-0.5565885734192649,0.013346977878418393
2019-01-03,0.9865423979791821,-0.011454204956230129,-0.23611776490570968,-0.0,-0.3712599625451853,-0.5587953486346413,0.013457602020817907
2019-01-04,0.9882902440628906,-0.017761989342806393,-0.23307677126504836,-0.0,-0.38063285310176964,-0.5613665767603009,0.011709755937109401
2019-01-07,0.9876583660987331,-0.019921363040629095,-0.23130187854958498,-0.0,-0.37785058977719527,-0.5552643075578855,0.012341633901266929
2019-01-08,0.9889242940336227,-0.016547632128337545,-0.24267662894187453,-0.0,-0.3756290517525547,-0.5627293703988573,0.011075705966377322
2019-01-09,0.9892362102673373,-0.013773257474243789,-0.23102607473145442,-0.0,-0.37769918502734884,-0.5741932649429958,0.010763789732662609
2019-01-10,0.9902214552775381,-0.008075042587553373,-0.239507975487268,-0.0,-0.3801907037454924,-0.5845888365301652,0.009778544722461894
2019-01-11,0.9904397282404231,-0.007457897182818068,-0.2384314072631509,-0.0,-0.38154779029366853,-0.5855666452740833,0.00956027175957687
2019-01-14,0.9898044939844303,-0.004246284501061571,-0.23757077140835103,-0.00035385704175513094,-0.3794895612172682,-0.589968152866242,0.01019550601556971
2019-01-15,0.9894829871851525,-0.004308440123729562,-0.23614670790985418,-0.0,-0.37920901458241274,-0.5898144056562086,0.010517012814847548
2019-01-16,0.9907462752651037,-0.0,-0.2367448141506719,-0.0,-0.3745766088862323,-0.6024661840561422,0.009253724734896282
2019-01-17,0.9920268289432772,-0.0,-0.24077199840092392,-0.0,-0.3758495091724781,-0.6043397148314308,0.007973171056722782
2019-01-18,0.9918331114070128,-0.0,-0.2402352418996893,-0.0,-0.37554371948513093,-0.6034620505992011,0.008166888592987129
2019-01-22,0.991320712941437,-0.0,-0.2416915753348832,-0.0,-0.3738735746706521,-0.5985608325030445,0.008679287058563046
2019-01-23,0.9893600548587609,-0.0,-0.2407591744641317,-0.0,-0.3689915278607296,-0.6022961045855731,0.01063994514123919
2019-01-24,0.9894895227136946,-0.0,-0.24189586882924347,-0.0,-0.36780032305888083,-0.6030358683866971,0.0105104772863054
2019-01-25,0.9885562208915503,-0.0,-0.2467065868263473,-0.0,-0.348769128409847,-0.6223109336881792,0.011443779108449766
2019-01-28,0.9886785738116951,-0.0,-0.2512288974398897,-0.0,-0.34718298894548366,-0.625836873595943,0.0113214261883049
2019-01-29,0.9878306525172974,-0.0,-0.24934926249749717,-0.0,-0.3520879218670048,-0.6233064139357939,0.012169347482702618
2019-01-30,0.9878518188897542,-0.0,-0.249571698742908,-0.0,-0.3523417510290355,-0.6230058960952274,0.012148181110245855
