Date,GS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2311590649010953,-0.32818375020434853,-0.18410440847910198,-0.46139174976840497,-0.5198354313116451,0.0
2018-09-25,1.0,-0.230462998309429,-0.329579538637727,-0.18255439821126682,-0.4626165675955718,-0.5215138790423733,0.0
2018-09-26,1.0,-0.23053851397409678,-0.32967961826857534,-0.18279481935923653,-0.46252215405589636,-0.5210906612133606,0.0
2018-09-27,1.0,-0.22950416609752766,-0.3354186586531895,-0.18147794017210764,-0.463461275781997,-0.522032509220052,0.0
2018-09-28,1.0,-0.2275360734586795,-0.3377240926978574,-0.1818976825535636,-0.46348928727590727,-0.5221906427634455,0.0
2018-10-01,1.0,-0.23101577909270218,-0.3372507122507123,-0.18102125794433488,-0.46671597633136097,-0.5234494849879465,0.0
2018-10-02,1.0,-0.23193447652440694,-0.33002794061250207,-0.18364104530762068,-0.46838875801238156,-0.5252561222812688,0.0
2018-10-03,1.0,-0.23171934052692117,-0.32343758558361174,-0.18258750068466886,-0.47110697266801776,-0.5298241770279892,0.0
2018-10-04,1.0,-0.23149416470330395,-0.32453016273080926,-0.18267492192208645,-0.4705769546874144,-0.5302997096049531,0.0
2018-10-05,1.0,-0.2213361009449937,-0.3171737586715464,-0.17441415851859943,-0.4780138744742448,-0.5402851368329054,0.0
2018-10-08,1.0,-0.22031262787462147,-0.3154104263851379,-0.1729001282156205,-0.47925362140928063,-0.5401151212592411,0.0
2018-10-09,1.0,-0.21967320439728305,-0.3154204970130118,-0.1714994953490275,-0.4800185493330423,-0.5412040699418968,0.0
2018-10-10,1.0,-0.21903747986787872,-0.3167362760352687,-0.17028362405481395,-0.48030464335435263,-0.5434444353451806,0.0
2018-10-11,1.0,-0.19888120915472124,-0.3096307452330366,-0.14893903127773445,-0.478041040260334,-0.5539090444557997,0.0
2018-10-12,1.0,-0.20483308022273733,-0.30232062451709163,-0.14896224655636373,-0.46636293395145606,-0.541843178003357,0.0
2018-10-15,1.0,-0.19357671225586717,-0.3200734394124847,-0.1337342344739503,-0.4674312170720025,-0.5460060667340748,0.0
2018-10-16,1.0,-0.1911717667128692,-0.334230728222625,-0.12392046060347585,-0.46926644631623843,-0.5469133169847532,0.0
2018-10-17,1.0,-0.18756465688745058,-0.32610944587389584,-0.12127642643040928,-0.4686596461444601,-0.5489800790471896,0.0
2018-10-18,1.0,-0.18625140592362488,-0.32762037384178677,-0.12315890953885707,-0.4841733169085748,-0.5567725349472444,0.0
2018-10-19,1.0,-0.1794099618900408,-0.32033686005916373,-0.11851397809343603,-0.48724782133624706,-0.559470191615809,0.0
2018-10-22,1.0,-0.18356456776947705,-0.3130469583778015,-0.1080042689434365,-0.4964247598719317,-0.5670757737459978,0.0
2018-10-23,1.0,-0.18180355131162493,-0.31892065876294196,-0.09825116678289793,-0.5081004237970066,-0.5752105573735314,0.0
2018-10-24,1.0,-0.18079368912501004,-0.3197027019775148,-0.09831227025141538,-0.5086801363063135,-0.5756795191714292,0.0
2018-10-25,1.0,-0.17010336602173337,-0.3042671614100185,-0.09679300291545188,-0.510760667903525,-0.5684601113172542,0.0
2018-10-26,1.0,-0.16697020086045344,-0.3009739488478898,-0.09282867474331566,-0.5128408161110671,-0.5658141314962917,0.0
2018-10-29,1.0,-0.15656406208892398,-0.30702446724546173,-0.08466193107077086,-0.5096816627203368,-0.5729281767955801,0.0
2018-10-30,1.0,-0.14426903513164482,-0.311124581609256,-0.07505995835859051,-0.5149566454945577,-0.5901220251429776,0.0
2018-10-31,1.0,-0.14459765275511813,-0.30795747592231987,-0.07546971212041471,-0.5142624072417241,-0.5891795168675332,0.0
2018-11-01,1.0,-0.1530113801388852,-0.30031948881789133,-0.08301428458268424,-0.514720249254086,-0.5893380508541706,0.0
2018-11-02,1.0,-0.15788089225589225,-0.2848800505050505,-0.07978219696969698,-0.5207018097643097,-0.587226430976431,0.0
2018-11-05,1.0,-0.15197784810126583,-0.30751582278481016,-0.07819092827004219,-0.5256065400843882,-0.5738396624472574,0.0
2018-11-06,1.0,-0.15800580321814825,-0.3122395146399367,-0.07520443154840412,-0.5231864943286731,-0.5691901872856766,0.0
2018-11-07,1.0,-0.1558355962141784,-0.312119374653977,-0.07893279902981731,-0.5211304737549762,-0.5683477894070813,0.0
2018-11-08,1.0,-0.1456896325631409,-0.3140391827742663,-0.06897636969236014,-0.5195520469983477,-0.5744184216737915,0.0
2018-11-09,1.0,-0.1448503763539563,-0.3140391827742663,-0.06968449211885966,-0.520076582129088,-0.5740250203257363,0.0
