Date,IWF,IWM,MTUM,SPY,STT,VLUE,VXX
2018-09-24,-0.256248300039288,-0.44316842455196587,-0.18290066185137052,-0.5371875849980355,1.0,-0.6026474054821844,0.0
2018-09-25,-0.2548259038152671,-0.44789236037455676,-0.17861147307494166,-0.5412285220764266,1.0,-0.6078366011091245,0.0
2018-09-26,-0.25490136662525376,-0.4480167267658556,-0.17893397169782732,-0.5411048150056059,1.0,-0.6072543256264961,0.0
2018-09-27,-0.2555356980583407,-0.44609699209402365,-0.17950504346772483,-0.5409384181988913,1.0,-0.6070335928270681,0.0
2018-09-28,-0.253355958910336,-0.44865307111905695,-0.1799945456198297,-0.540983606557377,1.0,-0.6071937214023817,0.0
2018-10-01,-0.2571610825916588,-0.44822453752923663,-0.17909541022447678,-0.5445156586980955,1.0,-0.6086084869839921,0.0
2018-10-02,-0.2620368113115553,-0.4236957581667479,-0.18844466114090686,-0.5543941979522184,1.0,-0.6187530472940029,0.0
2018-10-03,-0.2617807426360839,-0.4185323951384446,-0.1877608212251363,-0.5561241585183831,1.0,-0.6218891833439946,0.0
2018-10-04,-0.26184310738766187,-0.418948971820259,-0.18793602437166795,-0.5558263518659559,1.0,-0.6219040365575019,0.0
2018-10-05,-0.24678013579758243,-0.41110738970252414,-0.1737052035441342,-0.5717504491063545,1.0,-0.6414152178546417,0.0
2018-10-08,-0.24537079266624096,-0.408616862780869,-0.17127307002341208,-0.5739913040834321,1.0,-0.6412478336221837,0.0
2018-10-09,-0.24274623230324247,-0.4106256660070025,-0.16316029837113716,-0.5795402648804993,1.0,-0.6485309788400061,0.0
2018-10-10,-0.24237995188940656,-0.4109801772175026,-0.1625711762735605,-0.5797022015163972,1.0,-0.6493407630705521,0.0
2018-10-11,-0.21709048432024441,-0.40342049300625993,-0.1349926618144787,-0.5773504657501423,1.0,-0.6622937071315183,0.0
2018-10-12,-0.2223969148620587,-0.3954316226638979,-0.13399584692969446,-0.5650845446455057,1.0,-0.6495995253633936,0.0
2018-10-15,-0.2053457533596369,-0.4265626390578184,-0.10913999228692635,-0.5681865377198968,1.0,-0.6573615354949717,0.0
2018-10-16,-0.2041179611938527,-0.43185189580490113,-0.1052038212781107,-0.5684151189699164,1.0,-0.6572420340592179,0.0
2018-10-17,-0.1935408172244874,-0.4070575811797835,-0.09468774749934002,-0.5699744800680532,1.0,-0.6680648851603063,0.0
2018-10-18,-0.19296084469863617,-0.40615926088869336,-0.09505792638216748,-0.5706701862443174,1.0,-0.6681331573544509,0.0
2018-10-19,-0.18882675021228004,-0.4036834245893479,-0.09103153456504554,-0.5731268117002899,1.0,-0.6713612274177964,0.0
2018-10-22,-0.19801980198019803,-0.5083956671529223,-0.12349855675222696,-0.5872621744933114,1.0,-0.686551413762066,0.0
2018-10-23,-0.19634161568235736,-0.5155450118616557,-0.11252965413909352,-0.6008552878012237,1.0,-0.6961855412660757,0.0
2018-10-24,-0.19520569323927836,-0.5158249578625382,-0.11146138959985018,-0.601629315188214,1.0,-0.6971721081216056,0.0
2018-10-25,-0.17205581508961557,-0.4845042899453451,-0.10839363683551645,-0.6084394369637568,1.0,-0.6799181704375438,0.0
2018-10-26,-0.16385790494665373,-0.4779946653734239,-0.09556862269641127,-0.6176042677012609,1.0,-0.6760426770126091,0.0
