Date,GATX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33972877950778496,-0.9191361125062782,-0.051699313577766616,-0.5341369496065628,-0.5036999832579943,0.0
2018-09-25,1.0,-0.3429107226575581,-0.9171187462326703,-0.05629227781126515,-0.5322148549996651,-0.5001674368762976,0.0
2018-09-26,1.0,-0.3427107404802572,-0.9170434374895341,-0.0555946280853344,-0.5325027629860344,-0.501222412003081,0.0
2018-09-27,1.0,-0.34592984335252375,-0.9091913241397777,-0.05793948319721515,-0.5329026643459632,-0.50123845226938,0.0
2018-09-28,1.0,-0.34568397094755166,-0.9090604813066908,-0.05833919068179537,-0.5327844161060348,-0.5012216755363658,0.0
2018-10-01,1.0,-0.34645511146816627,-0.9081475530561692,-0.058345049206668005,-0.5332396063466559,-0.5012050612572806,0.0
2018-10-02,1.0,-0.34736771645637404,-0.8993942233675827,-0.061581712908731885,-0.5350915358613072,-0.5033970347066501,0.0
2018-10-03,1.0,-0.34711628529372407,-0.8955238859895623,-0.061320754716981125,-0.5360631607118961,-0.5053860564699585,0.0
2018-10-04,1.0,-0.34648226902856377,-0.8981013294042796,-0.06158122090881693,-0.5351103372065766,-0.5073837189833573,0.0
2018-10-05,1.0,-0.3320970328789094,-0.8934108527131783,-0.046144079123229084,-0.5475808607324245,-0.522086340550655,0.0
2018-10-08,1.0,-0.3307052417064778,-0.8914241806701635,-0.04045702067951759,-0.5548391407476698,-0.5233688571142218,0.0
2018-10-09,1.0,-0.32927929432991415,-0.892111330148017,-0.03668682548698587,-0.5569514517691871,-0.5262120351498546,0.0
2018-10-10,1.0,-0.32924629159428037,-0.892255779767473,-0.03641587598556729,-0.5570292663370306,-0.5259588400374181,0.0
2018-10-11,1.0,-0.3072778051585346,-0.8932479053721044,-0.007491375061606702,-0.5496303597831445,-0.5280433711187776,0.0
2018-10-12,1.0,-0.30824617991072883,-0.8921904017202619,-0.0021829081549538986,-0.5395692828983808,-0.5158831003811944,0.0
2018-10-15,1.0,-0.2869545424985368,-0.9132795733888276,-0.0,-0.535279963581973,-0.5161279833517591,0.0
2018-10-16,1.0,-0.27915539769950143,-0.9293557952360781,-0.0,-0.5346541105933722,-0.5153312261722441,0.0
2018-10-17,1.0,-0.2625895812578333,-0.8997654015489925,-0.0,-0.5302246360510332,-0.5210977922036185,0.0
2018-10-18,1.0,-0.2635032974103265,-0.9026861830464854,-0.0,-0.5291941450860543,-0.5216342287276821,0.0
2018-10-19,1.0,-0.2528871684954733,-0.8985252247352763,-0.0,-0.528359832368278,-0.5193384305320069,0.0
2018-10-22,1.0,-0.25278275332650973,-0.890545035823951,-0.0,-0.5323055271238486,-0.5229337256908905,0.0
2018-10-23,1.0,-0.2607023840041015,-0.893040246090746,-0.0,-0.5287105870289669,-0.5218854139964111,0.0
