Date,ECOL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.46888769921344153,-1.2461392743894906,-0.05300004118107318,-0.7229749207264341,-0.6271053823662645,0.0
2018-09-25,1.0,-0.46860580092287407,-1.246992419248517,-0.05228246539222149,-0.7238381674357285,-0.6282547791694133,0.0
2018-09-26,1.0,-0.4688336835166646,-1.2473942240349358,-0.05289828204177482,-0.7235611584888559,-0.6270753512132823,0.0
2018-09-27,1.0,-0.4684803698963795,-1.2534780993270858,-0.052099244519671385,-0.7253023985468356,-0.62894769434009,0.0
2018-09-28,1.0,-0.46579643093192336,-1.2566506939854594,-0.05299900859220093,-0.7257105089226702,-0.6297091870456047,0.0
2018-10-01,1.0,-0.46676306548233837,-1.2554430902706053,-0.05304689113819459,-0.7262962197892998,-0.6297872340425532,0.0
2018-10-02,1.0,-0.46705498409550955,-1.2531499153137522,-0.054323129673235014,-0.7263601437600693,-0.6301483042095262,0.0
2018-10-03,1.0,-0.4674353252334904,-1.2543598644516076,-0.055004545830233904,-0.7260930655426068,-0.6296801388544508,0.0
2018-10-04,1.0,-0.4753881184019872,-1.2460360173877045,-0.05613744566342372,-0.7370316704616021,-0.6253363692817222,0.0
2018-10-05,1.0,-0.4641826724919627,-1.2435083669936526,-0.042947819635644216,-0.7414475311186217,-0.6296265765394444,0.0
2018-10-08,1.0,-0.4620984658413195,-1.2404474972237076,-0.03993748200551145,-0.7424834450705384,-0.6280590630526879,0.0
2018-10-09,1.0,-0.46289287477373703,-1.2410728978114203,-0.0412621359223301,-0.741895672206681,-0.6267895343096923,0.0
2018-10-10,1.0,-0.4630063746658441,-1.2408389882788402,-0.041250257042977585,-0.7419699773802179,-0.6256220440057577,0.0
2018-10-11,1.0,-0.39076015466177705,-1.2411607605532746,-0.0,-0.7190975405588552,-0.6350699565512018,0.0
2018-10-12,1.0,-0.3901930714482325,-1.2353820140773073,-0.0,-0.6974165388698832,-0.6091777751563053,0.0
2018-10-15,1.0,-0.35927626672946344,-1.2655912712429844,-0.0,-0.6909611837199262,-0.6089720946661956,0.0
