Date,IWF,IWM,MO,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3503790986969508,-0.6031443857288213,1.0,-0.0,-0.6900580956444679,-0.6386582203695802,0.0
2018-09-25,-0.3478734285808559,-0.6104530306529845,1.0,-0.0,-0.6954828917411818,-0.6457254099712938,0.0
2018-09-26,-0.34739134739134736,-0.6102036102036101,1.0,-0.0,-0.6956736956736956,-0.6467676467676468,0.0
2018-09-27,-0.3510091017016225,-0.6032845271072418,1.0,-0.0,-0.6963791056588841,-0.647045244690674,0.0
2018-09-28,-0.35001978630787495,-0.6044387283999473,1.0,-0.0,-0.6962142197599261,-0.647045244690674,0.0
2018-10-01,-0.35157074973600844,-0.6035836853220697,1.0,-0.0,-0.6973666842661035,-0.6473402851108765,0.0
2018-10-02,-0.35291982843945896,-0.5988452655889146,1.0,-0.0,-0.6986803035301882,-0.6487957769712966,0.0
2018-10-03,-0.3532351481052458,-0.5862651001158365,1.0,-0.0,-0.7077610458381599,-0.6623531358596724,0.0
2018-10-04,-0.35799649087959745,-0.5801966431621809,1.0,-0.0,-0.713741847916046,-0.658589068758897,0.0
2018-10-05,-0.33513388123011667,-0.5704202014846236,1.0,-0.0,-0.7300503711558856,-0.678287380699894,0.0
2018-10-08,-0.3316228563861484,-0.5665430709130637,1.0,-0.0,-0.7345560484671919,-0.6778785671720851,0.0
2018-10-09,-0.3245794827471578,-0.5699089156306097,1.0,-0.0,-0.7417060035901869,-0.6880526560733994,0.0
2018-10-10,-0.32557984980394766,-0.5688177045258191,1.0,-0.0,-0.742407124343723,-0.6861168339203828,0.0
2018-10-11,-0.2466283796863909,-0.553171581596438,1.0,-0.0,-0.7235916629024972,-0.7030392979286314,0.0
2018-10-12,-0.2435905612244898,-0.5418367346938775,1.0,-0.0,-0.7128826530612246,-0.6904655612244898,0.0
2018-10-15,-0.20436272782600337,-0.5888080976328518,1.0,-0.0,-0.7117780838591883,-0.6982286428136711,0.0
2018-10-16,-0.1943663791711083,-0.6197951997932616,1.0,-0.0,-0.7150886713828859,-0.701036922182382,0.0
2018-10-17,-0.1689704708699122,-0.5789624900239426,1.0,-0.0,-0.7201915403032721,-0.7242138866719873,0.0
2018-10-18,-0.16856048515799552,-0.5783913182253431,1.0,-0.0,-0.7206511330992659,-0.7242259814873921,0.0
2018-10-19,-0.1482115677321157,-0.5641806189751396,1.0,-0.0,-0.7291983764586505,-0.7293886352105531,0.0
2018-10-22,-0.14895647747518453,-0.552716976329855,1.0,-0.0,-0.7402328836854162,-0.7395647747518452,0.0
2018-10-23,-0.14806327381520734,-0.5530729813170374,1.0,-0.0,-0.741366688946179,-0.7402845412011839,0.0
2018-10-24,-0.1460409436785635,-0.5477092553089878,1.0,-0.0,-0.7445636600974244,-0.7455188003438505,0.0
2018-10-25,-0.10455249303189841,-0.5009290802105915,1.0,-0.0,-0.7707030040260142,-0.7207184886961907,0.0
2018-10-26,-0.09123741315459247,-0.4878339913690203,1.0,-0.0,-0.770881155694304,-0.7106785419153429,0.0
2018-10-29,-0.06910828995037599,-0.4947788230279782,1.0,-0.0,-0.7630529424300545,-0.7174780040795202,0.0
2018-10-30,-0.04392202537853246,-0.5034021945687488,1.0,-0.0,-0.7715625574695029,-0.7461533746092074,0.0
2018-10-31,-0.045581876864989955,-0.4904695207356434,1.0,-0.0,-0.7676450886060533,-0.7411850679008587,0.0
2018-11-01,-0.020499679692504807,-0.5146883865653885,1.0,-0.0,-0.7703547786827735,-0.7450047283487385,0.0
2018-11-02,-0.03294419656500214,-0.47857710408899207,1.0,-0.0,-0.7972923415439154,-0.7472342766334577,0.0
2018-11-05,-0.02951420714940422,-0.4881759853345555,1.0,-0.0,-0.7980751604032997,-0.7395355942560342,0.0
2018-11-06,-0.02817202985439863,-0.4874587054936988,1.0,-0.0,-0.8004098862106939,-0.7428116970512664,0.0
2018-11-07,-0.027566394670089544,-0.48721004859264694,1.0,-0.0,-0.7991198313009993,-0.7422450414107148,0.0
2018-11-08,-0.0032369312681510163,-0.4852674249757986,1.0,-0.0,-0.7904162633107454,-0.746279041626331,0.0
2018-11-09,-0.0030551438337517774,-0.48522338848725005,1.0,-0.0,-0.7906772739647298,-0.7459390786170181,0.0
2018-11-12,-0.0024844720496894407,-0.4884108468413877,1.0,-0.0,-0.7914255415846083,-0.7475231025602181,0.0
2018-11-13,-0.0,-0.4829190201467968,1.0,-0.0,-0.7912828102818135,-0.7463074274322651,0.0
2018-11-14,-0.0,-0.4873162600393998,1.0,-0.0,-0.7938475526594938,-0.7495681163812699,0.0
2018-11-15,-0.0,-0.4864783016868054,1.0,-0.0,-0.7940098725053752,-0.747887707822295,0.0
2018-11-16,-0.0,-0.4807315879618302,1.0,-0.0,-0.8052361145094202,-0.7725103988255445,0.0
2018-11-19,-0.0,-0.4815120906029997,1.0,-0.0,-0.8056932966023875,-0.7736761554943373,0.0
2018-11-20,-0.0,-0.469028703619152,1.0,-0.0,-0.7987702797309226,-0.7760326302011994,0.0
2018-11-21,-0.0,-0.4637361974295542,1.0,-0.0,-0.8023290894828939,-0.7508598322572859,0.0
2018-11-23,-0.0,-0.4466292985911226,1.0,-0.0,-0.8223299500075746,-0.7609150128768367,0.0
2018-11-26,-0.0,-0.44644101693888055,1.0,-0.0,-0.8226114360170903,-0.7611587527650677,0.0
2018-11-27,-0.0,-0.4511605415860735,1.0,-0.0,-0.8159453578336556,-0.7551378143133463,0.0
2018-11-28,-0.0,-0.4448478247715859,1.0,-0.0,-0.8216252193380529,-0.7588794094512011,0.0
2018-11-29,-0.0,-0.43023847281649263,1.0,-0.0,-0.8084138715179078,-0.7535082732413751,0.0
2018-11-30,-0.0,-0.43586816092299374,1.0,-0.0,-0.8169335696902321,-0.7517050746627407,0.0
2018-12-03,-0.0,-0.4419636122258094,1.0,-0.0,-0.8207766345834716,-0.7545182994900884,0.0
2018-12-04,-0.0,-0.4407177696152225,1.0,-0.0,-0.8176371409646535,-0.7524236767628109,0.0
2018-12-06,-0.0,-0.38216039279869063,1.0,-0.0,-0.8126607435118072,-0.7277881692775309,0.0
2018-12-07,-0.0,-0.3821157218001168,1.0,-0.0,-0.8137346580946814,-0.7264465225014611,0.0
2018-12-10,-0.0,-0.3779088254849247,1.0,-0.0,-0.8067528112623941,-0.7061255167230364,0.0
2018-12-11,-0.0,-0.3804077141367927,1.0,-0.0,-0.8024265940811954,-0.712862686048532,0.0
2018-12-12,-0.0,-0.3819674032828722,1.0,-0.0,-0.8060147323241111,-0.7120526651586334,0.0
2018-12-13,-0.0,-0.37766235273634724,1.0,-0.0,-0.8138239220010446,-0.7102605768672741,0.0
2018-12-14,-0.0,-0.3635835632350806,1.0,-0.0,-0.8275591694496879,-0.712879337882968,0.0
2018-12-17,-0.0,-0.3599918894649944,1.0,-0.0,-0.82214755380471,-0.7144802016047272,0.0
2018-12-18,-0.0,-0.34517445536586766,1.0,-0.0,-0.8148531355980916,-0.7140024142093464,0.0
