Date,IWF,IWM,JRVR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3956559657793097,-1.1686116533078614,1.0,-0.0,-0.8380746708750364,-0.7506540969309357,0.0
2018-09-25,-0.3969202672975553,-1.1673100070559912,1.0,-0.0,-0.8371311169219275,-0.749221765658075,0.0
2018-09-26,-0.39687876146598594,-1.1673930187191301,1.0,-0.0,-0.8371311169219275,-0.7491387539949363,0.0
2018-09-27,-0.39834196891191714,-1.1620310880829015,1.0,-0.0,-0.8363523316062177,-0.7483108808290155,0.0
2018-09-28,-0.39718987026982217,-1.1630123927550047,1.0,-0.0,-0.8361586604219339,-0.7483731918597422,0.0
2018-10-01,-0.3972375461445933,-1.164834709029823,1.0,-0.0,-0.8364925961259281,-0.7492637604214194,0.0
2018-10-02,-0.3975129360707728,-1.1908696377900185,1.0,-0.0,-0.8361709230512435,-0.7484142880988149,0.0
2018-10-03,-0.3967035259753808,-1.1791362403505112,1.0,-0.0,-0.8406426037972042,-0.7563112872939703,0.0
2018-10-04,-0.39765618483609977,-1.1767870548002335,1.0,-0.0,-0.8409375260655602,-0.7551088497789641,0.0
2018-10-05,-0.37245469248952845,-1.1648903081325424,1.0,-0.0,-0.8465143283705884,-0.7632812176004644,0.0
2018-10-08,-0.3675606323979803,-1.1594238887509312,1.0,-0.0,-0.8502193527025909,-0.7615263637116133,0.0
2018-10-09,-0.36745167832457265,-1.1598029882869088,1.0,-0.0,-0.8502959314597907,-0.7613509374611979,0.0
2018-10-10,-0.37145816072908033,-1.15956917978459,1.0,-0.0,-0.8537282518641259,-0.7577464788732394,0.0
2018-10-11,-0.2649942444329774,-1.135315365379272,1.0,-0.0,-0.811098320962172,-0.7579486365260192,0.0
2018-10-12,-0.2575440811013372,-1.1328547197349217,1.0,-0.0,-0.8045047532641709,-0.7496745690505305,0.0
2018-10-15,-0.20658814134557796,-1.2094230385306448,1.0,-0.0,-0.8099021760830505,-0.7668596526252746,0.0
2018-10-16,-0.2044946511256586,-1.2123183777742295,1.0,-0.0,-0.8089174517004629,-0.7659667890787162,0.0
2018-10-17,-0.17265317265317262,-1.1546741546741546,1.0,-0.0,-0.7986817986817986,-0.7739947739947739,0.0
2018-10-18,-0.17207245979889668,-1.1545443874955985,1.0,-0.0,-0.8075042059548496,-0.778355960718338,0.0
2018-10-19,-0.14653971202972596,-1.138527635856944,1.0,-0.0,-0.8092971048149868,-0.7762037467100171,0.0
2018-10-22,-0.14813093162889795,-1.1408483439860546,1.0,-0.0,-0.8087933372070502,-0.7759442184776293,0.0
2018-10-23,-0.1489427619859035,-1.1405778018743706,1.0,-0.0,-0.8078382774378438,-0.775346603671288,0.0
2018-10-24,-0.14540885366325149,-1.1364778658418713,1.0,-0.0,-0.8078871061279722,-0.7764546684709067,0.0
2018-10-25,-0.09611051601226314,-1.0675211465297527,1.0,-0.0,-0.8034573191002105,-0.7266649429320724,0.0
2018-10-26,-0.07949501564432802,-1.0468238375900458,1.0,-0.0,-0.8001164229062069,-0.7118169249799898,0.0
2018-10-29,-0.06103863250334284,-1.0503415127751075,1.0,-0.0,-0.7907195258573958,-0.7117921289436594,0.0
2018-10-30,-0.049611562782294484,-1.0508039747064137,1.0,-0.0,-0.7914724480578139,-0.7214453477868112,0.0
2018-10-31,-0.051401534160154846,-1.034088465122948,1.0,-0.0,-0.784966664277009,-0.7140296795469209,0.0
2018-11-01,-0.024511915015790985,-1.0592520815389033,1.0,-0.0,-0.7873241458512776,-0.7177361469997129,0.0
2018-11-02,-0.041138440423303356,-1.0185285513056668,1.0,-0.0,-0.8267056741430997,-0.7254307075522809,0.0
2018-11-05,-0.034489004818316855,-1.0441256385175526,1.0,-0.0,-0.832445748650509,-0.7117342317864,0.0
2018-11-06,-0.03827907145185239,-1.0463911925542317,1.0,-0.0,-0.8293919530655851,-0.707456632745446,0.0
