Date,AGNC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13919565217391305,-0.3983913043478261,-0.0,-0.3322391304347826,-0.3040869565217391,0.0
2018-09-25,1.0,-0.1384441350504699,-0.39914723285764014,-0.0,-0.3328184824225548,-0.30501653324051514,0.0
2018-09-26,1.0,-0.13903452476776818,-0.3997215393651967,-0.0,-0.33280396806404594,-0.30391367720321094,0.0
2018-09-27,1.0,-0.1394114704539029,-0.3988559994780226,-0.0,-0.3327606081036995,-0.3038778572826726,0.0
2018-09-28,1.0,-0.13974331085490538,-0.39880356754405044,-0.0,-0.33282575592777897,-0.3039591037633239,0.0
2018-10-01,1.0,-0.13972715998346424,-0.39914275146319705,-0.0,-0.3328038989578121,-0.30408389721720586,0.0
2018-10-02,1.0,-0.1404917319408181,-0.39691035683202786,-0.0,-0.3335291557876414,-0.30489556135770235,0.0
2018-10-03,1.0,-0.14002653500663376,-0.3921090980272745,-0.0,-0.3350588337647084,-0.30780607695151924,0.0
2018-10-04,1.0,-0.14530119431610145,-0.3869758521488972,-0.0,-0.34234155696974977,-0.30479034085955886,0.0
2018-10-05,1.0,-0.14089556130097552,-0.3849262389467052,-0.0,-0.34227735894149086,-0.3045603667412606,0.0
2018-10-08,1.0,-0.14069085379100588,-0.38500977623289157,-0.0,-0.3422550510536607,-0.3045187920921138,0.0
2018-10-09,1.0,-0.13663353415838353,-0.3853665963416491,-0.0,-0.34460708615177155,-0.30837157709289426,0.0
2018-10-10,1.0,-0.13727280633098532,-0.3847291068788591,-0.0,-0.3449647795460475,-0.30711366205757024,0.0
2018-10-11,1.0,-0.10325914317782342,-0.37474852290294575,-0.0,-0.3318015289807501,-0.3079138518879312,0.0
2018-10-12,1.0,-0.10176498982140234,-0.37060588889588447,-0.0,-0.3256941383869546,-0.3006149132195849,0.0
2018-10-15,1.0,-0.08723595787887035,-0.38304687336445664,-0.0,-0.32267046287185713,-0.3005422153369481,0.0
2018-10-16,1.0,-0.08448846266594078,-0.3876627999497466,-0.0,-0.32193559194271115,-0.2998031743372838,0.0
2018-10-17,1.0,-0.0760190357955721,-0.37152907097041177,-0.0,-0.31926339747568794,-0.3022967101179392,0.0
2018-10-18,1.0,-0.07586634943622633,-0.3713665046032895,-0.0,-0.319375193958829,-0.30228612806454946,0.0
2018-10-19,1.0,-0.06722516529095314,-0.3645846166481869,-0.0,-0.32004845796887194,-0.3014249928134368,0.0
2018-10-22,1.0,-0.06760864207672718,-0.3645978805553273,-0.0,-0.3200525753717243,-0.3014868972315781,0.0
2018-10-23,1.0,-0.06599099562115823,-0.3651501757704089,-0.0,-0.32195793844952,-0.30269514626976135,0.0
2018-10-24,1.0,-0.06488384989833014,-0.36449154805184136,-0.0,-0.3219134471214082,-0.30262698461601656,0.0
2018-10-25,1.0,-0.04001285553591515,-0.33860276394022176,-0.0,-0.34207777599228667,-0.28798409127430497,0.0
