Date,IWF,IWM,MTUM,SPY,TPB,VLUE,VXX
2018-09-24,-0.9691644562334218,-1.8882625994694962,-0.03010610079575597,-1.4999336870026527,1.0,-1.2438328912466843,0.0
2018-09-25,-0.9692083084478069,-1.8900391532284826,-0.029530824872254297,-1.5014931315946645,1.0,-1.245935363992302,0.0
2018-09-26,-0.9693708059265165,-1.8915022257657297,-0.026709188758222046,-1.5044847518437312,1.0,-1.2520098332336722,0.0
2018-09-27,-0.9694013009425198,-1.8866985264834728,-0.028142838178680473,-1.5027213593521838,1.0,-1.2504978096375947,0.0
2018-09-28,-0.9756454618046314,-1.8881421346819272,-0.02947830715996806,-1.5066542454085707,1.0,-1.254325259515571,0.0
2018-10-01,-0.9765105137077456,-1.8866782006920415,-0.0298775618844823,-1.5069204152249136,1.0,-1.2542587170614852,0.0
2018-10-02,-0.977207597467511,-1.8984338553815396,-0.028723758747084306,-1.5062979006997668,1.0,-1.253848717094302,0.0
2018-10-03,-0.9755740432612312,-1.886389351081531,-0.027820299500831945,-1.5076206322795342,1.0,-1.2581697171381032,0.0
2018-10-04,-0.9855362260881156,-1.8760914483769913,-0.029927347863760584,-1.5209624741718324,1.0,-1.252882756781977,0.0
2018-10-05,-0.9643542093776867,-1.8614509622379471,-0.004364790688446531,-1.5260234111500561,1.0,-1.2571258514648502,0.0
2018-10-08,-0.9583113456464378,-1.8529683377308706,-0.0,-1.5308707124010554,1.0,-1.2541556728232188,0.0
2018-10-09,-1.0154553950111422,-2.0276040543454816,-0.0,-1.7059161814391486,1.0,-1.4395801883401622,0.0
2018-10-10,-1.0157327586206897,-2.0258620689655173,-0.0,-1.7058189655172415,1.0,-1.4364942528735634,0.0
2018-10-11,-0.8272627687251815,-1.971587019033274,-0.0,-1.6249486512392168,1.0,-1.4227029987676298,0.0
2018-10-12,-0.8140341515474919,-1.927828175026681,-0.0,-1.5691035218783351,1.0,-1.3593249733191035,0.0
2018-10-15,-0.7582600586197709,-1.9824140687450038,-0.0,-1.5598854249933385,1.0,-1.3607114308553159,0.0
2018-10-16,-0.7502666666666667,-1.9984000000000002,-0.0,-1.5584666666666667,1.0,-1.3594666666666666,0.0
2018-10-17,-0.6927022464614985,-1.8964420205168162,-0.0,-1.5366186209583172,1.0,-1.3669004025451241,0.0
2018-10-18,-0.6920929628667878,-1.8959361204881846,-0.0,-1.5370033757465593,1.0,-1.3667878473123862,0.0
2018-10-19,-0.6526888604353392,-1.863124199743918,-0.0,-1.5318822023047374,1.0,-1.3542893725992318,0.0
2018-10-22,-0.6527386741745584,-1.8484131046839007,-0.0,-1.5376887637573586,1.0,-1.3599308932684924,0.0
2018-10-23,-0.6777634130575306,-1.8707821590174532,-0.0,-1.5440853264382675,1.0,-1.3714932126696833,0.0
2018-10-24,-0.6770826580226905,-1.8812317666126417,-0.0,-1.5496920583468397,1.0,-1.3749108589951378,0.0
2018-10-25,-0.5850101532213403,-1.7515845178758231,-0.0,-1.5362746907882592,1.0,-1.2805981170389515,0.0
2018-10-26,-0.549789029535865,-1.7074743821579266,-0.0,-1.5227848101265824,1.0,-1.2476190476190476,0.0
2018-10-29,-0.5315552891819,-1.7065028468684447,-0.0,-1.5125561881929876,1.0,-1.2427329937069225,0.0
2018-10-30,-0.5181170270108403,-1.7058753069413668,-0.0,-1.5123076001676947,1.0,-1.2527999041744025,0.0
2018-10-31,-0.5200378295306775,-1.661721243645821,-0.0,-1.4960988296488946,1.0,-1.2330062655160186,0.0
2018-11-01,-0.48961651917404125,-1.6840707964601767,-0.0,-1.493451327433628,1.0,-1.232566371681416,0.0
2018-11-02,-0.4996781555386506,-1.6233834630464044,-0.0,-1.508104628708526,1.0,-1.2205512317865295,0.0
2018-11-05,-0.49742720149690095,-1.6275289439831597,-0.0,-1.5071336685767744,1.0,-1.2151210384750322,0.0
2018-11-06,-0.4989185713450634,-1.6275208978780615,-0.0,-1.5055825100835916,1.0,-1.213596773250716,0.0
2018-11-07,-0.49719560645010513,-1.6287099789670485,-0.0,-1.5033302173404999,1.0,-1.2132507595232531,0.0
2018-11-08,-0.4450811228431624,-1.8654390934844192,-0.0,-1.6798866855524077,1.0,-1.447913984032964,0.0
2018-11-09,-0.44427953797509195,-1.8699748338388076,-0.0,-1.6871007291733886,1.0,-1.4514422146221848,0.0
2018-11-12,-0.43939878477774225,-1.833002878157979,-0.0,-1.6863447393668054,1.0,-1.4370962583946276,0.0
2018-11-13,-0.3919658012195889,-1.8095178223423651,-0.0,-1.6720940466461307,1.0,-1.412962846545546,0.0
2018-11-14,-0.3920738259275647,-1.822387965362493,-0.0,-1.6823841729347073,1.0,-1.423867012198976,0.0
2018-11-15,-0.3893587477909619,-1.8211941428932086,-0.0,-1.6818985104771522,1.0,-1.419086089371371,0.0
2018-11-16,-0.388228636106395,-1.8092183864679618,-0.0,-1.6741495315349304,1.0,-1.4165251839275608,0.0
2018-11-19,-0.3954030226700252,-1.8102015113350125,-0.0,-1.6738035264483626,1.0,-1.4178841309823678,0.0
2018-11-20,-0.33499222395023326,-1.7867496111975114,-0.0,-1.6674961119751166,1.0,-1.431601866251944,0.0
2018-11-21,-0.33798762937105764,-1.763243309449446,-0.0,-1.6504378712719703,1.0,-1.372404923755282,0.0
2018-11-23,-0.34317275237803,-1.7361153728137464,-0.0,-1.6737035900582997,1.0,-1.3838600797790732,0.0
2018-11-26,-0.34183579618615484,-1.7400208473848793,-0.0,-1.6697528971733397,1.0,-1.379912931510209,0.0
2018-11-27,-0.31749072929542643,-1.7825092707045735,-0.0,-1.6879480840543883,1.0,-1.392583436341162,0.0
2018-11-28,-0.31649956677806657,-1.795086025498205,-0.0,-1.685357098650823,1.0,-1.3920039608862484,0.0
2018-11-29,-0.23492672067280937,-1.794879722960856,-0.0,-1.714303382598479,1.0,-1.4398614804279266,0.0
2018-11-30,-0.2341596093218767,-1.7950176176052421,-0.0,-1.7152129566668728,1.0,-1.4372875069543178,0.0
2018-12-03,-0.23123456790123456,-1.7937654320987655,-0.0,-1.712962962962963,1.0,-1.4349382716049381,0.0
2018-12-04,-0.21626764886433394,-1.7937384898710869,-0.0,-1.7020871700429714,1.0,-1.4265807243707798,0.0
2018-12-06,-0.18691863887907686,-1.651183327446132,-0.0,-1.6939832803485222,1.0,-1.3551159778641233,0.0
2018-12-07,-0.18264302126907442,-1.6535085135214753,-0.0,-1.6966947504860663,1.0,-1.3588640782419137,0.0
2018-12-10,-0.1259418105946447,-1.6555581314477803,-0.0,-1.6927668946331285,1.0,-1.3215486264054712,0.0
