Date,CBTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.16401926057117555,-0.6738709320345362,-0.0,-0.4489428824441001,-0.4804903697144122,0.0
2018-09-25,1.0,-0.1615326821938392,-0.6803016389793249,-0.0,-0.45393327211509027,-0.4869076439324373,0.0
2018-09-26,1.0,-0.161286731967943,-0.6801814336598397,-0.0,-0.4539737310774711,-0.4872829474621549,0.0
2018-09-27,1.0,-0.1610409469332276,-0.7089822733193634,-0.0,-0.4645183213456419,-0.49719657926035005,0.0
2018-09-28,1.0,-0.16418926585725632,-0.7084704413933961,-0.0,-0.465845909451946,-0.4982128673550437,0.0
2018-10-01,1.0,-0.1650116325256767,-0.7077115133632185,-0.0,-0.4662940475514952,-0.49818419111388523,0.0
2018-10-02,1.0,-0.16487322903949347,-0.7117060844382612,-0.0,-0.4654041622895432,-0.49720337298770617,0.0
2018-10-03,1.0,-0.16748852720690935,-0.7222871476213552,-0.0,-0.4656101245617536,-0.49496907334036433,0.0
2018-10-04,1.0,-0.16663322919950702,-0.7325384769711386,-0.0,-0.46487632913931964,-0.5020205783726462,0.0
2018-10-05,1.0,-0.15120490517610152,-0.7257949522315699,-0.0,-0.46750320832739195,-0.5073720233851419,0.0
2018-10-08,1.0,-0.14819980076846448,-0.7224135477444144,-0.0,-0.46936103600398466,-0.5061904084246478,0.0
2018-10-09,1.0,-0.14340267882587632,-0.7231404958677685,-0.0,-0.47227130236534626,-0.5109717868338558,0.0
2018-10-10,1.0,-0.14457865648680987,-0.7223235143296678,-0.0,-0.47302148025753515,-0.5088883824283517,0.0
2018-10-11,1.0,-0.09844373061586176,-0.7108440407620735,-0.0,-0.4523704031900753,-0.5075321222862207,0.0
2018-10-12,1.0,-0.09231999117874076,-0.7113518579777263,-0.0,-0.4486437313926563,-0.5043003638769433,0.0
2018-10-15,1.0,-0.08173143030003024,-0.7187800786513764,-0.0,-0.4458378021615378,-0.5036713142479994,0.0
2018-10-16,1.0,-0.07737603874305211,-0.7266798745253426,-0.0,-0.44491222277254966,-0.502669088107424,0.0
2018-10-17,1.0,-0.05801696339051025,-0.6935479500311628,-0.0,-0.44370376392163235,-0.5145381134325122,0.0
2018-10-18,1.0,-0.05760268776417037,-0.6930475777609191,-0.0,-0.44421263682670425,-0.5145767855207543,0.0
2018-10-19,1.0,-0.04445639027012498,-0.6856605294987232,-0.0,-0.4438919500067195,-0.5138019083456524,0.0
2018-10-22,1.0,-0.0484002169197397,-0.7055314533622559,-0.0,-0.4437364425162689,-0.5138286334056399,0.0
2018-10-23,1.0,-0.04285401739320681,-0.7126839140184872,-0.0,-0.456188809276377,-0.5230268555488705,0.0
2018-10-24,1.0,-0.04061177113204971,-0.7104192270927217,-0.0,-0.456097227912058,-0.5239928990850745,0.0
2018-10-25,1.0,-0.017067926631805272,-0.6798768348684735,-0.0,-0.45504738141374457,-0.5024287951583362,0.0
2018-10-26,1.0,-0.019697493287966186,-0.680241367394136,-0.0,-0.45522209521784207,-0.5030968393630878,0.0
2018-10-29,1.0,-0.011260962878567076,-0.6826528178903579,-0.0,-0.4518163270713548,-0.5039082165284438,0.0
2018-10-30,1.0,-0.0,-0.6843308174763474,-0.0,-0.4528542574678431,-0.5204103327309451,0.0
2018-10-31,1.0,-0.0,-0.6689365745506375,-0.0,-0.4528994114076068,-0.5175917861007734,0.0
