Date,IWF,IWM,MTUM,SPY,TRN,VLUE,VXX
2018-09-24,-0.2587991718426501,-0.6605417529330573,-0.0006613756613756613,-0.4757591442374051,1.0,-0.4797849091327352,0.0
2018-09-25,-0.26008220989393205,-0.6592026215182961,-0.0028169823794877693,-0.47451780735289895,1.0,-0.47788093937738946,0.0
2018-09-26,-0.259605698661678,-0.659346668585408,-0.0,-0.4763275291408836,1.0,-0.4827457188084616,0.0
2018-09-27,-0.2613309559415622,-0.6543483262395031,-0.0015529736569653745,-0.4762164960312895,1.0,-0.4824571494305763,0.0
2018-09-28,-0.25999424791486914,-0.6554501006614898,-0.0020707506471095774,-0.4760713258556227,1.0,-0.4824561403508772,0.0
2018-10-01,-0.2604693971468017,-0.6548838011965026,-0.0021571560055223195,-0.47627128393925444,1.0,-0.4824263690750115,0.0
2018-10-02,-0.2618513404671499,-0.6436543550799677,-0.006299620296858819,-0.4791450926245541,1.0,-0.48558853986882977,0.0
2018-10-03,-0.2617185253350204,-0.6416288031287745,-0.006240294472882039,-0.4795824466555473,1.0,-0.48654166906309315,0.0
2018-10-04,-0.26025094902778984,-0.65655336289084,-0.005766611608565881,-0.47854182966762293,1.0,-0.4967110029267727,0.0
2018-10-05,-0.24084985342350448,-0.6504803645546107,-0.0,-0.49461585348155457,1.0,-0.5165587902359736,0.0
2018-10-08,-0.23862475556722995,-0.6514607594197823,-0.0,-0.507573767621049,1.0,-0.5209701427195517,0.0
2018-10-09,-0.23977581224275332,-0.6519543450973524,-0.0,-0.5072539918848703,1.0,-0.5201272732580203,0.0
2018-10-10,-0.24278621495327102,-0.6511974299065421,-0.0,-0.5095210280373832,1.0,-0.5170560747663552,0.0
2018-10-11,-0.21654585203083648,-0.6451789207225865,-0.0,-0.4990507421470487,1.0,-0.5157634334368887,0.0
2018-10-12,-0.21368571428571428,-0.6425714285714286,-0.0,-0.4923428571428572,1.0,-0.5085428571428572,0.0
2018-10-15,-0.18741614091181594,-0.668902909018242,-0.0,-0.48813839961175026,1.0,-0.5103200205543978,0.0
2018-10-16,-0.1779410498521941,-0.6922193840943661,-0.0,-0.48902218523089286,1.0,-0.5108343139224522,0.0
2018-10-17,-0.16124193365787387,-0.662826899128269,-0.0,-0.4867542171402694,1.0,-0.5194724329219971,0.0
