Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WHR
2018-09-24,-0.34280897114178166,-1.0482669385194479,-0.0,-0.7121235884567128,-0.8177540777917189,0.0,1.0
2018-09-25,-0.3418099050310023,-1.0497213719488268,-0.0,-0.7132878110038459,-0.819480417549643,0.0,1.0
2018-09-26,-0.34255552939329725,-1.0504669963111215,-0.0,-0.7132485676163567,-0.8180676556000315,0.0,1.0
2018-09-27,-0.34306225726727074,-1.0489584559256209,-0.0,-0.7130752030128279,-0.8178180534306224,0.0,1.0
2018-09-28,-0.341924600839512,-1.0501353418853712,-0.0,-0.7130359734808364,-0.8178180534306224,0.0,1.0
2018-10-01,-0.3424211517338773,-1.049505727286992,-0.0,-0.713204142476071,-0.8177075160834772,0.0,1.0
2018-10-02,-0.3454673832032323,-1.0387949633232652,-0.0,-0.7169811320754718,-0.8214019534774252,0.0,1.0
2018-10-03,-0.34832212124788536,-1.0496479011762854,-0.0,-0.7171407215075337,-0.8189936661552382,0.0,1.0
2018-10-04,-0.3548679185858824,-1.0419274831699539,-0.0,-0.7255619857485925,-0.8145348608322507,0.0,1.0
2018-10-05,-0.3315415702122651,-1.0322517361792287,-0.0,-0.7329226664574097,-0.8268529054027545,0.0,1.0
2018-10-08,-0.33040545839541996,-1.031605364285154,-0.0,-0.7328052701748882,-0.8264449847070817,0.0,1.0
2018-10-09,-0.3246034239045076,-1.0325899167582848,-0.0,-0.7366499136170881,-0.8326527406942045,0.0,1.0
2018-10-10,-0.32782744657819823,-1.0635448823317164,-0.0,-0.7540392093974261,-0.8636892114019965,0.0,1.0
2018-10-11,-0.23168594461969858,-1.055691864314367,-0.0,-0.7245394711220159,-0.8826186859835651,0.0,1.0
2018-10-12,-0.2401355044847365,-1.0516995803980445,-0.0,-0.7001963275204989,-0.8574893174731494,0.0,1.0
2018-10-15,-0.21063143339990784,-1.0779305576893534,-0.0,-0.6938853894607466,-0.858388385312644,0.0,1.0
2018-10-16,-0.20224156524418427,-1.0974426128485597,-0.0,-0.693845324295178,-0.8579956863349253,0.0,1.0
2018-10-17,-0.18155663234403394,-1.0595850999394305,-0.0,-0.6842443973349485,-0.860236220472441,0.0,1.0
2018-10-18,-0.18065493091046753,-1.0579973499905357,-0.0,-0.6863903085368163,-0.8607230740109787,0.0,1.0
2018-10-19,-0.15886902973866027,-1.045997296485431,-0.0,-0.6877440672874737,-0.8623085010513667,0.0,1.0
2018-10-22,-0.1590644592108721,-1.0367158463790969,-0.0,-0.6922701505424785,-0.866126065247588,0.0,1.0
2018-10-23,-0.1609743281789521,-1.0365936045638793,-0.0,-0.6905119351448731,-0.8651103437922234,0.0,1.0
2018-10-24,-0.16379244852997038,-1.039124819570007,-0.0,-0.7081212489554053,-0.88752564005166,0.0,1.0
2018-10-25,-0.12990024662274083,-0.9933006956969852,-0.0,-0.7018809585158463,-0.8558545293922774,0.0,1.0
2018-10-26,-0.14292086384418096,-1.0034568635468162,-0.0,-0.7067613277329666,-0.8639556926736796,0.0,1.0
2018-10-29,-0.15377964891177687,-1.010412359508326,-0.0,-0.7246927038303951,-0.870127429237304,0.0,1.0
2018-10-30,-0.14500977002855853,-1.0104464151510595,-0.0,-0.7250112731098752,-0.87723583345859,0.0,1.0
2018-10-31,-0.14612897089594828,-1.033288948069241,-0.0,-0.7362373977553739,-0.8887578466806164,0.0,1.0
2018-11-01,-0.11939560021313848,-1.0573190226079014,-0.0,-0.7377255081068738,-0.8915658065007233,0.0,1.0
2018-11-02,-0.12065035708858836,-1.0510180823583044,-0.0,-0.7377298282935725,-0.8894165020513601,0.0,1.0
2018-11-05,-0.11406612639348628,-1.0738500171213332,-0.0,-0.7417722482212836,-0.8750523151847202,0.0,1.0
2018-11-06,-0.11545630920226728,-1.0741431125651464,-0.0,-0.7408605013885191,-0.8737018298018032,0.0,1.0
2018-11-07,-0.11446928223844283,-1.0746274330900243,-0.0,-0.739279197080292,-0.8733652676399026,0.0,1.0
2018-11-08,-0.08403361344537816,-1.0761955006217734,-0.0,-0.7284546105437691,-0.879639748275992,0.0,1.0
2018-11-09,-0.0833992839645751,-1.0761635575654795,-0.0,-0.7297154701337856,-0.8793668739400792,0.0,1.0
2018-11-12,-0.08228228228228227,-1.0569444444444442,-0.0,-0.7379129129129128,-0.8766141141141139,0.0,1.0
2018-11-13,-0.048739620955430614,-1.0561492348363557,-0.0,-0.7418922441076815,-0.8766429608668133,0.0,1.0
2018-11-14,-0.05189330348815519,-1.0564819996269352,-0.0,-0.744749113971274,-0.8775228502145123,0.0,1.0
2018-11-15,-0.050369375419744795,-1.057309156033132,-0.0,-0.7450190284307142,-0.8783672860234312,0.0,1.0
2018-11-16,-0.046660465116279075,-1.0469953488372095,-0.0,-0.7435534883720931,-0.8837209302325582,0.0,1.0
2018-11-19,-0.039646256464063556,-1.0579329985760324,-0.0,-0.7569137375402833,-0.8927902270853632,0.0,1.0
2018-11-20,-0.0,-1.0471680455209074,-0.0,-0.7637105529143114,-0.9326170778272751,0.0,1.0
2018-11-21,-0.0,-1.0477660801309476,-0.0,-0.7706558535768759,-0.9017149659610878,0.0,1.0
