Date,BHVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1179851762214492,-2.078959310240508,-0.2457268189381334,-1.6020269248222658,-1.5183784601421872,0.0
2018-09-25,1.0,-1.1184499886251613,-2.0872070978994466,-0.2421324031242891,-1.6089330401152653,-1.5265033745355276,0.0
2018-09-26,1.0,-1.1270941212305818,-2.100974718245507,-0.25152299725860494,-1.614453243984161,-1.5210173621687482,0.0
2018-09-27,1.0,-1.134363580998782,-2.0844244823386116,-0.25677527405602923,-1.6157886723507917,-1.5213915956151034,0.0
2018-09-28,1.0,-1.1319835591414218,-2.0854772415892833,-0.25795402648804994,-1.6150098949611813,-1.521007763738773,0.0
2018-10-01,1.0,-1.1341658417726337,-2.083986903220894,-0.25820452295743546,-1.6166146348892103,-1.521510698241072,0.0
2018-10-02,1.0,-1.1344953569797533,-2.077104582128178,-0.261303090272492,-1.6166844268534024,-1.5219211447708936,0.0
2018-10-03,1.0,-1.1347193663848907,-2.0584875485492344,-0.2587769400654939,-1.6263803213768941,-1.5372781966339197,0.0
2018-10-04,1.0,-1.1354469060351415,-2.0702062643239114,-0.2605042016806723,-1.6275019098548513,-1.5457601222307105,0.0
2018-10-05,1.0,-1.1365723029839325,-2.082249426166794,-0.2486610558530987,-1.6339709257842385,-1.549655700076511,0.0
2018-10-08,1.0,-1.133160067268002,-2.076899556642715,-0.2378841155786577,-1.645314172144932,-1.5508332059318148,0.0
2018-10-09,1.0,-1.13178413086684,-2.0777404066656477,-0.23390918819752332,-1.6472251949243235,-1.5534321969117875,0.0
2018-10-10,1.0,-1.1321057457212713,-2.076482273838631,-0.2339547677261614,-1.647234107579462,-1.5508863080684596,0.0
2018-10-11,1.0,-1.0118854274324525,-2.084305329986712,-0.052487819282445,-1.6292632511442493,-1.604311235789163,0.0
2018-10-12,1.0,-1.0694825922351718,-2.1214460693341253,-0.03733946997253359,-1.617029173780714,-1.5780565659564991,0.0
2018-10-15,1.0,-1.0455351862803075,-2.1517593140153752,-0.002143701951507983,-1.6133944411590775,-1.5793169722057954,0.0
2018-10-16,1.0,-1.045686404967842,-2.151326975678273,-0.0027352702003400607,-1.6134397870924817,-1.5793597989206771,0.0
2018-10-17,1.0,-0.996091733647961,-2.080893739399749,-0.0,-1.6450114298355578,-1.6520905537939679,0.0
2018-10-18,1.0,-0.9948369966071692,-2.0783301371883756,-0.0,-1.6492107980528101,-1.6532674435757484,0.0
2018-10-19,1.0,-0.9528577693319691,-2.048457827802953,-0.0,-1.6544364858938752,-1.6530478000292357,0.0
2018-10-22,1.0,-0.9534696859021184,-2.043681519357195,-0.0,-1.6543462381300218,-1.6530314097881667,0.0
2018-10-23,1.0,-0.9749338429873566,-2.05983534254631,-0.0,-1.6563510732137607,-1.6596589238459278,0.0
2018-10-24,1.0,-0.9715545755237044,-2.0615950018375595,-0.0,-1.6569643513414185,-1.660124954061007,0.0
2018-10-25,1.0,-0.8722795758928572,-1.9155273437500002,-0.0,-1.6328125000000002,-1.5548270089285714,0.0
2018-10-26,1.0,-0.8392502907175594,-1.8688692797044943,-0.0,-1.6133114440112184,-1.5190505506532594,0.0
2018-10-29,1.0,-0.7890433360588717,-1.8958162987189968,-0.0,-1.593485963477787,-1.5354319978195694,0.0
2018-10-30,1.0,-0.7765522875816993,-1.8947440087145968,-0.0,-1.5927968409586055,-1.5441857298474946,0.0
2018-10-31,1.0,-0.7902505077860529,-1.846445497630332,-0.0,-1.5959377115775222,-1.5378469871360867,0.0
2018-11-01,1.0,-0.774326423121075,-1.853264906475792,-0.0,-1.5908569113377,-1.5342021743534338,0.0
2018-11-02,1.0,-0.7805955942344303,-1.8751019853141149,-0.0,-1.5971580092466686,-1.5461653521892849,0.0
2018-11-05,1.0,-0.7746450166451526,-1.8895984781574835,-0.0,-1.5968476119301585,-1.5328486989605272,0.0
2018-11-06,1.0,-0.7889720898570456,-1.9049012933968688,-0.0,-1.5916950306330837,-1.5217154526889038,0.0
2018-11-07,1.0,-0.7870748299319729,-1.905714285714286,-0.0,-1.588843537414966,-1.5210204081632654,0.0
2018-11-08,1.0,-0.7426120753199759,-1.889432419754741,-0.0,-1.5576626683642698,-1.5114253166253435,0.0
