Date,IRBO,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-07,1.0,-0.3279921517331589,-0.40490983836307576,-0.24261889189946745,-0.1473885826403812,-0.21288423806409418,0.0
2019-03-08,1.0,-0.3335830855323234,-0.40595658994591305,-0.2350324287620876,-0.15151373246856634,-0.21536444309162003,0.0
2019-03-11,1.0,-0.33300547983700995,-0.40527375766942997,-0.23572666385649382,-0.15263922064540303,-0.21521240222940377,0.0
2019-03-12,1.0,-0.33390322731743877,-0.40603775352475524,-0.2350461379924118,-0.1519977516511312,-0.21502178087966647,0.0
2019-03-13,1.0,-0.3341061308603812,-0.4067959346166456,-0.23457917661936206,-0.15135122476698984,-0.2149782211606014,0.0
2019-03-14,1.0,-0.3339421613394216,-0.40690785622292475,-0.23475002927057723,-0.15115326074230184,-0.21489286968739024,0.0
2019-03-15,1.0,-0.3330833938655482,-0.40869789347892305,-0.23338097804437988,-0.15120556740164492,-0.2168146776952457,0.0
2019-03-18,1.0,-0.3323175734277209,-0.4079135510184947,-0.2338201167342538,-0.1517310892852957,-0.21830243079158954,0.0
2019-03-19,1.0,-0.33170834602854665,-0.4069655705814798,-0.235310661635456,-0.15182693885204024,-0.21794360981554833,0.0
2019-03-20,1.0,-0.3327942624103502,-0.40402193784277884,-0.2362068157314958,-0.15124455069610465,-0.21954249285145083,0.0
2019-03-21,1.0,-0.34199559863276674,-0.40209299058856585,-0.23416210141873858,-0.15617830219600132,-0.20674720232242355,0.0
2019-03-22,1.0,-0.3374395175428344,-0.4013230172272738,-0.23875084733877186,-0.15880881699820013,-0.20116406816109952,0.0
2019-03-25,1.0,-0.33337995990115166,-0.38779316454515783,-0.2517135263673241,-0.15736466638690727,-0.20110038700051291,0.0
2019-03-26,1.0,-0.3339008746355685,-0.38348688046647234,-0.2505889212827988,-0.15801749271137028,-0.20634402332361512,0.0
2019-03-27,1.0,-0.3404622122821731,-0.37955456155064765,-0.24979032708974,-0.15599664523343584,-0.20389525673283013,0.0
2019-03-28,1.0,-0.340929766042313,-0.3781110774183014,-0.24888619346411328,-0.15940845793193534,-0.2052669636817429,0.0
2019-03-29,1.0,-0.34016699318966326,-0.37594458438287154,-0.2501632614982741,-0.15934322231551454,-0.2066890568150014,0.0
