Date,IDRV,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-18,1.0,-0.21749139614919544,-0.14382383034136362,-0.04755371593340155,-0.3071109664217282,-0.6093851734722352,0.0
2019-12-19,1.0,-0.21703335038839017,-0.14340201869854413,-0.04802548955765385,-0.3079212986650542,-0.6092841527512908,0.0
2019-12-20,1.0,-0.2159862363991444,-0.14344833999814005,-0.04726587928950061,-0.3088207941969683,-0.609411327071515,0.0
2019-12-23,1.0,-0.21815393908417163,-0.14768951978254305,-0.04291057779429873,-0.31129335780498574,-0.6032107427456265,0.0
2019-12-24,1.0,-0.21765799256505575,-0.14767657992565056,-0.04375,-0.31098977695167285,-0.6033457249070633,0.0
2019-12-26,1.0,-0.21834406153417146,-0.146910510538424,-0.04333883298863663,-0.3115980758952432,-0.6036065345200194,0.0
2019-12-27,1.0,-0.21802379624465515,-0.14728574084402307,-0.043711656441717796,-0.3114194088120468,-0.603411414761108,0.0
2019-12-30,1.0,-0.21825073835492198,-0.1429269086765424,-0.046324504081300434,-0.3135275923815725,-0.6045208250970908,0.0
2019-12-31,1.0,-0.21651256795056453,-0.14375319425730612,-0.045323607303814524,-0.31266552060586345,-0.6048645634902198,0.0
2020-01-02,1.0,-0.2178107347916037,-0.14544736046863013,-0.04584021013970571,-0.3128850043004254,-0.6025709570189915,0.0
2020-01-03,1.0,-0.23216157663009296,-0.13732615836187015,-0.03694644396300696,-0.32024133994921616,-0.6028606704405154,0.0
2020-01-06,1.0,-0.2345486313337216,-0.13306930693069305,-0.031636575422248105,-0.32284216656959813,-0.6075247524752475,0.0
2020-01-07,1.0,-0.23207753780200835,-0.1333146944386198,-0.033736399431513714,-0.321567531045409,-0.6091656764753851,0.0
2020-01-08,1.0,-0.23224769359798714,-0.1312319448327276,-0.03413009039232131,-0.3186795266051626,-0.6133864504705993,0.0
2020-01-09,1.0,-0.23535035560219192,-0.13095487932843652,-0.03406785589366911,-0.3197621545995103,-0.6116824064358167,0.0
2020-01-10,1.0,-0.23389727815063385,-0.13257363907531694,-0.03290454884414616,-0.31790641312453394,-0.613091909023117,0.0
