Date,IWF,IWM,MOBL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9595515361744301,-1.7031714568880079,1.0,-0.24609762140733402,-1.2588577799801783,-1.026573339940535,0.0
2018-09-25,-0.9617408530923047,-1.6999938091995295,1.0,-0.2502940630223488,-1.2561753234693245,-1.022596421717328,0.0
2018-09-26,-0.9651559303118608,-1.7050654101308202,1.0,-0.25525451050902104,-1.2571145142290285,-1.01748403496807,0.0
2018-09-27,-0.9668132004210267,-1.6959321404247416,1.0,-0.2574453594204693,-1.2555259736239242,-1.0158504117392113,0.0
2018-09-28,-0.9632919254658385,-1.7075155279503105,1.0,-0.25944099378881985,-1.26,-1.0209316770186334,0.0
2018-10-01,-0.9631218905472637,-1.7113805970149254,1.0,-0.26050995024875623,-1.2608830845771146,-1.0229477611940299,0.0
2018-10-02,-0.9655386912167206,-1.6930828564319482,1.0,-0.2675416770340881,-1.2657377457078876,-1.0285518785767604,0.0
2018-10-03,-0.9680778103373028,-1.7027869567928176,1.0,-0.2700916515992269,-1.2662884219714445,-1.0275578277947504,0.0
2018-10-04,-0.9691646421229676,-1.6975643181959756,1.0,-0.27091509375194667,-1.2671774746153366,-1.0245436989970722,0.0
2018-10-05,-0.9497615065353405,-1.686923124574119,1.0,-0.24772347147370377,-1.2764046335873136,-1.033760763179087,0.0
2018-10-08,-0.9457005189028911,-1.6799481097108973,1.0,-0.2411662960217445,-1.2795280454657771,-1.0310106251544353,0.0
2018-10-09,-0.9496442932261059,-1.6825858335910922,1.0,-0.24682957005876896,-1.2788741107330655,-1.028270955768636,0.0
2018-10-10,-0.9507172891417264,-1.6808681672025725,1.0,-0.24802127133316842,-1.2791862478357654,-1.0247341083353945,0.0
2018-10-11,-0.8650586701434159,-1.6594168543321084,1.0,-0.13565248311011024,-1.2426217849946664,-1.0235865829086168,0.0
2018-10-12,-0.8723726346433769,-1.6422125181950509,1.0,-0.12425036390101891,-1.206288209606987,-0.9772925764192139,0.0
2018-10-15,-0.8391830026998474,-1.737645263528583,1.0,-0.06033572015494776,-1.2254959502289002,-1.0066322338302618,0.0
2018-10-16,-0.8364351552867962,-1.7494275817530676,1.0,-0.05195796395232783,-1.2261492397111489,-1.0069277285269769,0.0
2018-10-17,-0.8076349879628568,-1.6855439642324888,1.0,-0.0333600825404104,-1.2057205089991976,-0.9997134013527457,0.0
2018-10-18,-0.8095019508836356,-1.6895226072986,1.0,-0.03184530640348864,-1.20587560247877,-1.0012049575395916,0.0
2018-10-19,-0.7927078600636076,-1.6742389822807817,1.0,-0.011926397092230805,-1.206326669695593,-0.9940935938209905,0.0
2018-10-22,-0.7926960867836655,-1.6733117510081217,1.0,-0.014426080536150396,-1.2052592718805022,-0.993866075992503,0.0
2018-10-23,-0.7946403224890706,-1.6721739624141259,1.0,-0.019360699483336172,-1.2006472491909383,-0.990859024584114,0.0
2018-10-24,-0.7958709091940332,-1.6691622709999434,1.0,-0.009074924848278602,-1.2036753445635529,-0.9939878622880154,0.0
2018-10-25,-0.7347282608695652,-1.5796195652173914,1.0,-0.0,-1.195108695652174,-0.9252717391304348,0.0
2018-10-26,-0.702005577005577,-1.5533569283569282,1.0,-0.0,-1.1998605748605748,-0.9072822822822822,0.0
2018-10-29,-0.6678758135068815,-1.5696681958817882,1.0,-0.0,-1.1836658487143925,-0.9132081510722289,0.0
2018-10-30,-0.6826331281776826,-1.5742039068771743,1.0,-0.0,-1.187797698688788,-0.9072518062617073,0.0
2018-10-31,-0.6870957480648923,-1.5387551691231045,1.0,-0.0,-1.1806807337503975,-0.8951330717845403,0.0
2018-11-01,-0.823105317799054,-1.6000115353558657,1.0,-0.007151920636751644,-1.3142807705617716,-1.0231283885107856,0.0
2018-11-02,-0.830702356440174,-1.5558796614047128,1.0,-0.0,-1.3210935712651568,-1.0118393960192176,0.0
2018-11-05,-0.8281794798513861,-1.5612460703058018,1.0,-0.0,-1.3204344098313805,-1.0060588739639897,0.0
2018-11-06,-0.8350385824521291,-1.5669619891397542,1.0,-0.0,-1.3154615604458417,-0.9984567019148328,0.0
2018-11-07,-0.8333904305127328,-1.5662898252826312,1.0,-0.0,-1.3128925431083704,-0.9968025579536373,0.0
2018-11-08,-0.7827414612078715,-1.57040262384076,1.0,-0.0,-1.2963130513458494,-1.0054286360551912,0.0
2018-11-09,-0.7822817729534146,-1.5697648123021257,1.0,-0.0,-1.2964156490275893,-1.0050881953867028,0.0
2018-11-12,-0.7823317172172737,-1.539125042282106,1.0,-0.0,-1.313620475814635,-1.0025369263727588,0.0
2018-11-13,-0.7426245050471251,-1.5309798672689754,1.0,-0.0,-1.313925603703084,-0.9894038257765881,0.0
2018-11-14,-0.7439071998215382,-1.529976019184652,1.0,-0.0,-1.314148681055156,-0.9888461323964084,0.0
2018-11-15,-0.7423896711002281,-1.5290778563080862,1.0,-0.0,-1.3145973621236575,-0.9790750737381045,0.0
