Date,IOSP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2513659552630784,-0.8216258640987713,-0.0629094092432155,-0.4531952787756211,-0.42958915688109395,0.0
2018-09-25,1.0,-0.2522256088360443,-0.8205932945046323,-0.06442948969429943,-0.4523040709780608,-0.4282222289283882,0.0
2018-09-26,1.0,-0.25284442432473214,-0.8213671344499774,-0.0657914591821337,-0.45193903727176704,-0.4260147879885318,0.0
2018-09-27,1.0,-0.2548404608239339,-0.815941854152844,-0.06734423065323603,-0.4519271367392485,-0.4258399179685144,0.0
2018-09-28,1.0,-0.25381506725375474,-0.8166053441100187,-0.06779661016949153,-0.4518065022015803,-0.42587007660293147,0.0
2018-10-01,1.0,-0.25343189017951423,-0.8175592095338663,-0.06815507618041936,-0.45168200331875097,-0.42621813244833306,0.0
2018-10-02,1.0,-0.2541292203060481,-0.8472795725042507,-0.060268399319893126,-0.4505100801554531,-0.42400412922030606,0.0
2018-10-03,1.0,-0.25397596212213186,-0.8440876532718223,-0.06003399295860143,-0.45134757800169967,-0.42567075391526044,0.0
2018-10-04,1.0,-0.25527138132945,-0.8412062740814903,-0.06049573738660841,-0.4528078638390825,-0.4241072782985953,0.0
2018-10-05,1.0,-0.2490015732784703,-0.8414014280527654,-0.05373351083141717,-0.4549800314655695,-0.42641897615878016,0.0
2018-10-08,1.0,-0.2479149039042669,-0.8401426326604617,-0.052066964825335425,-0.4558805753656473,-0.4258431040734921,0.0
2018-10-09,1.0,-0.24574349048900715,-0.841624580397375,-0.04575558714125865,-0.45988447697099827,-0.43115492787371096,0.0
2018-10-10,1.0,-0.2450024230676036,-0.8447116549551733,-0.04364550520959534,-0.4605948630966804,-0.4348800581536225,0.0
2018-10-11,1.0,-0.22007319903591516,-0.8494063736721517,-0.012437884964441932,-0.4538637783795043,-0.43975957389829506,0.0
2018-10-12,1.0,-0.22020733039959833,-0.8504681177825688,-0.008092383118225582,-0.4452878112171062,-0.4293393189403113,0.0
2018-10-15,1.0,-0.1957009566552498,-0.8810972008976026,-0.0,-0.44307310735797806,-0.43279792134167944,0.0
2018-10-16,1.0,-0.19234630602964625,-0.8865528848993091,-0.0,-0.44212484497726334,-0.4318195240063781,0.0
2018-10-17,1.0,-0.18420667232945725,-0.8727336633373364,-0.0,-0.43897366802378374,-0.43314489909492987,0.0
