Date,IWF,IWM,MTUM,SPY,UVE,VLUE,VXX
2018-09-24,-0.2766350634742086,-1.1946408484653706,-0.0,-0.743652579141893,1.0,-0.8024264824039852,0.0
2018-09-25,-0.28094626074383483,-1.193107880151016,-0.0,-0.7426299301148687,1.0,-0.7997429512410635,0.0
2018-09-26,-0.29047118726258786,-1.2060130930251352,-0.0,-0.7489291198577547,1.0,-0.7956033298310837,0.0
2018-09-27,-0.29768739387078513,-1.1959650683269993,-0.0,-0.7517991428802459,1.0,-0.7975256731624484,0.0
2018-09-28,-0.295018068131065,-1.2069105526005928,-0.0,-0.7563441471436112,1.0,-0.8019814040358926,0.0
2018-10-01,-0.2973906681840351,-1.2059827670297512,-0.0,-0.7583319785400747,1.0,-0.8027150056901317,0.0
2018-10-02,-0.2974369406021155,-1.2124491456468673,-0.0,-0.7571196094385679,1.0,-0.8013425549227015,0.0
2018-10-03,-0.29784377542717655,-1.211920260374288,-0.0,-0.7571602929210741,1.0,-0.8014239218877136,0.0
2018-10-04,-0.29913800113848904,-1.2090753842400586,-0.0,-0.7579897535984387,1.0,-0.799829226640644,0.0
2018-10-05,-0.28408354922279794,-1.2050275259067358,-0.0,-0.7574481865284974,1.0,-0.8013681994818653,0.0
2018-10-08,-0.27954123253372104,-1.1999030772958565,-0.0,-0.7596316937242549,1.0,-0.7993296179630078,0.0
2018-10-09,-0.27555142603215643,-1.200169669548356,-0.0,-0.7614526945140179,1.0,-0.8025773612345479,0.0
2018-10-10,-0.2829118028534371,-1.2022535667963683,-0.0,-0.768644617380026,1.0,-0.7993677042801557,0.0
2018-10-11,-0.20996636157396542,-1.1798482359383557,-0.0,-0.7312837362121567,1.0,-0.7903465540170539,0.0
2018-10-12,-0.2059775073178247,-1.1707364042520414,-0.0,-0.7083269141888769,1.0,-0.7664458480973657,0.0
2018-10-15,-0.17244030912376487,-1.2026606174785652,-0.0,-0.7020646699219502,1.0,-0.7676573493790612,0.0
2018-10-16,-0.16863393440732055,-1.2089276788803875,-0.0,-0.700834326579261,1.0,-0.766427006036372,0.0
2018-10-17,-0.13976221928665786,-1.1596527646725798,-0.0,-0.6956784298924326,1.0,-0.7792413662955274,0.0
2018-10-18,-0.13870212283750097,-1.1579285336556622,-0.0,-0.700007554581854,1.0,-0.780690488781446,0.0
2018-10-19,-0.11309144122171774,-1.1468612810025889,-0.0,-0.7071029229672432,1.0,-0.7851487749052567,0.0
2018-10-22,-0.11342140819696742,-1.13590301756493,-0.0,-0.7132187359255368,1.0,-0.7906470499924936,0.0
2018-10-23,-0.12201451837364125,-1.1392033700680784,-0.0,-0.7100086508443976,1.0,-0.7899725429721293,0.0
2018-10-24,-0.11884722326595025,-1.1384985346058465,-0.0,-0.7097016607800406,1.0,-0.7903734876380852,0.0
2018-10-25,-0.09188065363291509,-1.0978625620075866,-0.0,-0.6980595272833381,1.0,-0.759702363583309,0.0
2018-10-26,-0.08600593643669008,-1.0865489032071236,-0.0,-0.6953232462173315,1.0,-0.7519003836965177,0.0
