Date,CNXN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39506784570818726,-1.0088428114041776,-0.0,-0.6977054429028815,-0.7099405397164202,0.0
2018-09-25,1.0,-0.3969826272477903,-1.0076577263029565,-0.0,-0.6968911917098446,-0.7083206339530631,0.0
2018-09-26,1.0,-0.3980416063400137,-1.0086870380248416,-0.0,-0.6969061952297492,-0.706469557265869,0.0
2018-09-27,1.0,-0.3991852585090992,-1.0052920124876266,-0.0,-0.6966420467524557,-0.7061219827914413,0.0
2018-09-28,1.0,-0.3985457590985229,-1.0057484391655245,-0.0,-0.6965128673671387,-0.7060682198873153,0.0
2018-10-01,1.0,-0.4046362175809043,-1.0074210083390711,-0.0,-0.70323617167776,-0.7099686328513503,0.0
2018-10-02,1.0,-0.4053092606051333,-1.0059671805072103,-0.0,-0.703553532494358,-0.7102857361435183,0.0
2018-10-03,1.0,-0.40673356825494106,-1.011299218630305,-0.0,-0.703347632909453,-0.7088248812624484,0.0
2018-10-04,1.0,-0.4084976076555024,-1.0075023923444977,-0.0,-0.70511004784689,-0.7066028708133971,0.0
2018-10-05,1.0,-0.39054223983538466,-0.9993141028083679,-0.0,-0.7082269557596311,-0.7124566551080288,0.0
2018-10-08,1.0,-0.38896924482338613,-0.9977542630937879,-0.0,-0.7080922655298416,-0.7115179658952497,0.0
2018-10-09,1.0,-0.39090701393648614,-0.9987434315741376,-0.0,-0.7077907242403472,-0.7103419389231589,0.0
2018-10-10,1.0,-0.3948100445833174,-0.9981709408223146,-0.0,-0.7108181229280189,-0.7067408451777617,0.0
2018-10-11,1.0,-0.3244061911270363,-0.9824904879760629,-0.0,-0.6804698755125411,-0.706586383953308,0.0
2018-10-12,1.0,-0.32852248706173914,-0.9752168525402725,-0.0,-0.6584663605219039,-0.6823748086595233,0.0
2018-10-15,1.0,-0.3209957418932198,-0.9803471994759253,-0.0,-0.6564763256541835,-0.6815882374349456,0.0
2018-10-16,1.0,-0.32037845705967977,-0.9812227074235808,-0.0,-0.6561499272197963,-0.6812954876273654,0.0
2018-10-17,1.0,-0.3103572457505042,-0.9613583981561511,-0.0,-0.6495966580236244,-0.6799553442811871,0.0
2018-10-18,1.0,-0.3129064893770776,-0.9688177482295128,-0.0,-0.6490099725393843,-0.682468564821506,0.0
2018-10-19,1.0,-0.29528589352930634,-0.9577343609965945,-0.0,-0.6501523570532354,-0.6817350779709627,0.0
2018-10-22,1.0,-0.6661672333314125,-1.691407825736184,-0.056647265602489484,-1.1634875813980292,-1.1850400507116925,0.0
