Date,AYI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4174120712114633,-1.1315675206252713,-0.0,-0.914329135909683,-0.8788536691272253,0.0
2018-09-25,1.0,-0.417267436810562,-1.1318075219317294,-0.0,-0.9145313992877616,-0.8792669156605577,0.0
2018-09-26,1.0,-0.4165761695842926,-1.13153207940576,-0.0,-0.9148603449024804,-0.8808913600625515,0.0
2018-09-27,1.0,-0.4174951161276319,-1.1287171695246365,-0.0,-0.9145213805079226,-0.8804862166268722,0.0
2018-09-28,1.0,-0.41540733020670484,-1.1314920965780788,-0.0,-0.9147125238839673,-0.8809275664408546,0.0
2018-10-01,1.0,-0.4175828951371083,-1.1304158880535395,-0.0,-0.9163443570466298,-0.8814480031289383,0.0
2018-10-02,1.0,-0.41767033349276056,-1.1347449889125614,-0.0,-0.9152137049436933,-0.8803426235923302,0.0
2018-10-03,1.0,-0.41678619550571566,-1.1237449471899856,-0.0,-0.9188507845438345,-0.8871213109053766,0.0
2018-10-04,1.0,-0.5750351335073278,-1.2811684400722745,-0.0,-1.1470588235294117,-1.0157598875727765,0.0
2018-10-05,1.0,-0.5447081205567237,-1.2680484630019024,-0.0,-1.1609592470211276,-1.0327926304195454,0.0
2018-10-08,1.0,-0.5444667000500751,-1.2687030545818727,-0.0,-1.1612919379068605,-1.0330495743615424,0.0
2018-10-09,1.0,-0.5484210526315789,-1.271077694235589,-0.0,-1.1615538847117794,-1.0315288220551377,0.0
2018-10-10,1.0,-0.5473715921072451,-1.2748405884420344,-0.0,-1.1628759351307927,-1.0357483556760556,0.0
2018-10-11,1.0,-0.43712574850299407,-1.241211126134827,-0.0,-1.1192292833687465,-1.0314854162642457,0.0
2018-10-12,1.0,-0.4425784966698383,-1.2284015223596574,-0.0,-1.0904852521408184,-0.9959086584205519,0.0
2018-10-15,1.0,-0.43180091185410335,-1.2340425531914894,-0.0,-1.0887158054711246,-0.994633358662614,0.0
2018-10-16,1.0,-0.4265425355056287,-1.2430057473994205,-0.0,-1.0871609746829431,-0.9931601196979053,0.0
2018-10-17,1.0,-0.39542665923034026,-1.1848856664807585,-0.0,-1.0727830451756832,-0.9946086633203198,0.0
2018-10-18,1.0,-0.3944787842171306,-1.1831110284891018,-0.0,-1.0749175070874193,-0.9949807129246643,0.0
2018-10-19,1.0,-0.3669847416217213,-1.1649840962522473,-0.0,-1.0815931406444474,-0.9962199787950029,0.0
2018-10-22,1.0,-0.3678049679708743,-1.1628185630674224,-0.0,-1.0814784091432785,-0.9964053643025025,0.0
2018-10-23,1.0,-0.3677588828978294,-1.1628185630674224,-0.0,-1.0815244942163234,-0.9964053643025025,0.0
2018-10-24,1.0,-0.3642932756478115,-1.1590187324527086,-0.0,-1.081971740231049,-0.9972844847424864,0.0
