Date,IWF,IWM,MTUM,SDY,SGEN,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.3376321898375032,-0.0,-0.0,1.0,-0.0,-0.8351818416301263,-0.046582409079184935,-0.5112716017539335,-0.6794428681970596,-0.0,-0.18834150116069126,-0.0,-0.0,-0.2816094918751612,-0.0,-1.014702089244261,-0.24885220531338664,-0.015063193190611297
2019-01-03,-0.0,-0.343073203354082,-0.0,-0.0,1.0,-0.0,-0.7684551674468851,-0.12876176758063687,-0.5075878388806008,-0.7081125572303102,-0.0,-0.20422861258295177,-0.0,-0.0,-0.30310201142034054,-0.0,-1.003755337208704,-0.15829003549565307,-0.018879571994444157
2019-01-04,-0.0,-0.3877645366755702,-0.0,-0.0,1.0,-0.0,-0.7446579001438257,-0.1445962605301007,-0.4470926648859668,-0.7414218204232587,-0.0021573864803780566,-0.1784466817341278,-0.0,-0.0,-0.34055886583110745,-0.0,-1.0330285596876927,-0.11690980069858228,-0.0
2019-01-07,-0.0,-0.3024517784026442,-0.0,-0.042474470919046915,1.0,-0.0,-0.8413990429677864,-0.11153865127522077,-0.3579991120319668,-0.640668935918307,-0.008090375413151793,-0.16437274924769377,-0.0,-0.0,-0.3003305214345617,-0.0,-0.9409501257954713,-0.12545015046125008,-0.09738049430220512
2019-01-08,-0.0,-0.3757060734816296,-0.0,-0.04623844038990252,1.0,-0.0,-0.8493876530867283,-0.15246188452886777,-0.3205198700324918,-0.5982504373906523,-0.03939015246188453,-0.10717320669832542,-0.0,-0.0,-0.3077230692326918,-0.0,-0.9581104723819045,-0.071232191952012,-0.1725568607848038
2019-01-09,-0.0,-0.418503997148531,-0.0,-0.07729517796221803,1.0,-0.0,-0.8699526452467029,-0.13182952288813074,-0.3309231630938439,-0.6337389887468812,-0.03452314272620805,-0.08060491878405214,-0.0,-0.0,-0.3204338306431081,-0.0,-1.003309740821834,-0.04597993787871073,-0.14486480981720046
2019-01-10,-0.0,-0.4492361146594451,-0.0,-0.09089980072556333,1.0,-0.0,-0.8756834091257473,-0.163405038066527,-0.30376577589290277,-0.6027285269020489,-0.06703796433498543,-0.08476827959736345,-0.0,-0.0,-0.2628889683715702,-0.0,-1.0171682591589597,-0.05421286597516734,-0.13780593735629248
2019-01-11,-0.0,-0.4390454869237815,-0.0,-0.08629286659204233,1.0,-0.0,-0.8594688104202707,-0.1601709575658899,-0.2959702859468811,-0.5992673247176148,-0.06899358909127913,-0.09082120687900683,-0.0,-0.0,-0.2643227841660731,-0.0,-1.0065635494047014,-0.06298972219395543,-0.1541670906685662
2019-01-14,-0.0,-0.4404010586319218,-0.0,-0.08077157980456026,1.0,-0.0,-0.8613599348534202,-0.1878053745928339,-0.2878155537459284,-0.5876934039087949,-0.06234731270358307,-0.09100162866449513,-0.0,-0.0,-0.27208876221498374,-0.0,-0.9995419381107493,-0.06621539087947884,-0.15243281758957655
2019-01-15,-0.0,-0.4023860074815489,-0.0,-0.12415327065008593,1.0,-0.0,-0.8710443837832372,-0.16464462642806593,-0.2653422303103832,-0.5938732180770397,-0.06839551107067031,-0.1387119603680113,-0.0,-0.0,-0.2948640177939541,-0.0,-0.9314022849054696,-0.044737640279041556,-0.15554544535436254
