Date,ARNA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.3967835982319197,-2.7019655788582715,-0.5440609423492899,-1.9369886203329258,-1.8248847926267282,0.0
2018-09-25,1.0,-1.3967478146442336,-2.6994078390826206,-0.5454460005639628,-1.935050286681079,-1.8228216937682113,0.0
2018-09-26,1.0,-1.398081985708913,-2.7012974802557355,-0.5476682963520121,-1.9350319669048515,-1.8200451297480256,0.0
2018-09-27,1.0,-1.403062182979523,-2.684952094683449,-0.5519443922600038,-1.9345294007138831,-1.8187112530527896,0.0
2018-09-28,1.0,-1.4003192788055216,-2.6857920931542867,-0.5527279556765894,-1.9335148840266692,-1.818104986383698,0.0
2018-10-01,1.0,-1.4147106338496627,-2.7252684595647625,-0.5598213437232727,-1.9583768887199469,-1.8447210871424498,0.0
2018-10-02,1.0,-1.4169913522759667,-2.7081630713674807,-0.5666634990021857,-1.9621780860971205,-1.8489974341917703,0.0
2018-10-03,1.0,-1.4148239536870075,-2.692227389199962,-0.5649615640125273,-1.9640315080193602,-1.8543228622947707,0.0
2018-10-04,1.0,-1.4151158374477784,-2.6942650968477024,-0.5652297759210027,-1.9643942271173567,-1.8557728826433728,0.0
2018-10-05,1.0,-1.410018024855327,-2.702020681149796,-0.5508016317237454,-1.967175789773266,-1.8567498339815958,0.0
2018-10-08,1.0,-1.4109550028479212,-2.70448072906778,-0.5508828555154737,-1.9685779381051831,-1.8582684640212646,0.0
2018-10-09,1.0,-1.4098718557190317,-2.705078310393925,-0.5481727574750831,-1.96953013763645,-1.859515899383009,0.0
2018-10-10,1.0,-1.4121666508493878,-2.702761696877669,-0.5505362057511626,-1.9705798614406376,-1.8542279586219985,0.0
2018-10-11,1.0,-1.2636729467715382,-2.714011340771904,-0.33418693982074266,-1.9371684653374792,-1.8967441009694528,0.0
2018-10-12,1.0,-1.3017508663140616,-2.733631223782601,-0.31761809228524535,-1.9096297647273393,-1.8564654386284882,0.0
2018-10-15,1.0,-1.261154020899591,-2.7969104952294415,-0.256792367105861,-1.9076783280327123,-1.8642435256701502,0.0
2018-10-16,1.0,-1.259195350104441,-2.7996548905639815,-0.25374625374625376,-1.906275542639179,-1.8629552265915903,0.0
2018-10-17,1.0,-1.1932485751863218,-2.6721613327487943,-0.2042086804033319,-1.8582200789127576,-1.8402455063568612,0.0
2018-10-18,1.0,-1.192233520336606,-2.6705820476858344,-0.20450561009817672,-1.858695652173913,-1.8397615708274895,0.0
2018-10-19,1.0,-1.1587301587301586,-2.645762858877613,-0.16618960881255962,-1.8643420938502904,-1.8386677075201665,0.0
2018-10-22,1.0,-1.1605440998093919,-2.6332524692427657,-0.15950441864494888,-1.868393692600936,-1.8422283832957895,0.0
2018-10-23,1.0,-1.1605858393274981,-2.6338504203137187,-0.1589392495016899,-1.8696594158939248,-1.8432273160585837,0.0
2018-10-24,1.0,-1.1663194444444445,-2.633854166666667,-0.13958333333333334,-1.8822916666666667,-1.8585069444444446,0.0
2018-10-25,1.0,-1.0554203180785457,-2.445959104186952,-0.11790003245699447,-1.7860272638753651,-1.7089419019798766,0.0
2018-10-26,1.0,-1.0207307386814932,-2.3955520254169973,-0.09396346306592533,-1.7631453534551231,-1.6693407466243049,0.0
2018-10-29,1.0,-0.986194383086147,-2.417955190911959,-0.05869359419375197,-1.7462922057431365,-1.6798674660776267,0.0
2018-10-30,1.0,-1.0140867489056904,-2.4346199761241545,-0.07234381217668126,-1.7611619578193392,-1.6764822920811777,0.0
2018-10-31,1.0,-1.0246141669964384,-2.3874950534230313,-0.07162643450732095,-1.7622477245745944,-1.6686189157103286,0.0
2018-11-01,1.0,-1.0103369367947603,-2.3980904284699753,-0.05657697467055946,-1.7593308608853466,-1.666377337646966,0.0
2018-11-02,1.0,-1.0117830667186891,-2.3431135388216933,-0.046664065548185724,-1.7562231759656655,-1.6455715957861883,0.0
2018-11-05,1.0,-1.0045347928068804,-2.377404222048475,-0.044644253322908514,-1.762861610633307,-1.6291634089132132,0.0
2018-11-06,1.0,-1.0179270392985753,-2.3896195396899955,-0.03945514325974636,-1.759902927822139,-1.6214185063410052,0.0
2018-11-07,1.0,-1.0128295392317923,-2.3890323085347727,-0.04717202534616287,-1.7549870922318707,-1.6188688101384652,0.0
2018-11-08,1.0,-0.9652643766885373,-2.392049401775376,-0.0,-1.7357776920108066,-1.6259359320725588,0.0
