Date,BWXT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2537879793021096,-0.514501791163593,-0.08836407058511345,-0.42892397505638846,-0.3679978771394454,0.0
2018-09-25,1.0,-0.2529428958626737,-0.5167007679430288,-0.08617436824063987,-0.4308452687800601,-0.37057901310020464,0.0
2018-09-26,1.0,-0.2533482142857143,-0.5172193877551021,-0.08715986394557824,-0.4305909863945578,-0.3689944727891157,0.0
2018-09-27,1.0,-0.25339462705604127,-0.5170727818669785,-0.08726383758934977,-0.4305529721255281,-0.3689846677118487,0.0
2018-09-28,1.0,-0.25374720952482194,-0.5168225789305836,-0.08743488891251196,-0.430530456043372,-0.3690602742638461,0.0
2018-10-01,1.0,-0.2530951303282835,-0.5202215181447856,-0.08788838893474267,-0.4308953912510983,-0.3703772730903379,0.0
2018-10-02,1.0,-0.25506234679739953,-0.5061813918789301,-0.09296067355856336,-0.43512202920174786,-0.3750666098262816,0.0
2018-10-03,1.0,-0.2547745252110913,-0.4998268651945769,-0.09202780811336334,-0.4376048797379005,-0.37937831286791146,0.0
2018-10-04,1.0,-0.2572295893912766,-0.49560632688927947,-0.09248016190019705,-0.44072535548809716,-0.37676412632475903,0.0
2018-10-05,1.0,-0.2480829950383401,-0.49019607843137253,-0.0838175595001194,-0.4472127145851575,-0.38398471702618797,0.0
2018-10-08,1.0,-0.24694007312033062,-0.48821067132941237,-0.08178350023843586,-0.4488687543050919,-0.3834843427118105,0.0
2018-10-09,1.0,-0.2496286078098472,-0.48909698641765703,-0.08685271646859083,-0.4470766129032258,-0.38014643463497455,0.0
2018-10-10,1.0,-0.24980582264241907,-0.5010847148940729,-0.08104561159171868,-0.4526073332083456,-0.3937648980903662,0.0
2018-10-11,1.0,-0.2316973576753866,-0.4979056350272663,-0.05864221923654469,-0.44880002107537087,-0.3973761163360468,0.0
2018-10-12,1.0,-0.2345450275305968,-0.4932021606951802,-0.05667910545131912,-0.43955011612431827,-0.3855588319720258,0.0
2018-10-15,1.0,-0.22573334028031056,-0.5071901213984266,-0.044417235450424634,-0.440030219350805,-0.3877455322252905,0.0
2018-10-16,1.0,-0.22305153991200502,-0.5307720511208883,-0.029148334380892517,-0.44481981981981983,-0.39110622250157134,0.0
2018-10-17,1.0,-0.21897772225692275,-0.521470955652717,-0.02612950239433687,-0.4435509056839475,-0.39241099312929417,0.0
2018-10-18,1.0,-0.21903547354449157,-0.5217447882778544,-0.0259219738177654,-0.44348437134008273,-0.39242120604846054,0.0
2018-10-19,1.0,-0.21228978007761964,-0.5158602846054333,-0.01961190168175938,-0.4467011642949547,-0.39285899094437254,0.0
2018-10-22,1.0,-0.2130901565127409,-0.5137498383132841,-0.017979562799120424,-0.44804035700426853,-0.39410166860690726,0.0
