Date,CINF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13443536116770252,-0.43948732496067255,-0.05108698455269877,-0.467622559764809,-0.4862418443922944,0.0
2018-09-25,1.0,-0.13313801239337292,-0.44670590370504815,-0.045476937436801576,-0.47372241955975014,-0.4937125670875574,0.0
2018-09-26,1.0,-0.13306022971816744,-0.4466799761466463,-0.0452954445279888,-0.4738002022349556,-0.493919987554772,0.0
2018-09-27,1.0,-0.13307403085699468,-0.4469078179696616,-0.04532607286399585,-0.4737974847659795,-0.4939193569298587,0.0
2018-09-28,1.0,-0.13211803754797222,-0.4478529198215953,-0.045716212011202156,-0.4736023234104346,-0.4938284410330879,0.0
2018-10-01,1.0,-0.13198983297022512,-0.4483608258118062,-0.045933188090050835,-0.47344122834318914,-0.49387903309471937,0.0
2018-10-02,1.0,-0.1325351488118528,-0.47325038474580694,-0.039204945613897806,-0.4719983305944649,-0.49145733886323917,0.0
2018-10-03,1.0,-0.13273458305049343,-0.4638139000574382,-0.03743929820897081,-0.477233564826902,-0.49960837554174714,0.0
2018-10-04,1.0,-0.13577153000757042,-0.4591850053515023,-0.03793040436473751,-0.4809825880387396,-0.49661941681676974,0.0
2018-10-05,1.0,-0.12260636219159524,-0.45303910585415413,-0.025792668629341115,-0.4929786624286794,-0.5109032644660396,0.0
2018-10-08,1.0,-0.1211521948427051,-0.4507298795243424,-0.02250787124977232,-0.49657828315682656,-0.5110717910020557,0.0
2018-10-09,1.0,-0.11865776711685874,-0.4531730719090577,-0.01420973040621578,-0.5025290712833081,-0.5187203420764457,0.0
2018-10-10,1.0,-0.12035467466423261,-0.45197548572173685,-0.016090754987612466,-0.5038466553657582,-0.5156343721476072,0.0
2018-10-11,1.0,-0.08758173273395996,-0.44480486309767064,-0.0,-0.4977778912954639,-0.5239834491213732,0.0
2018-10-12,1.0,-0.0789175549719347,-0.45179978371697815,-0.0,-0.5088058087440136,-0.535248982954838,0.0
2018-10-15,1.0,-0.05327499678291082,-0.4771844035516664,-0.0,-0.5054947883155321,-0.5376914168060738,0.0
2018-10-16,1.0,-0.052368820607838595,-0.47860212563370136,-0.0,-0.5051082117398801,-0.5373015260300059,0.0
2018-10-17,1.0,-0.04770195877608501,-0.47100243246703366,-0.0,-0.5036487005505057,-0.5381129176801946,0.0
2018-10-18,1.0,-0.04687781408392724,-0.4704505107160316,-0.0,-0.5131088069570586,-0.5424396017186817,0.0
2018-10-19,1.0,-0.03249226678937547,-0.46107830355088575,-0.0,-0.5176777360227012,-0.5451593936140297,0.0
2018-10-22,1.0,-0.032613700312068346,-0.4526525809587149,-0.0,-0.5228423799048447,-0.5498286182022817,0.0
2018-10-23,1.0,-0.02910405661828812,-0.454484845376686,-0.0,-0.5276424432022155,-0.5530283604287399,0.0
2018-10-24,1.0,-0.027735689154831916,-0.45787000179768356,-0.0,-0.5290069082410951,-0.5535067669945298,0.0
2018-10-25,1.0,-0.012581476428679702,-0.44009903491486024,-0.0,-0.5306199787782325,-0.5431003991713405,0.0
2018-10-26,1.0,-0.001052921858156384,-0.432475118453709,-0.0,-0.5357366692571887,-0.5376920955651934,0.0
2018-10-29,1.0,-0.0,-0.5070563983297215,-0.0,-0.5430783868069137,-0.5927110312384376,0.0
2018-10-30,1.0,-0.0,-0.5053251935833399,-0.0,-0.5403419752107614,-0.5971352308464811,0.0
2018-10-31,1.0,-0.0,-0.4990782196470898,-0.0,-0.539294179615486,-0.5952857519094022,0.0
2018-11-01,1.0,-0.0,-0.5031307550644567,-0.0,-0.535043409629045,-0.5927124440936595,0.0
2018-11-02,1.0,-0.0,-0.4792277870913663,-0.0,-0.5485383487007545,-0.5916806370494552,0.0
2018-11-05,1.0,-0.0,-0.4814203786628958,-0.0,-0.5481708434807657,-0.5891271898813732,0.0
2018-11-06,1.0,-0.0,-0.4794797157317809,-0.0,-0.550310754464637,-0.5926100752628957,0.0
2018-11-07,1.0,-0.0,-0.47975756303623435,-0.0,-0.5509930994673733,-0.5929997638601001,0.0
2018-11-08,1.0,-0.0,-0.47562469058599754,-0.0,-0.5376377706558274,-0.5923030824148623,0.0
2018-11-09,1.0,-0.0,-0.476000521444401,-0.0,-0.5390952939642811,-0.5921261895450398,0.0
2018-11-12,1.0,-0.0,-0.4633132404905425,-0.0,-0.5445333610475992,-0.5903398461858241,0.0
2018-11-13,1.0,-0.0,-0.4554087530966144,-0.0,-0.5394818331957061,-0.5856213872832371,0.0
2018-11-14,1.0,-0.0,-0.4553882705368902,-0.0,-0.5410737804405651,-0.5860083154714253,0.0
2018-11-15,1.0,-0.0,-0.45710212545360296,-0.0,-0.5416796267496112,-0.593260756868844,0.0
2018-11-16,1.0,-0.0,-0.45150025866528715,-0.0,-0.5398861872736679,-0.595266425245732,0.0
2018-11-19,1.0,-0.0,-0.452201599751495,-0.0,-0.5407574227951645,-0.5956356294167896,0.0
2018-11-20,1.0,-0.0,-0.4364334690931587,-0.0,-0.5323761406403051,-0.6089085941124917,0.0
2018-11-21,1.0,-0.0,-0.43231899265477436,-0.0,-0.5320297903923425,-0.5949632738719832,0.0
2018-11-23,1.0,-0.0,-0.4222546161321672,-0.0,-0.5381054677510102,-0.5970538591376401,0.0
2018-11-26,1.0,-0.0,-0.4217742760667144,-0.0,-0.5387035710631332,-0.5975902998055869,0.0
2018-11-27,1.0,-0.0,-0.4208445963176417,-0.0,-0.5347579945937675,-0.5945070638037436,0.0
2018-11-28,1.0,-0.0,-0.4210190757931245,-0.0,-0.5347597674181372,-0.5944608793226563,0.0
2018-11-29,1.0,-0.0,-0.4125677523934958,-0.0,-0.5277594853350894,-0.5924471911250697,0.0
2018-11-30,1.0,-0.0,-0.41254969486718496,-0.0,-0.5281962978906587,-0.5914765389582437,0.0
2018-12-03,1.0,-0.0,-0.4124822838631302,-0.0,-0.5275612472160356,-0.5908331646082202,0.0
2018-12-04,1.0,-0.0,-0.41229820882702173,-0.0,-0.5246696814288963,-0.5893691736351464,0.0
2018-12-06,1.0,-0.0,-0.3706798516687268,-0.0,-0.526229913473424,-0.5752533992583436,0.0
2018-12-07,1.0,-0.0,-0.37088551205266546,-0.0,-0.5258872444686433,-0.5781072118002277,0.0
2018-12-10,1.0,-0.0,-0.36909523692670115,-0.0,-0.5204289465289196,-0.564403327525705,0.0
2018-12-11,1.0,-0.0,-0.3702021070209474,-0.0,-0.5172515409739447,-0.5682817219616414,0.0
2018-12-12,1.0,-0.0,-0.3703212496315944,-0.0,-0.5169712152470773,-0.5687199135474997,0.0
2018-12-13,1.0,-0.0,-0.3691148313613825,-0.0,-0.517723010457067,-0.567872747803034,0.0
2018-12-14,1.0,-0.0,-0.36346460556986876,-0.0,-0.5220709115445957,-0.5681756839651576,0.0
2018-12-17,1.0,-0.0,-0.36005281948452095,-0.0,-0.5099770137428473,-0.5753166723724752,0.0
2018-12-18,1.0,-0.0,-0.3587907522361797,-0.0,-0.509506818515079,-0.5756146439219904,0.0
2018-12-19,1.0,-0.0,-0.35889038250030547,-0.0,-0.5095930587803984,-0.5755835268239031,0.0
2018-12-20,1.0,-0.0,-0.34969937440666005,-0.0,-0.5131082495557557,-0.5714320488790438,0.0
2018-12-21,1.0,-0.0,-0.3485300176931094,-0.0,-0.5136576262148864,-0.561525970091374,0.0
2018-12-24,1.0,-0.0,-0.3310359785044702,-0.0,-0.5057715015543293,-0.5730293756175145,0.0
2018-12-26,1.0,-0.0,-0.3304920102967604,-0.0,-0.5172665015299431,-0.5807227160134053,0.0
2018-12-27,1.0,-0.0,-0.31706153222150646,-0.0,-0.4910409658101305,-0.5777920931453249,0.0
2018-12-28,1.0,-0.0,-0.3165623955298725,-0.0,-0.49211996752471465,-0.5791823869334735,0.0
2018-12-31,1.0,-0.0,-0.3168326288893665,-0.0,-0.492060080712563,-0.5790529407550685,0.0
2019-01-02,1.0,-0.0,-0.3166049898531694,-0.0,-0.49177509848394413,-0.5791094663960845,0.0
2019-01-03,1.0,-0.0,-0.32010651824484804,-0.0,-0.518076913849771,-0.5608761365544707,0.0
2019-01-04,1.0,-0.0,-0.3196519494179237,-0.0,-0.509478163172615,-0.5613271818898956,0.0
2019-01-07,1.0,-0.0,-0.3034728448072477,-0.0,-0.5049308734015948,-0.5508658519322418,0.0
2019-01-08,1.0,-0.0,-0.2917726887192536,-0.0,-0.5148430873621713,-0.5494298369616436,0.0
2019-01-09,1.0,-0.0,-0.2840098835157078,-0.0,-0.5147664431109542,-0.5544416990234146,0.0
2019-01-10,1.0,-0.0,-0.28436264356994917,-0.0,-0.5146394276030879,-0.5546036527960836,0.0
2019-01-11,1.0,-0.0,-0.2796546192318581,-0.0,-0.5177408700575634,-0.5617391714636217,0.0
2019-01-14,1.0,-0.0,-0.2824830774310715,-0.0,-0.5192103587348759,-0.5568763414231468,0.0
2019-01-15,1.0,-0.0,-0.277223980724713,-0.0,-0.5190626919261114,-0.565880852270043,0.0
2019-01-16,1.0,-0.0,-0.2779206682555039,-0.0,-0.5091908728379623,-0.5725477241086387,0.0
2019-01-17,1.0,-0.0,-0.27606218594446674,-0.0,-0.5096841161622119,-0.5733562952652811,0.0
2019-01-18,1.0,-0.0,-0.2757459323561501,-0.0,-0.5114558132915896,-0.5846022484701865,0.0
2019-01-22,1.0,-0.0,-0.1797465960665658,-0.0,-0.5285079425113464,-0.6555881240544629,0.0
2019-01-23,1.0,-0.0,-0.13851934119426262,-0.0,-0.5295493749852312,-0.6949360807202439,0.0
2019-01-24,1.0,-0.0,-0.13728641315907641,-0.0,-0.5329804079124619,-0.6930730508354407,0.0
2019-01-25,1.0,-0.0,-0.06297247182998146,-0.0,-0.5669661959777492,-0.747278086815956,0.0
2019-01-28,1.0,-0.0,-0.061023855210480184,-0.0,-0.5634520171511146,-0.7444626063061142,0.0
2019-01-29,1.0,-0.0,-0.06491944044726475,-0.0,-0.5547403930079499,-0.7393314618669058,0.0
2019-01-30,1.0,-0.0,-0.06253243383497664,-0.0,-0.55175260650092,-0.7445393216021134,0.0
2019-01-31,1.0,-0.0,-0.06048975747586532,-0.0,-0.5424534965858253,-0.7516364492583,0.0
2019-02-01,1.0,-0.0,-0.06043243498149065,-0.0,-0.5477116785739549,-0.7497347386291292,0.0
