Date,IWF,IWM,MTUM,PZZA,SPY,VLUE,VXX
2018-09-24,-0.716681151270385,-1.3280507131537242,-0.08266448545575379,1.0,-1.0387505751239712,-0.9461172741679874,0.0
2018-09-25,-0.7202003680228991,-1.3252402371703127,-0.08817215293396034,1.0,-1.0361889184215907,-0.9416785933346964,0.0
2018-09-26,-0.7204191157679529,-1.3255302836698186,-0.08867876309736776,1.0,-1.035931510350115,-0.940608228980322,0.0
2018-09-27,-0.7956446182252634,-1.3797653958944283,-0.10953622243944824,1.0,-1.1253394156619962,-1.020310633213859,0.0
2018-09-28,-0.7995322782400609,-1.3796160330668408,-0.11018654484146408,1.0,-1.1272638277043563,-1.0220264317180616,0.0
2018-10-01,-0.7994125965408463,-1.3796910692918525,-0.11073642989230936,1.0,-1.1270531926465788,-1.0220820189274449,0.0
2018-10-02,-0.8030701754385965,-1.422423245614035,-0.10290570175438596,1.0,-1.1300986842105263,-1.02390350877193,0.0
2018-10-03,-0.8058888277380297,-1.406714364336819,-0.09983489268024216,1.0,-1.1456246560264172,-1.0455145844799119,0.0
2018-10-04,-0.812186932349865,-1.397258765894204,-0.10128254527439863,1.0,-1.153850388066274,-1.0399625694941377,0.0
2018-10-05,-0.7913653177275989,-1.3950201512725666,-0.07033622260255065,1.0,-1.1873792303870148,-1.0767404626511345,0.0
2018-10-08,-0.7880557545038841,-1.389234752906176,-0.06313701724422896,1.0,-1.1930472150294749,-1.0758084953997025,0.0
2018-10-09,-0.7862456604397422,-1.3904226593927371,-0.05769548685733179,1.0,-1.1962307819474294,-1.0800132253265002,0.0
2018-10-10,-0.8536300449740085,-1.4799953273757374,-0.08171251679224345,1.0,-1.2919222008060276,-1.1335202383038374,0.0
2018-10-11,-0.7406237662850375,-1.471208617675258,-0.0,1.0,-1.2655800575263663,-1.1624273870622075,0.0
2018-10-12,-0.741486068111455,-1.4458204334365323,-0.0,1.0,-1.2253427686864218,-1.1158779301194162,0.0
2018-10-15,-0.7046931805662663,-1.4748264845213175,-0.0,1.0,-1.2157651206345708,-1.1131981932356505,0.0
2018-10-16,-0.7063977516944949,-1.4733013721276245,-0.0,1.0,-1.2166749324957293,-1.1141235465917232,0.0
2018-10-17,-0.6626675313445741,-1.3977518374405533,-0.0,1.0,-1.2100626891482922,-1.1337548638132295,0.0
2018-10-18,-0.6640561266111926,-1.4019143960406808,-0.0,1.0,-1.2280415510958829,-1.1446130418230271,0.0
2018-10-19,-0.6332524925895985,-1.3786580436540015,-0.0,1.0,-1.2334141740770683,-1.1441120991646456,0.0
2018-10-22,-0.6340661709235909,-1.3774652440995798,-0.0,1.0,-1.232999245608363,-1.1440349175557711,0.0
2018-10-23,-0.6364664691624023,-1.3770535954753567,-0.0,1.0,-1.2305413412335038,-1.1424723942903312,0.0
2018-10-24,-0.6331701543923826,-1.3703803324546777,-0.0,1.0,-1.2312658023562322,-1.144709236645328,0.0
2018-10-25,-0.5629949979157982,-1.2892872030012505,-0.0,1.0,-1.2638078365985825,-1.094414339308045,0.0
2018-10-26,-0.5299097065462754,-1.2602606197414323,-0.0,1.0,-1.2664169915862917,-1.0737225528421916,0.0
2018-10-29,-0.5031817950414906,-1.2631471771114393,-0.0,1.0,-1.251336353917426,-1.073206740314616,0.0
2018-10-30,-0.5260109681718005,-1.273127979088719,-0.0,1.0,-1.2600071754394957,-1.0661165496386653,0.0
