Date,CAE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27045598218948413,-0.5006733914190693,-0.07448533655828271,-0.484127202264794,-0.4187944919330457,0.0
2018-09-25,1.0,-0.26927744070601217,-0.50565361279647,-0.07040816326530613,-0.4883618312189741,-0.4241588527302813,0.0
2018-09-26,1.0,-0.26932517029315245,-0.5057224014781722,-0.07048895507570117,-0.488348363255288,-0.4239265326383718,0.0
2018-09-27,1.0,-0.27216847211885664,-0.49910416494390697,-0.07246616499903526,-0.4887124782932275,-0.4239918410099507,0.0
2018-09-28,1.0,-0.27189283056313573,-0.49926954987733957,-0.07276937071032828,-0.48854709335979496,-0.4239642768543786,0.0
2018-10-01,1.0,-0.27170466764081497,-0.4998207934713684,-0.07300598274103279,-0.4883791458741143,-0.42411292768327313,0.0
2018-10-02,1.0,-0.271593355041669,-0.5060157845355704,-0.0714719355372813,-0.4873889287488272,-0.4230641867652741,0.0
2018-10-03,1.0,-0.27364658946085224,-0.5176206571729374,-0.07275447442788276,-0.4867013908128775,-0.41979276334016735,0.0
2018-10-04,1.0,-0.2722392211404729,-0.5262030598052851,-0.07248956884561891,-0.4851460361613352,-0.4255910987482615,0.0
2018-10-05,1.0,-0.27195104992351554,-0.528160200250313,-0.06967042136003337,-0.48624669726046454,-0.42525378945904607,0.0
2018-10-08,1.0,-0.27053596223271315,-0.5256595390169398,-0.06662038322688144,-0.489225215217995,-0.4249652874201611,0.0
2018-10-09,1.0,-0.27230033902073025,-0.5261212693825377,-0.07005502139721002,-0.4878563885955649,-0.42252542655477127,0.0
2018-10-10,1.0,-0.27199444058373873,-0.5268658790826962,-0.06932592077831827,-0.48806115357887425,-0.4234607366226546,0.0
2018-10-11,1.0,-0.2463965189012782,-0.5225455534403046,-0.036959477835191726,-0.4827848789774272,-0.4309219472395975,0.0
2018-10-12,1.0,-0.2483496348988225,-0.5176622746746423,-0.03419287042276291,-0.4743081938943227,-0.41996066068493515,0.0
2018-10-15,1.0,-0.24502099257185916,-0.5220691140058134,-0.02925503283453547,-0.47459360533964906,-0.42041662181074385,0.0
2018-10-16,1.0,-0.24333494910324768,-0.5302956858943286,-0.02334787526256261,-0.4753056498088005,-0.420665697204718,0.0
2018-10-17,1.0,-0.2330675172780436,-0.5056353003721425,-0.013131313131313133,-0.4761828814460394,-0.4301701222753855,0.0
2018-10-18,1.0,-0.23644755095507416,-0.5125653612207876,-0.01008430263579127,-0.47601643367836943,-0.4326912816134884,0.0
2018-10-19,1.0,-0.22801251126544028,-0.504612203785188,-0.0018024704447860893,-0.48147166410433123,-0.4347929809680327,0.0
2018-10-22,1.0,-0.22652860223068116,-0.5160646311922698,-0.010514547342082148,-0.4771474964729683,-0.431655442276466,0.0
2018-10-23,1.0,-0.23336810849851536,-0.5198619693443545,-0.020249846186769387,-0.47149773961426317,-0.43003504266645265,0.0
2018-10-24,1.0,-0.23270945457466463,-0.5224516025383564,-0.02045679706536,-0.4721664390714113,-0.4298069456716737,0.0
2018-10-25,1.0,-0.21934228858337057,-0.5024315869719512,-0.01897952209458216,-0.4723324833732026,-0.4156567913566941,0.0
2018-10-26,1.0,-0.21003290332689195,-0.49770198986786446,-0.0018801901081109313,-0.4874131717762574,-0.4143468950749465,0.0
2018-10-29,1.0,-0.1920514288688772,-0.5082244547394722,-0.0,-0.48058404039352454,-0.42181562646400494,0.0
2018-10-30,1.0,-0.20081892392353232,-0.5095584591711655,-0.0,-0.48160029210025296,-0.4160602978379365,0.0
2018-10-31,1.0,-0.2054712822507455,-0.4932451704913782,-0.0,-0.4812913263321665,-0.4130169843122002,0.0
2018-11-01,1.0,-0.19898461379060248,-0.4978241724084339,-0.0,-0.48067657877013936,-0.4128114800808165,0.0
2018-11-02,1.0,-0.20181546237557377,-0.48305740368250033,-0.0,-0.48416627984939914,-0.40971684976017325,0.0
2018-11-05,1.0,-0.1967467079783114,-0.49935450555125227,-0.0,-0.48696101213529563,-0.39894138910405375,0.0
