Date,IWF,IWM,MTUM,NKTR,SPY,VLUE,VXX
2018-09-24,-2.1389533384893014,-3.174787316318639,-1.4987110079917505,1.0,-2.5937097189997425,-2.4837587006960558,0.0
2018-09-25,-2.152910737386805,-3.182406209573092,-1.5126778783958605,1.0,-2.600905562742562,-2.4875808538163002,0.0
2018-09-26,-2.1534282018111255,-3.1826649417852524,-1.5138421733505822,1.0,-2.600517464424321,-2.486028460543338,0.0
2018-09-27,-2.1520278997675018,-3.1730818909842418,-1.512270731077241,1.0,-2.597003358305347,-2.482045982950142,0.0
2018-09-28,-2.1516208188040813,-3.1725429420121403,-1.5123337207800593,1.0,-2.5966679581557535,-2.481725429420121,0.0
2018-10-01,-2.1518595041322315,-3.1712293388429753,-1.512396694214876,1.0,-2.5964617768595044,-2.481275826446281,0.0
2018-10-02,-2.1663629263212707,-3.22637334027597,-1.5118458734704503,1.0,-2.61481385055975,-2.4980473834938817,0.0
2018-10-03,-2.1631565262610506,-3.2154186167446697,-1.5081903276131046,1.0,-2.614274570982839,-2.4994799791991675,0.0
2018-10-04,-2.178734507501631,-3.2155251141552514,-1.514546640574038,1.0,-2.634181343770385,-2.5033268101761252,0.0
2018-10-05,-2.1428016571724493,-3.1910926980838945,-1.4765665458311754,1.0,-2.6316675297773173,-2.5045313309166235,0.0
2018-10-08,-2.1407119741100322,-3.1875728155339806,-1.4686084142394822,1.0,-2.641294498381877,-2.506925566343042,0.0
2018-10-09,-2.1380872266079978,-3.187912514559337,-1.4631810534489451,1.0,-2.642940339070791,-2.5095121004270737,0.0
2018-10-10,-2.140564328242299,-3.186383639658297,-1.4660885322288377,1.0,-2.6443178876520843,-2.505953921822418,0.0
2018-10-11,-1.948931991161306,-3.1098698747851703,-1.2328750306899092,1.0,-2.5338816597102873,-2.450527866437515,0.0
2018-10-12,-1.9477702375181776,-3.087615123606399,-1.2071013087736306,1.0,-2.4843674260785265,-2.391299079011149,0.0
2018-10-15,-1.9041425818882467,-3.1304190751445087,-1.1483622350674374,1.0,-2.471820809248555,-2.3876445086705202,0.0
2018-10-16,-1.8996868978805395,-3.146315028901734,-1.1366811175337186,1.0,-2.471820809248555,-2.3878853564547207,0.0
2018-10-17,-1.8348235294117645,-3.0423529411764703,-1.0671764705882352,1.0,-2.440470588235294,-2.379882352941176,0.0
2018-10-18,-1.8339804682903873,-3.040357689139899,-1.0685963054476997,1.0,-2.4426403106247796,-2.380397693846335,0.0
2018-10-19,-1.7982292637465052,-3.011300093196645,-1.0292404473438956,1.0,-2.438956197576887,-2.3719711090400746,0.0
2018-10-22,-1.7972312703583062,-3.001279664960447,-1.0223359702187065,1.0,-2.4398557468590045,-2.372498836668218,0.0
2018-10-23,-1.8809727483807894,-3.173286080899426,-1.0295735060491262,1.0,-2.6052792374434803,-2.5313454723206648,0.0
