Date,IWF,IWM,MTUM,SLRC,SPY,VLUE,VXX
2018-09-24,-0.10396662333850476,-0.42179965617007004,-0.0,1.0,-0.2683341020587865,-0.3024445469411715,0.0
2018-09-25,-0.10584783064347097,-0.42108572626283797,-0.0,1.0,-0.26784741144414165,-0.3012156780549151,0.0
2018-09-26,-0.10555881613146642,-0.42091473128196527,-0.0,1.0,-0.2679005617506498,-0.30171040496352813,0.0
2018-09-27,-0.1069333891914537,-0.4180142438206954,-0.0,1.0,-0.26803519061583575,-0.3016966904063678,0.0
2018-09-28,-0.106649069884364,-0.41838444779621253,-0.0,1.0,-0.26805765041059154,-0.3017429193899782,0.0
2018-10-01,-0.10880883402611581,-0.417873787630684,-0.0,1.0,-0.2701431750430365,-0.3025360036948398,0.0
2018-10-02,-0.11193528052111788,-0.4075015759613364,-0.0,1.0,-0.2747425929817189,-0.3071023324227779,0.0
2018-10-03,-0.11161989581582928,-0.40400772979331206,-0.0,1.0,-0.2757729793312048,-0.3090657032431524,0.0
2018-10-04,-0.11516718155643824,-0.39959649454637164,-0.0,1.0,-0.2804573061807789,-0.30636992203097746,0.0
2018-10-05,-0.11173301469509254,-0.39886380311510805,-0.0,1.0,-0.2796469823700815,-0.3060813785296522,0.0
2018-10-08,-0.11136258854101178,-0.39873842155999834,-0.0,1.0,-0.27955907623957416,-0.3059642063791441,0.0
2018-10-09,-0.11963506879332504,-0.4035102505214808,-0.0,1.0,-0.28025115357872776,-0.3035966372389962,0.0
2018-10-10,-0.13203463203463203,-0.4122626548369123,-0.0,1.0,-0.29507950795079513,-0.3036946551798037,0.0
2018-10-11,-0.0920465446052467,-0.4047211911415106,-0.0,1.0,-0.2801434708262084,-0.30842056971264126,0.0
2018-10-12,-0.08914728682170543,-0.4030178667661568,-0.0,1.0,-0.2760228827260291,-0.30452265472785306,0.0
2018-10-15,-0.06947664789665452,-0.42236667770785025,-0.0,1.0,-0.2726689301093077,-0.30570967207684663,0.0
2018-10-16,-0.06775555831573718,-0.42512317310479025,-0.0,1.0,-0.27211940545687907,-0.30513807808553806,0.0
2018-10-17,-0.0565359477124183,-0.4048202614379085,-0.0,1.0,-0.2702818627450981,-0.3108251633986928,0.0
2018-10-18,-0.056581420050657735,-0.4052210147887899,-0.0,1.0,-0.27001797532478145,-0.3108505596862489,0.0
2018-10-19,-0.045239785055257026,-0.39764777451079797,-0.0,1.0,-0.27263510088208454,-0.31225793369157456,0.0
2018-10-22,-0.04572379097695554,-0.3982270366764038,-0.0,1.0,-0.2725170399221032,-0.31211457319052255,0.0
2018-10-23,-0.0440468696058323,-0.39881810612675916,-0.0,1.0,-0.2744958674329347,-0.31338464350262984,0.0
