Date,IWF,IWM,MTUM,RPM,SPY,VLUE,VXX
2018-09-24,-0.29969741950216944,-0.5971968485955698,-0.047271066453528195,1.0,-0.48458552180863207,-0.42578214204156195,0.0
2018-09-25,-0.29940034266133636,-0.5978012564249,-0.046659051970302685,1.0,-0.48512278697886924,-0.4265562535693889,0.0
2018-09-26,-0.2991174706537572,-0.5976066032616457,-0.04566875160654614,1.0,-0.4855910661754206,-0.4280981349784366,0.0
2018-09-27,-0.2986623220716858,-0.5999256845595381,-0.04524667009661007,1.0,-0.4859372320356714,-0.4285142628479963,0.0
2018-09-28,-0.295614587507872,-0.6045399896948531,-0.04591515429094865,1.0,-0.48680368695253906,-0.4296673727600619,0.0
2018-10-01,-0.29867186827687103,-0.6039700524941912,-0.04532285361865696,1.0,-0.489687616534236,-0.4309113335819397,0.0
2018-10-02,-0.29851860358291227,-0.6100711988975654,-0.043867707854846116,1.0,-0.4886598530087276,-0.4298346348185576,0.0
2018-10-03,-0.29861031354082923,-0.6103709658895142,-0.04410244630756863,1.0,-0.4885149879407374,-0.4296543011370162,0.0
2018-10-04,-0.3341291631849111,-0.6217619672913931,-0.04339262265727588,1.0,-0.54378058970992,-0.4412976005729975,0.0
2018-10-05,-0.32723649773970975,-0.6180109445634071,-0.03500475850582917,1.0,-0.5483880561503688,-0.44542588627171065,0.0
2018-10-08,-0.32579763531578637,-0.6155011585764364,-0.0309250787237835,1.0,-0.5529083239260888,-0.44560632166835007,0.0
2018-10-09,-0.3238599203282002,-0.6167726975444437,-0.025120399548130088,1.0,-0.556632380046376,-0.4504726797074737,0.0
2018-10-10,-0.32346261877726645,-0.6243949082651049,-0.020976513476364072,1.0,-0.5597621466563079,-0.4595111456403514,0.0
2018-10-11,-0.25802190059595453,-0.6327980506708158,-0.0,1.0,-0.5549423127733906,-0.48997445909050874,0.0
2018-10-12,-0.2606903358783058,-0.6266147995471303,-0.0,1.0,-0.5419630156472262,-0.4737132406305338,0.0
2018-10-15,-0.24019352222029086,-0.645112694825888,-0.0,1.0,-0.5379801842516948,-0.4737817950055044,0.0
2018-10-16,-0.23960023174971032,-0.6460312862108922,-0.0,1.0,-0.5377172653534183,-0.47352259559675547,0.0
2018-10-17,-0.22913861754848322,-0.6262854851184508,-0.0,1.0,-0.5337592024979232,-0.47537884213240134,0.0
2018-10-18,-0.22989362617197578,-0.6286951285947758,-0.0,1.0,-0.5328153224187859,-0.47578633483384464,0.0
2018-10-19,-0.21520141302489887,-0.6188251381687653,-0.0,1.0,-0.5376616716996183,-0.4771522990143012,0.0
