Date,HCAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-13,1.0,-0.0,-0.0,-0.09267209290783662,-0.12453471636309495,-0.0235495558092213,0.0
2019-12-16,1.0,-0.0,-0.0,-0.09266591368888778,-0.12450197966959996,-0.02399185791061078,0.0
2019-12-17,1.0,-0.0,-0.0,-0.09323583180987202,-0.12511037321692844,-0.025308112275989007,0.0
2019-12-18,1.0,-0.0,-0.0,-0.09374688961879167,-0.12497511695033342,-0.025418035234398326,0.0
2019-12-19,1.0,-0.0,-0.0,-0.09367302764162914,-0.12495957007439105,-0.025365113328191472,0.0
2019-12-20,1.0,-0.0,-0.0,-0.0942517862032911,-0.12500933555727053,-0.0254674002340113,0.0
2019-12-23,1.0,-0.0,-0.0,-0.09330447115025751,-0.126209847975915,-0.024532855614441046,0.0
2019-12-24,1.0,-0.0,-0.0,-0.09413418943805683,-0.12552884376088796,-0.02466278433129262,0.0
2019-12-26,1.0,-0.0,-0.0,-0.09425719406551827,-0.1256223240067709,-0.024756048989345813,0.0
2019-12-27,1.0,-0.0,-0.0,-0.09485526545038205,-0.12415063344699703,-0.025487219055678623,0.0
2019-12-30,1.0,-0.0,-0.0,-0.09475360083584168,-0.1240080599019876,-0.025037936267071317,0.0
2019-12-31,1.0,-0.0,-0.0,-0.09365926293584813,-0.12284402531331431,-0.024345452289365927,0.0
2020-01-02,1.0,-0.0,-0.0,-0.09371238537233054,-0.12289823420650975,-0.024284313847146563,0.0
2020-01-03,1.0,-0.0,-0.0,-0.09486960080360132,-0.12041618611803515,-0.02482731252402743,0.0
2020-01-06,1.0,-0.0,-0.0,-0.09450318431954492,-0.11875347801892043,-0.02337228714524207,0.0
2020-01-07,1.0,-0.0,-0.0,-0.0942228931315656,-0.12065232185500935,-0.0224699637461488,0.0
2020-01-08,1.0,-0.0,-0.0,-0.09429363292172922,-0.11957140382569102,-0.023409467719185367,0.0
2020-01-09,1.0,-0.0,-0.0,-0.09573491464867011,-0.12240720524017466,-0.02241712981341802,0.0
2020-01-10,1.0,-0.0,-0.0,-0.09373411837620081,-0.11975209172606137,-0.026055159590951348,0.0
2020-01-13,1.0,-0.0,-0.0,-0.09394949858065475,-0.11963406924421414,-0.02601926342799767,0.0
2020-01-14,1.0,-0.0,-0.0,-0.09297226317158679,-0.11901192968546759,-0.026820113226713575,0.0
2020-01-15,1.0,-0.0,-0.0,-0.09306273154171157,-0.11887150131955544,-0.027072569354099296,0.0
2020-01-16,1.0,-0.0,-0.0,-0.09428114501072364,-0.11900127691754585,-0.026430953473091753,0.0
2020-01-17,1.0,-0.0,-0.0,-0.09472521745604348,-0.11946743432889528,-0.026640691888672432,0.0
