Date,DOX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19705087695196224,-0.39597930118606034,-0.09724321106379082,-0.32538810276136826,-0.2740074186014562,0.0
2018-09-25,1.0,-0.1983244059881884,-0.3948633429473973,-0.09927665613697752,-0.324314425674129,-0.2722840269193792,0.0
2018-09-26,1.0,-0.19849844350851495,-0.39505127266068485,-0.09970701336751511,-0.3241622413477385,-0.2715162058231093,0.0
2018-09-27,1.0,-0.19807582178444624,-0.39706791890963233,-0.09925552628564883,-0.3244530981559959,-0.271858893597526,0.0
2018-09-28,1.0,-0.19943614192720271,-0.39648849362794536,-0.09920234711653067,-0.32481433941505455,-0.2721646648941047,0.0
2018-10-01,1.0,-0.19960573969651127,-0.3963232934488608,-0.09922981708155688,-0.32487507449685965,-0.27217714207124194,0.0
2018-10-02,1.0,-0.19954128440366972,-0.3998394495412844,-0.0983256880733945,-0.3242889908256881,-0.27158256880733944,0.0
2018-10-03,1.0,-0.19980723776304013,-0.4017027330931455,-0.09865295912981618,-0.32388645386327647,-0.2707391513871997,0.0
2018-10-04,1.0,-0.19995869096250057,-0.4015467939597007,-0.09879744801946114,-0.3239317023913343,-0.27073484187818425,0.0
2018-10-05,1.0,-0.19254246587869506,-0.39701881529914723,-0.09243044283395441,-0.3283875540111108,-0.2757824466747445,0.0
2018-10-08,1.0,-0.19163071022532704,-0.39540670730315275,-0.09083852704152684,-0.32970344496952264,-0.2753464374586216,0.0
2018-10-09,1.0,-0.19868995633187772,-0.39990806711100896,-0.10165479200183866,-0.3279246150310274,-0.2701218110779131,0.0
2018-10-10,1.0,-0.1981177661704135,-0.4017349685910859,-0.10025541314802458,-0.32828643088888376,-0.27260176258082336,0.0
2018-10-11,1.0,-0.16871593928748366,-0.40548574516957164,-0.06026212673962977,-0.3270278791154348,-0.2904562446516237,0.0
2018-10-12,1.0,-0.16627608274370181,-0.40813015458109875,-0.05682996079138312,-0.32993825769525437,-0.29219433052413357,0.0
2018-10-15,1.0,-0.1609790115402785,-0.4157199739050233,-0.04989539513643623,-0.3298989944435696,-0.2930510876656244,0.0
2018-10-16,1.0,-0.15917383665930898,-0.4256047569710347,-0.04290733816838597,-0.33107347177800805,-0.29361682958691837,0.0
2018-10-17,1.0,-0.15590145576707728,-0.41823068309070544,-0.04053751399776036,-0.33014557670772676,-0.29482642777155654,0.0
2018-10-18,1.0,-0.15536546040845575,-0.4174355069867431,-0.04091275528484414,-0.3308178072375493,-0.294809208169115,0.0
2018-10-19,1.0,-0.14750996237672256,-0.41100647832765647,-0.03403904806429351,-0.33638326765956506,-0.29731294107170686,0.0
2018-10-22,1.0,-0.14952459417934044,-0.4065777461087978,-0.028880625264423615,-0.34071121601460735,-0.30103097374691046,0.0
2018-10-23,1.0,-0.14978738562237015,-0.40637175234321077,-0.02963243315448494,-0.33996037135160406,-0.3005766190974464,0.0
2018-10-24,1.0,-0.14949049971076403,-0.4060428069238642,-0.028322876340497485,-0.3402972455835892,-0.3007386641747875,0.0
