Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WLL
2018-09-24,-1.0432180334240186,-2.2114263505635448,-0.20023319082782748,-1.6791294209094443,-1.6389428682471825,0.0,1.0
2018-09-25,-1.0714229528828758,-2.2312593408322194,-0.22252812082120665,-1.6947219381735232,-1.646031621175175,0.0,1.0
2018-09-26,-1.0754627806222923,-2.236943678613627,-0.2282788499409216,-1.6958645135880268,-1.6405671524222134,0.0,1.0
2018-09-27,-1.0764691999055935,-2.2283848635040515,-0.23003697584769098,-1.6938871843285344,-1.6384234127920698,0.0,1.0
2018-09-28,-1.076705215954685,-2.227755487373141,-0.23074502399496497,-1.693651168279443,-1.6382660687593424,0.0,1.0
2018-10-01,-1.0765779946481977,-2.2293404690697307,-0.231622855343932,-1.6937667243821817,-1.6389894538013536,0.0,1.0
2018-10-02,-1.0851819688955553,-2.2000473671745477,-0.2455988000315781,-1.7090866029841318,-1.654614352253888,0.0,1.0
2018-10-03,-1.0851685215881284,-2.1985949956586945,-0.24634935669745048,-1.7086589312495066,-1.6544320783013657,0.0,1.0
2018-10-04,-1.0906508875739644,-2.187534516765286,-0.24812623274161735,-1.7151873767258383,-1.6479684418145957,0.0,1.0
2018-10-05,-1.0747722274583726,-2.184024505183789,-0.22423814011938423,-1.7191328934967014,-1.65205780710022,0.0,1.0
2018-10-08,-1.0731439334484383,-2.1832522366975358,-0.22131533511222726,-1.7191178778841625,-1.6511536650447338,0.0,1.0
2018-10-09,-1.0908947076971758,-2.201566331777549,-0.24032908788861643,-1.7262083695910133,-1.651768056324658,0.0,1.0
2018-10-10,-1.0914050763026806,-2.1998893018107064,-0.2409267019846604,-1.726259191903218,-1.6485332489918558,0.0,1.0
2018-10-11,-0.9724958327019245,-2.175935747840582,-0.08554326413092894,-1.6826791938172452,-1.6602515532656466,0.0,1.0
2018-10-12,-0.9887102803738317,-2.165757009345794,-0.06848598130841121,-1.6425420560747663,-1.6111401869158877,0.0,1.0
2018-10-15,-0.9662569832402235,-2.1946368715083797,-0.03448789571694599,-1.6402979515828675,-1.6131098696461825,0.0,1.0
2018-10-16,-0.9664804469273742,-2.1938175046554935,-0.0353072625698324,-1.6402234636871509,-1.6130353817504655,0.0,1.0
2018-10-17,-0.9266122509008016,-2.1172880358849917,-0.0,-1.652474446650489,-1.6571071402308992,0.0,1.0
2018-10-18,-0.9300405455215629,-2.1270180611868783,-0.0,-1.6536675267231846,-1.6611868779948398,0.0,1.0
2018-10-19,-0.890998028765423,-2.0995108417901727,-0.0,-1.6535007665912242,-1.6569321749288166,0.0,1.0
2018-10-22,-0.8909807355516638,-2.0852305896088734,-0.0,-1.6590046701692938,-1.661923525977817,0.0,1.0
2018-10-23,-0.8890349915990942,-2.087588574768062,-0.0,-1.6633063043319452,-1.6652786909197164,0.0,1.0
2018-10-24,-0.8855994152046783,-2.092397660818713,-0.0,-1.6652777777777779,-1.666593567251462,0.0,1.0
2018-10-25,-0.794413407821229,-1.969832402234637,-0.0,-1.642527932960894,-1.576536312849162,0.0,1.0
2018-10-26,-0.751000966450366,-1.9405633024989648,-0.0,-1.6548391550462516,-1.5568825072483778,0.0,1.0
2018-10-29,-0.7072266831377393,-1.9569006931576418,-0.0,-1.634273557065404,-1.56461464552879,0.0,1.0
2018-10-30,-0.7278053487730908,-1.9652605459057073,-0.0,-1.6417149159084645,-1.5580369451337195,0.0,1.0
2018-10-31,-0.7303991811668372,-1.9205049471170246,-0.0,-1.6309109518935516,-1.54172637325145,0.0,1.0
2018-11-01,-0.7331967213114754,-1.9204234972677596,-0.0,-1.633469945355191,-1.5435109289617486,0.0,1.0
2018-11-02,-0.7658445852852025,-1.8606365389914576,-0.0,-1.7000551116009919,-1.56241388812345,0.0,1.0
2018-11-05,-0.7733840304182509,-1.8537158658831663,-0.0,-1.7064638783269963,-1.579744210162461,0.0,1.0
2018-11-06,-0.7713494809688582,-1.8530103806228375,-0.0,-1.7107958477508654,-1.5853287197231836,0.0,1.0
