Date,CTS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3500714848422957,-0.7716569894669273,-0.03944796195255741,-0.39847693519680216,-0.35806611618475187,0.0
2018-09-25,1.0,-0.3499182911170772,-0.7718863079257617,-0.039220263802964866,-0.3987101669195751,-0.3584393603361737,0.0
2018-09-26,1.0,-0.34950208801798904,-0.7718073766901264,-0.03717548112022895,-0.39990655024384547,-0.36191338375726423,0.0
2018-09-27,1.0,-0.3484754750331419,-0.7904256886139344,-0.03364265723965238,-0.40574458683163944,-0.3676240978052733,0.0
2018-09-28,1.0,-0.34449703789705577,-0.8082819802923402,-0.03444374981393826,-0.41403947485933734,-0.37572564079664195,0.0
2018-10-01,1.0,-0.3439966639859411,-0.8095195544038365,-0.03484943257975159,-0.41399338754356185,-0.3762249426622584,0.0
2018-10-02,1.0,-0.34449373538756667,-0.8377795096217253,-0.02751633595108207,-0.41319465259876503,-0.3744379833343325,0.0
2018-10-03,1.0,-0.34505415379076537,-0.8413188923224626,-0.028231976238336683,-0.41261888332183255,-0.37298610902763196,0.0
2018-10-04,1.0,-0.3441096055043115,-0.8447856262957064,-0.028422918607096715,-0.4115614578012799,-0.37565724243607845,0.0
2018-10-05,1.0,-0.3407673860911271,-0.8462829736211032,-0.022302158273381296,-0.41217026378896887,-0.37607913669064746,0.0
2018-10-08,1.0,-0.3418420973602811,-0.8490945674044265,-0.022823508213459864,-0.4121745397759693,-0.3771284422955644,0.0
2018-10-09,1.0,-0.3465731149120694,-0.8515116839315828,-0.030745603469043606,-0.40999156829679595,-0.3725006022645146,0.0
2018-10-10,1.0,-0.3460541387833846,-0.8538011695906433,-0.02911918972689456,-0.4103816241635016,-0.37505275215530237,0.0
2018-10-11,1.0,-0.3045217851784296,-0.8573740107675563,-0.0,-0.39601659262746025,-0.3840428348680533,0.0
2018-10-12,1.0,-0.31174725082911503,-0.8558212602548438,-0.0,-0.3779891778669925,-0.36364694245650786,0.0
2018-10-15,1.0,-0.2808059631959003,-0.8906650361052876,-0.0,-0.37368972746331236,-0.36652690426275325,0.0
2018-10-16,1.0,-0.2822648763580229,-0.8887950368450178,-0.0,-0.3743919843881979,-0.3671977397838813,0.0
2018-10-17,1.0,-0.26893438380585427,-0.8646845707056185,-0.0,-0.3702628098223015,-0.37147046983725346,0.0
2018-10-18,1.0,-0.2690515902685915,-0.8653591763961581,-0.0,-0.36984528670846034,-0.3714556852821074,0.0
2018-10-19,1.0,-0.2630267266321006,-0.8655647540748803,-0.0,-0.36749835286029386,-0.3684723137299836,0.0
2018-10-22,1.0,-0.2663242634965519,-0.8844966384857316,-0.0,-0.3665926075540295,-0.3680064633407392,0.0
2018-10-23,1.0,-0.26974462559515217,-0.884836242966383,-0.0,-0.36418987159140087,-0.3668157553022652,0.0
2018-10-24,1.0,-0.26849796788977603,-0.8834058743838814,-0.0,-0.36356037240941974,-0.36699045917043777,0.0
2018-10-25,1.0,-0.2550520080492022,-0.8671031374883088,-0.0,-0.36054190403310377,-0.3515290649888048,0.0
2018-10-26,1.0,-0.22979955709499744,-0.8650843222985636,-0.0,-0.39006870705808877,-0.35418204531258873,0.0
2018-10-29,1.0,-0.20174615362739243,-0.8895429855245571,-0.0,-0.38250433694508434,-0.3701049398515485,0.0
2018-10-30,1.0,-0.2182052014861389,-0.8932266361817662,-0.0,-0.38576736210345813,-0.36076021720491575,0.0
2018-10-31,1.0,-0.22376012505328974,-0.8746056558192412,-0.0,-0.3860451897115248,-0.3576808298991047,0.0
2018-11-01,1.0,-0.20843390600596337,-0.8868663921624307,-0.0,-0.38594348999006106,-0.3584268067584836,0.0
