Date,IWF,IWM,JOUT,MTUM,SPY,VLUE,VXX
2018-09-24,-1.1666257065618089,-2.3742934381912018,1.0,-0.2887687392479725,-1.7326943556975507,-1.629556811665438,0.0
2018-09-25,-1.1666666666666665,-2.372972972972973,1.0,-0.2896805896805897,-1.7318591318591319,-1.6287469287469287,0.0
2018-09-26,-1.1666803177983456,-2.373167335572119,1.0,-0.28921287574739946,-1.7321647964616267,-1.6294536817102139,0.0
2018-09-27,-1.174672131147541,-2.360327868852459,1.0,-0.29450819672131145,-1.7355737704918035,-1.631639344262295,0.0
2018-09-28,-1.1720236142997704,-2.3634798294522796,1.0,-0.2959166939980321,-1.73573302722204,-1.6322564775336175,0.0
2018-10-01,-1.1755048432112953,-2.363405023805615,1.0,-0.29683139057626007,-1.7388770316860942,-1.6342144147102282,0.0
2018-10-02,-1.1769388592531802,-2.349938448912597,1.0,-0.3021748050882232,-1.7409930242100944,-1.636766516208453,0.0
2018-10-03,-1.1793228139381986,-2.3550295857988166,1.0,-0.3053090072320842,-1.7417817225509533,-1.6368343195266273,0.0
2018-10-04,-1.1929578626205986,-2.3485610620928505,1.0,-0.3095571864434732,-1.7595448173497155,-1.635441576647151,0.0
2018-10-05,-1.1648558124336246,-2.3305285515889222,1.0,-0.27824524140184625,-1.7588432317621108,-1.63663099419982,0.0
2018-10-08,-1.1571928112547778,-2.3183703342278608,1.0,-0.2697405871350736,-1.7571765471253151,-1.6297470927868587,0.0
2018-10-09,-1.1705400981996728,-2.332242225859247,1.0,-0.2837152209492635,-1.764075286415712,-1.6326513911620293,0.0
2018-10-10,-1.1730910876503806,-2.330878140600704,1.0,-0.28602995335133813,-1.765856453064899,-1.6281201407643835,0.0
2018-10-11,-1.0307109151388567,-2.2899357933008435,1.0,-0.10327222093293108,-1.6985379438384776,-1.61329001315077,0.0
2018-10-12,-1.0295320308950475,-2.2645009844010295,1.0,-0.07822202029380584,-1.6472815386945328,-1.55277903983038,0.0
2018-10-15,-0.9954693045382467,-2.3211507966472853,1.0,-0.02499433663067281,-1.6480404742127917,-1.561428679302273,0.0
2018-10-16,-0.9921456083377388,-2.334491352616872,1.0,-0.015406691337512273,-1.6485159731138133,-1.561740049845178,0.0
2018-10-17,-0.933069132540731,-2.2332305885806547,1.0,-0.0,-1.6174225744899458,-1.5551152209012185,0.0
2018-10-18,-0.93230046258903,-2.2315882223364416,1.0,-0.0,-1.6219252514868934,-1.556869079961818,0.0
2018-10-19,-0.8906544768538673,-2.2029458714264982,1.0,-0.0,-1.616166013640981,-1.5460745900449862,0.0
2018-10-22,-0.8987461729115032,-2.2202216066481997,1.0,-0.0,-1.6199883364922,-1.5506633620061234,0.0
2018-10-23,-0.9135495205329038,-2.2305102115511306,1.0,-0.0,-1.6212575946124002,-1.5547910109069614,0.0
2018-10-24,-0.9081543182814554,-2.224024550635686,1.0,-0.0,-1.6198304837059767,-1.5548005260850504,0.0
2018-10-25,-0.8065975363630037,-2.0975711601364044,1.0,-0.0,-1.5967708260839306,-1.4584870206694966,0.0
2018-10-26,-0.7635125842387568,-2.0678036033557974,1.0,-0.0,-1.606519048273965,-1.438729198184569,0.0
2018-10-29,-0.71765189396534,-2.0927460784985272,1.0,-0.0,-1.588875950407562,-1.4505103089252689,0.0
2018-10-30,-0.7026009582477755,-2.0920602327173166,1.0,-0.0,-1.5885010266940451,-1.4614647501711155,0.0
2018-10-31,-0.6981781376518219,-2.044736842105263,1.0,-0.0,-1.5677462887989204,-1.4369095816464237,0.0
2018-11-01,-0.6582037879302153,-2.0979566899735254,1.0,-0.0,-1.5797977055189738,-1.4523793360939516,0.0
2018-11-02,-0.6674534664148908,-2.0379012678715944,1.0,-0.0,-1.596439169139466,-1.4422039384947398,0.0
2018-11-05,-0.6619500033690452,-2.050400916380298,1.0,-0.0,-1.5955124317768345,-1.4302270736473286,0.0
2018-11-06,-0.6760610975939443,-2.065963773992971,1.0,-0.0,-1.593471208434712,-1.4230873208975399,0.0
2018-11-07,-0.6737119319332838,-2.066311027078128,1.0,-0.0,-1.5907218583293943,-1.4219055979471944,0.0
2018-11-08,-0.6104561072559455,-2.0906151047631876,1.0,-0.0,-1.5858653910934446,-1.450245907161625,0.0
2018-11-09,-0.6097675985180195,-2.09006399461098,1.0,-0.0,-1.5866621758167734,-1.4497810710676995,0.0
2018-11-12,-0.6036210582576162,-2.0553848209513625,1.0,-0.0,-1.5856493853554248,-1.4361972207375733,0.0
