Date,DLR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3960459743222297,-0.4879361272775129,-0.0,-0.5921094960956921,-0.4484836077559734,0.0
2018-09-25,1.0,-0.39382227814728266,-0.5159985619270178,-0.0,-0.6132482473485529,-0.4728863323146983,0.0
2018-09-26,1.0,-0.3921704538605268,-0.5185341450183835,-0.0,-0.618256886263637,-0.4847206316677717,0.0
2018-09-27,1.0,-0.39095471310236407,-0.5259689219420762,-0.0,-0.6198077271902775,-0.48642602333877494,0.0
2018-09-28,1.0,-0.390035974485323,-0.526890172012455,-0.0,-0.6196378366939751,-0.4865020103388857,0.0
2018-10-01,1.0,-0.38970076548364646,-0.5288796102992345,-0.0,-0.6197391909473238,-0.4872772382076185,0.0
2018-10-02,1.0,-0.3886143866137197,-0.5396041104610627,-0.0,-0.6177513716693442,-0.48534359938161203,0.0
2018-10-03,1.0,-0.3880574406204557,-0.5349915172079496,-0.0,-0.6188196800775569,-0.4877302472127969,0.0
2018-10-04,1.0,-0.3955650060753342,-0.5286755771567436,-0.0,-0.6292223572296476,-0.48417375455650064,0.0
2018-10-05,1.0,-0.3806931591362729,-0.5184177100344765,-0.0,-0.6347910240125809,-0.490352628077179,0.0
2018-10-08,1.0,-0.3776610200199293,-0.5146299483648881,-0.0,-0.6379201014584654,-0.48938611589213993,0.0
2018-10-09,1.0,-0.3729669266582018,-0.5151460185017231,-0.0,-0.6408791341677248,-0.4941350746719874,0.0
2018-10-10,1.0,-0.37656207449544615,-0.5145692759236286,-0.0,-0.6437713697842598,-0.49090744046718504,0.0
2018-10-11,1.0,-0.32078406056515746,-0.49581853927638725,-0.0,-0.6247249038997623,-0.4930308987939787,0.0
2018-10-12,1.0,-0.32139023470364675,-0.48623400736894024,-0.0,-0.6146972642084192,-0.4788360555861789,0.0
2018-10-15,1.0,-0.2980337648046796,-0.5076303825326499,-0.0,-0.610836011930617,-0.47930964584600233,0.0
2018-10-16,1.0,-0.2957697541766801,-0.5111040333555318,-0.0,-0.6100124504154965,-0.4785302718823291,0.0
2018-10-17,1.0,-0.2848406915273611,-0.488755536505215,-0.0,-0.604800685812259,-0.47912558936991007,0.0
2018-10-18,1.0,-0.2839410839410839,-0.4871156871156871,-0.0,-0.6086086086086085,-0.4803374803374803,0.0
2018-10-19,1.0,-0.26789168278529985,-0.4749971555353283,-0.0,-0.6175332802366594,-0.48404255319148937,0.0
2018-10-22,1.0,-0.2677062288364681,-0.4666363144865264,-0.0,-0.6224283641123409,-0.4887175255385141,0.0
2018-10-23,1.0,-0.26940145653163405,-0.46654528903049614,-0.0,-0.6209604005461994,-0.48790964952207555,0.0
2018-10-24,1.0,-0.2681186204543516,-0.4616587529498734,-0.0,-0.6227858178613062,-0.4906883511984305,0.0
2018-10-25,1.0,-0.2316437972556707,-0.42856342761131344,-0.0,-0.6648837860543266,-0.47521702604312516,0.0
2018-10-26,1.0,-0.2183369815189382,-0.41766645424066945,-0.0,-0.6673131805713336,-0.46745726081294503,0.0
2018-10-29,1.0,-0.2711976443723334,-0.46827113755182975,-0.0,-0.7544017787392585,-0.5107866113815276,0.0
2018-10-30,1.0,-0.2612065857469054,-0.4687838000240355,-0.0,-0.755137603653407,-0.5193185915154428,0.0
2018-10-31,1.0,-0.27241005895800746,-0.44756948622307785,-0.0,-0.7652207917218145,-0.5228612681987727,0.0
2018-11-01,1.0,-0.24999247554552295,-0.4677802859292701,-0.0,-0.7666215199398043,-0.5254176072234763,0.0
