Date,alpha
2018-09-24,0.0
2018-09-25,0.010540521358628594
2018-09-26,0.10842956009549441
2018-09-27,0.014853605983886756
2018-09-28,-0.00810737891623402
2018-10-01,-0.00016893890083833144
2018-10-02,0.002938980502743667
2018-10-03,0.0022033158615020997
2018-10-04,0.031206897018378178
2018-10-05,0.04273161745251513
2018-10-08,0.031936016661556224
2018-10-09,0.0045909264522814505
2018-10-10,0.10600843661638698
2018-10-11,0.07568951571398344
2018-10-12,-0.044188352202910335
2018-10-15,0.007021338901871338
2018-10-16,-0.057704820349932615
2018-10-17,0.023707501164871487
2018-10-18,0.0690016525108373
2018-10-19,-0.009338690944382742
2018-10-22,0.004815500007974736
2018-10-23,0.016678342043796354
2018-10-24,0.07352829099862393
2018-10-25,-0.07423758498554328
2018-10-26,0.06996759149284403
2018-10-29,0.00020533256714677303
2018-10-30,-0.09783881268316696
2018-10-31,-0.05854004192253355
2018-11-01,0.004422831661169718
2018-11-02,0.025320720430652092
2018-11-05,-0.023479009245108495
2018-11-06,-0.027757276937752005
2018-11-07,-0.06379410335678741
2018-11-08,0.15767459010184548
2018-11-09,0.07091812606450525
2018-11-12,0.04074780369104239
2018-11-13,0.008705454245050478
2018-11-14,0.027348098446344338
2018-11-15,0.014577892372738321
2018-11-16,-0.006588405683598222
2018-11-19,0.07101463555560894
2018-11-20,0.09462789362481307
2018-11-21,-0.021071699409900814
2018-11-23,0.03567065020651663
2018-11-26,-0.08624790355389864
2018-11-27,-0.02103947993601132
2018-11-28,-0.0745749373526866
2018-11-29,0.03778573962337748
2018-11-30,-0.008942051342901255
2018-12-03,0.20536076165671588
2018-12-04,0.0822815185037366
2018-12-06,0.027579838305279963
2018-12-07,0.06301427110103938
2018-12-10,0.04414770372920862
2018-12-11,-0.049219826869653135
2018-12-12,-0.059821496142115724
2018-12-13,0.01611784520872718
2018-12-14,0.08599309445047104
2018-12-17,0.08914689175595134
2018-12-18,-0.02437465408732083
2018-12-19,0.07421457005415329
2018-12-20,0.08189789125890448
2018-12-21,0.09388549327533594
2018-12-24,0.10922183281262399
2018-12-26,-0.15085349850820798
2018-12-27,-0.045920677950833544
2018-12-28,0.0017197287339242812
2018-12-31,-0.018900683048364904
2019-01-02,0.01123585611860205
2019-01-03,0.059651636964127716
2019-01-04,-0.09794361472491611
2019-01-07,-0.022676711724999125
2019-01-08,-0.03798110826266388
2019-01-09,-0.04971606217115056
2019-01-10,-0.000827889928232857
2019-01-11,-0.009694803098256911
2019-01-14,0.006156544463956873
2019-01-15,0.006256958835623799
2019-01-16,0.012009435796189238
2019-01-17,-0.01458415016191017
2019-01-18,-0.04894444563821913
2019-01-22,0.03415322659155054
2019-01-23,-0.03874139793149542
2019-01-24,-0.017958091399018723
2019-01-25,-0.016673257140702474
2019-01-28,-0.000812275090171035
2019-01-29,-0.006688232002524206
2019-01-30,-0.07022847628903751
2019-01-31,-0.07773970231123141
2019-02-01,-0.04135681369800501
2019-02-04,-0.07045840245558929
2019-02-05,-0.02047144880256447
2019-02-06,-0.19985306254655086
2019-02-07,-0.0009161529677311486
2019-02-08,-9.809989530384314e-05
2019-02-11,-0.06866106997930177
2019-02-12,-0.05064380901875884
2019-02-13,-0.022499767451097996
2019-02-14,0.09731776023377615
2019-02-15,-0.02514612689723919
2019-02-19,-0.06206271781262161
2019-02-20,-0.006242926709315859
2019-02-21,0.009867215297829177
2019-02-22,-0.001159802563542582
2019-02-25,-0.016399251927210406
2019-02-26,-0.005794285354621235
2019-02-27,0.029737104440698
2019-02-28,0.0034103437521978593
2019-03-01,-0.03918407085563063
2019-03-04,0.017990648656942575
2019-03-05,0.014579769208794575
2019-03-06,0.038745995288485935
2019-03-07,0.028382821071356458
2019-03-08,-0.0022990753270137176
2019-03-11,-0.06685709147201493
2019-03-12,-0.019977767640391133
2019-03-13,-0.022951613694973116
2019-03-14,-0.008349334714709437
2019-03-15,-0.046298414624900634
2019-03-18,-0.032379757268134204
2019-03-19,0.01360043159855346
2019-03-20,0.020871712149816063
2019-03-21,-0.048782992376302514
2019-03-22,0.10710176983818345
2019-03-25,0.012825944096339106
2019-03-26,-0.02882412659356748
2019-03-27,0.03919046914394685
2019-03-28,-0.0039774677889036075
2019-03-29,-0.0578245848003377
2019-04-01,-0.08060537684045212
2019-04-02,0.0006540915335102038
2019-04-03,-0.016200498197351948
2019-04-04,-0.007711174262181361
2019-04-05,-0.02348804058776803
2019-04-08,-0.023635888990989687
2019-04-09,0.023368643712490533
2019-04-10,-0.04239414127381358
2019-04-11,-0.01752712399504555
2019-04-12,-0.022605125659012515
2019-04-15,-0.004407091831161761
2019-04-16,-0.015637489570505293
2019-04-17,-0.024487090337142088
2019-04-18,-0.0038556620863076253
2019-04-22,0.015460645736935003
2019-04-23,-0.025466994143520078
2019-04-24,-0.018751410175590576
2019-04-25,0.016067215921327278
2019-04-26,0.005170668756154309
2019-04-29,-0.013885965637319905
2019-04-30,-0.05169336466657345
2019-05-01,0.023809520294872974
2019-05-02,-0.011184857190482777
2019-05-03,-0.06319985738909
2019-05-06,0.054758069555533
2019-05-07,0.07167246992522613
2019-05-08,0.02219437341320235
2019-05-09,0.0360402569492779
2019-05-10,-0.02607705640584966
2019-05-13,0.12033643949304276
2019-05-14,-0.04983143085644564
2019-05-15,-0.01949028277720083
2019-05-16,-0.02586610123521671
2019-05-17,-0.00976518589589434
2019-05-20,0.010910677800191268
2019-05-21,0.04135580918042551
2019-05-22,-0.0008912785984716981
2019-05-23,0.06355198181939636
2019-05-24,0.023433802349356554
