Date,CLLS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0359610669440524,-1.9957649156698123,-0.28627684077568916,-1.556876439557174,-1.5550932461549896,0.0
2018-09-25,1.0,-1.0420105584058292,-1.993754182467098,-0.29429697375269537,-1.5550598557513569,-1.5504498475723103,0.0
2018-09-26,1.0,-1.0420105584058292,-1.9939772473789874,-0.29437132872332517,-1.5549855007807274,-1.5500780727191612,0.0
2018-09-27,1.0,-1.0426195426195426,-1.9857439857439858,-0.295960795960796,-1.552866052866053,-1.5478170478170479,0.0
2018-09-28,1.0,-1.041125380446886,-1.9861183282607082,-0.2967114542350234,-1.5521490609457353,-1.5473238809294039,0.0
2018-10-01,1.0,-1.045275444204892,-1.9862463757341464,-0.29730131588729464,-1.5560181399152482,-1.5495502193145492,0.0
2018-10-02,1.0,-1.0457079152731326,-1.980527684875511,-0.29996283909327387,-1.5561501300631735,-1.5498327759197323,0.0
2018-10-03,1.0,-1.044931303379131,-1.975269216487189,-0.30011139992573344,-1.555811362792425,-1.550538432974378,0.0
2018-10-04,1.0,-1.045464692313416,-1.9822903489842996,-0.3012872981620656,-1.5564402113252473,-1.555547287744624,0.0
2018-10-05,1.0,-1.019416036757077,-1.9706536238328145,-0.27026826737809395,-1.573143619386394,-1.5772195049651696,0.0
2018-10-08,1.0,-1.0164395734597156,-1.9662322274881516,-0.26103376777251186,-1.582864336492891,-1.57864336492891,0.0
2018-10-09,1.0,-1.02271714922049,-1.9715664439495175,-0.26904231625835195,-1.5837416481069044,-1.5769116555308094,0.0
2018-10-10,1.0,-1.0241187384044528,-1.9694248608534322,-0.27064935064935064,-1.5843413729128015,-1.572690166975881,0.0
2018-10-11,1.0,-0.9074285714285713,-1.9663571428571425,-0.103,-1.5577142857142856,-1.608285714285714,0.0
2018-10-12,1.0,-0.910595329920763,-1.9445340438959402,-0.08393520790968376,-1.5139892013182807,-1.5591473248720287,0.0
2018-10-15,1.0,-0.8962818003913893,-1.9598825831702542,-0.060735253005311705,-1.5122309197651662,-1.5598965613642717,0.0
2018-10-16,1.0,-0.8935084899727483,-1.9689749144015094,-0.05373488924603452,-1.5119837886940117,-1.5594298092376495,0.0
2018-10-17,1.0,-0.852488070892979,-1.885412406271302,-0.015337423312883436,-1.4965235173824132,-1.5668711656441718,0.0
2018-10-18,1.0,-0.8510159552706941,-1.8829946815764353,-0.016773489704077455,-1.4999318150825036,-1.5677758079912723,0.0
2018-10-19,1.0,-0.822407869029172,-1.857912820858317,-0.0,-1.4957892609310786,-1.5610725594556356,0.0
2018-10-22,1.0,-0.8243698611672732,-1.859347620973177,-0.0,-1.4952823830704947,-1.5605202857527969,0.0
2018-10-23,1.0,-0.8275838835736423,-1.859048645735076,-0.0,-1.4923190944616629,-1.5586848133674707,0.0
2018-10-24,1.0,-0.8231416078035654,-1.853346787756475,-0.0,-1.491288261015809,-1.5594349142280524,0.0
2018-10-25,1.0,-0.7370289106866289,-1.7452245740836347,-0.0,-1.4864481156427465,-1.484512132163139,0.0
2018-10-26,1.0,-0.6967812259553733,-1.7281354193382918,-0.0,-1.511541420877148,-1.475506540138497,0.0
2018-10-29,1.0,-0.6540744049518219,-1.7473039372088572,-0.0,-1.4933954438134134,-1.4864399208729502,0.0
2018-10-30,1.0,-0.6310139927161204,-1.7513257938789852,-0.0,-1.497731774327519,-1.5092965305731263,0.0
2018-10-31,1.0,-0.6350863869375355,-1.707866590722106,-0.0,-1.4899689893044743,-1.4957914056072399,0.0
2018-11-01,1.0,-0.6072240464763828,-1.7268249557969182,-0.0,-1.4862970447082595,-1.4943798939126043,0.0
2018-11-02,1.0,-0.6068969833521092,-1.689447990987608,-0.0,-1.4824133183126798,-1.479784703967956,0.0
2018-11-05,1.0,-0.6002003380704939,-1.7106993050773178,-0.0,-1.484379891066174,-1.4652225630751892,0.0
2018-11-06,1.0,-0.6051692846861506,-1.7141247887852806,-0.0,-1.4800050065711248,-1.4588522435696853,0.0
2018-11-07,1.0,-0.603453669523869,-1.715948194957142,-0.0,-1.4783207157604954,-1.4589876744040544,0.0
2018-11-08,1.0,-0.5450939068989029,-1.7211925866236903,-0.0,-1.4609805987727018,-1.4711460980598772,0.0
2018-11-09,1.0,-0.5441130882261765,-1.7216194432388865,-0.0,-1.4630789261578523,-1.4712009424018848,0.0
2018-11-12,1.0,-0.540447292218594,-1.69071529788676,-0.0,-1.4675004620787382,-1.4623867907091366,0.0
2018-11-13,1.0,-0.49196982601289696,-1.6779413553960336,-0.0,-1.4626475240296875,-1.4508456016547027,0.0
2018-11-14,1.0,-0.49285323277172927,-1.6769052977312815,-0.0,-1.462441457332279,-1.4501551000547412,0.0
2018-11-15,1.0,-0.4922598732325694,-1.6806435884934179,-0.0,-1.4653827401267674,-1.4563627498781082,0.0
2018-11-16,1.0,-0.49836230788611735,-1.713970773494583,-0.0,-1.5376669186192995,-1.54875283446712,0.0
2018-11-19,1.0,-0.5073543336910549,-1.7159901521368601,-0.0,-1.5382867243229594,-1.551164699198283,0.0
