Date,CRAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.38336092973851105,-0.7992127214221001,-0.061170295854290985,-0.48289543565872106,-0.3974819581992565,0.0
2018-09-25,1.0,-0.3822771281277505,-0.8084370677731674,-0.05485351439708286,-0.4908525084873633,-0.40704765497296613,0.0
2018-09-26,1.0,-0.4066420664206642,-0.8695068768869507,-0.029989936262998996,-0.5554847366655484,-0.49295538409929557,0.0
2018-09-27,1.0,-0.45377171916937414,-0.8896383670009889,-0.04004802938268116,-0.608913688374064,-0.539165136318689,0.0
2018-09-28,1.0,-0.45120141342756187,-0.8925441696113074,-0.04081272084805654,-0.6091872791519435,-0.5397526501766785,0.0
2018-10-01,1.0,-0.45127208480565373,-0.892296819787986,-0.04109540636042403,-0.6091519434628976,-0.5397526501766785,0.0
2018-10-02,1.0,-0.4511841640155532,-0.8950512548603747,-0.04079179922234005,-0.6085542594556381,-0.5392364793213149,0.0
2018-10-03,1.0,-0.45225365577311194,-0.9012498672237368,-0.04188648514676203,-0.6080090641928974,-0.5373012781928265,0.0
2018-10-04,1.0,-0.45608383191135343,-0.8948560909123092,-0.042694799447728964,-0.6130562537614613,-0.5335433851382448,0.0
2018-10-05,1.0,-0.4541276294855931,-0.8970125508219905,-0.03599080784868305,-0.6145660243945554,-0.5337458016616581,0.0
2018-10-08,1.0,-0.4600727895525583,-0.9096910012131593,-0.03878541354456576,-0.6185684721330192,-0.5410333261971026,0.0
2018-10-09,1.0,-0.45716742502955815,-0.9156604922790298,-0.025617140195621797,-0.6296442262907097,-0.5546916986134499,0.0
2018-10-10,1.0,-0.4581497797356828,-0.9145804233372729,-0.026610794742308656,-0.6300633931449446,-0.5521650370688729,0.0
2018-10-11,1.0,-0.4034867940286042,-0.9081323728990499,-0.0,-0.6099801649441486,-0.5582698263562654,0.0
2018-10-12,1.0,-0.40825231044078747,-0.9015357130587144,-0.0,-0.5904421616793212,-0.5353694987460061,0.0
2018-10-15,1.0,-0.3681470243431488,-0.9504516929866906,-0.0,-0.5875801668850424,-0.5418247017447073,0.0
2018-10-16,1.0,-0.362921309552558,-0.9597750715838135,-0.0,-0.586435298582123,-0.5406906544312968,0.0
2018-10-17,1.0,-0.3472453522754308,-0.9298847840125073,-0.0,-0.5792407300411243,-0.542330829623084,0.0
