Date,IWF,IWM,LDOS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.21869318181818184,-0.6498579545454546,1.0,-0.09821022727272727,-0.4408522727272728,-0.43329545454545454,0.0
2018-09-25,-0.21758543705993474,-0.6601408208827065,1.0,-0.09098975327723395,-0.4496822943499914,-0.44381475757055355,0.0
2018-09-26,-0.22003039252229262,-0.6637325458038248,1.0,-0.09479026292399001,-0.4498666743125842,-0.43879920864753275,0.0
2018-09-27,-0.21958848681378598,-0.666255344792952,1.0,-0.09426923408040863,-0.45028266421786667,-0.43929176112721324,0.0
2018-09-28,-0.22095259969567338,-0.6655565444575234,1.0,-0.094341247739083,-0.4506043467026499,-0.43952226464930666,0.0
2018-10-01,-0.2204144988358389,-0.6680272499928138,1.0,-0.09477133576705281,-0.4507746701543591,-0.44045531633562335,0.0
2018-10-02,-0.2206735347588953,-0.6880212391423541,1.0,-0.08934291403341703,-0.4493406054309872,-0.4383458863590454,0.0
2018-10-03,-0.22104380996416598,-0.6771182522251762,1.0,-0.0871864524332447,-0.4560166454745116,-0.4484452664431858,0.0
2018-10-04,-0.22801123693127515,-0.6701902748414377,1.0,-0.0877523241333372,-0.46569550233137363,-0.44449593095658724,0.0
2018-10-05,-0.21644634301218035,-0.6653293309472955,1.0,-0.07718062691219765,-0.4735322981007909,-0.45387634936211974,0.0
2018-10-08,-0.2149443836090139,-0.6630165408333814,1.0,-0.0744913837819146,-0.4758227191516339,-0.45343207884271797,0.0
2018-10-09,-0.21539525634744516,-0.6632179601717628,1.0,-0.07556413729502291,-0.47528747226144846,-0.4524914262658866,0.0
2018-10-10,-0.21604724863151828,-0.6622875252088735,1.0,-0.07649092480553155,-0.4756554307116104,-0.4504753673292999,0.0
2018-10-11,-0.1811351549089681,-0.6640402960294903,1.0,-0.033767622477980694,-0.47035484143287276,-0.4646706249824127,0.0
2018-10-12,-0.18176496822388227,-0.6609989965436502,1.0,-0.030912030326680787,-0.46055859070130445,-0.4531441632288995,0.0
