Date,IWF,IWM,JOBS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.1412090447623444,-2.3650976772804184,1.0,-0.298338717120443,-1.5463774803876327,-1.3401784340870635,0.0
2018-09-25,-1.1415391712154994,-2.363342815407089,1.0,-0.2997616667948028,-1.5450142231106327,-1.3385100330591222,0.0
2018-09-26,-1.1473603082851638,-2.372023121387283,1.0,-0.30682080924855487,-1.5478227360308285,-1.333102119460501,0.0
2018-09-27,-1.153585457906493,-2.355926981437264,1.0,-0.3115612724331818,-1.5484094585226833,-1.3328968651313255,0.0
2018-09-28,-1.154456513365688,-2.354980355904784,1.0,-0.3123025961019952,-1.5485709883676142,-1.333256297665819,0.0
2018-10-01,-1.15611034057636,-2.3533672368623826,1.0,-0.3126059485282786,-1.5496224379719525,-1.3335644937586684,0.0
2018-10-02,-1.156252407735573,-2.3513367747900458,1.0,-0.31435395639109337,-1.5491178056861084,-1.333615840973881,0.0
2018-10-03,-1.1597281223449447,-2.3628639839345023,1.0,-0.3172935815246775,-1.5507067274272033,-1.3332818413532093,0.0
2018-10-04,-1.1638117283950618,-2.3514660493827164,1.0,-0.31867283950617287,-1.5554012345679014,-1.3266975308641977,0.0
2018-10-05,-1.1636293436293434,-2.364478764478765,1.0,-0.3067953667953668,-1.56,-1.327027027027027,0.0
2018-10-08,-1.1581255771006465,-2.355801785164666,1.0,-0.3010156971375808,-1.5584025854108956,-1.321329639889197,0.0
2018-10-09,-1.160711535499769,-2.3581549360850147,1.0,-0.30432773756352993,-1.5580625288772525,-1.3193439088248884,0.0
2018-10-10,-1.1622536945812807,-2.355911330049261,1.0,-0.30603448275862066,-1.558420566502463,-1.3144242610837438,0.0
2018-10-11,-1.0422597536691498,-2.3470757430488978,1.0,-0.1435209086215798,-1.5148609779482265,-1.3275315288738108,0.0
2018-10-12,-1.0473505385671944,-2.325742788982867,1.0,-0.12730427239210584,-1.463312368972746,-1.2653075977734403,0.0
2018-10-15,-1.0396911308364003,-2.3391787544201486,1.0,-0.11127949772678068,-1.4627985855524284,-1.2636212744461284,0.0
2018-10-16,-1.0361611340131627,-2.3664569320893905,1.0,-0.09438055977435453,-1.467563462790193,-1.2676647139654298,0.0
2018-10-17,-0.9946320101709281,-2.2777228422093514,1.0,-0.054739369967509534,-1.455431558129679,-1.2806187314592457,0.0
2018-10-18,-1.0140310687951892,-2.3189204667477985,1.0,-0.04610208318419357,-1.4735485718376404,-1.306106378409335,0.0
2018-10-19,-0.9886500673902248,-2.301624459104774,1.0,-0.014329289919841101,-1.4830815067035539,-1.306093495069873,0.0
2018-10-22,-0.9895796413128234,-2.2944637414049764,1.0,-0.012405188913305451,-1.4845112355568157,-1.3077195718437655,0.0
2018-10-23,-0.9942557265442167,-2.294376285369832,1.0,-0.021842422523225304,-1.4774838663924545,-1.3038082405503157,0.0
2018-10-24,-0.9937628464100929,-2.2966191792472888,1.0,-0.014317102558650508,-1.4788432915160536,-1.303990360762634,0.0
2018-10-25,-0.9158079073213445,-2.1719539300868864,1.0,-0.0,-1.442580992793157,-1.2048225230686336,0.0
2018-10-26,-0.8864961569043202,-2.133978266631328,1.0,-0.0,-1.428902729923138,-1.1766498807315133,0.0
2018-10-29,-0.8326824670078103,-2.219162402370051,1.0,-0.0,-1.4410853757069753,-1.2402370051171558,0.0
2018-10-30,-0.8307640525075733,-2.2188488724335245,1.0,-0.0,-1.44079434533827,-1.2413328845506566,0.0
2018-10-31,-0.8416477196736659,-2.1726628326869064,1.0,-0.0,-1.4404172796576167,-1.2324461682492978,0.0
2018-11-01,-0.8694742525477492,-2.172842005804144,1.0,-0.0,-1.4588648174394276,-1.2478234460417088,0.0
2018-11-02,-0.8708043492942527,-2.173971770108732,1.0,-0.0,-1.4592422502870264,-1.249544134530965,0.0
2018-11-05,-0.8719681102628202,-2.17215053036957,1.0,-0.0,-1.45996892101885,-1.2522802513343692,0.0
2018-11-06,-0.8949551264617895,-2.201047049224912,1.0,-0.0,-1.4598857764481916,-1.2430649986401958,0.0
2018-11-07,-0.8939177709819911,-2.201019367991845,1.0,-0.0,-1.458783554196398,-1.2420659191301393,0.0
2018-11-08,-0.8399946351931331,-2.195882510729614,1.0,-0.0,-1.4305928111587982,-1.2395386266094421,0.0
2018-11-09,-0.8458740316604917,-2.204445941394409,1.0,-0.0,-1.437049511620074,-1.2488379925900976,0.0
2018-11-12,-0.8442403111170712,-2.168700549818962,1.0,-0.0,-1.4501810379509186,-1.2419873943945288,0.0
2018-11-13,-0.7840477482365709,-2.2110689093868694,1.0,-0.0,-1.5093597395550733,-1.277943570265871,0.0
2018-11-14,-0.7887582410113505,-2.2128050023788486,1.0,-0.0,-1.5144430095833614,-1.2807041391966287,0.0
2018-11-15,-0.7865183778651837,-2.2132781771327816,1.0,-0.0,-1.5165468601654686,-1.2651566526515665,0.0
