Date,FTRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.17144987797161712,-0.3095001355870921,-0.0,-0.3784461719244328,-0.4003660851486938,0.0
2018-09-25,1.0,-0.1743797170877209,-0.30874045284042123,-0.0,-0.37788674470104394,-0.39865322908663625,0.0
2018-09-26,1.0,-0.1776092370387141,-0.31249717002490385,-0.0,-0.37889970568259,-0.394951324428345,0.0
2018-09-27,1.0,-0.17800312365603568,-0.31170918309604106,-0.0,-0.37889042305167614,-0.3948935014373345,0.0
2018-09-28,1.0,-0.17856415132785436,-0.31157599221173216,-0.0,-0.37897620503067764,-0.394914985623401,0.0
2018-10-01,1.0,-0.1801985584115327,-0.3108255133958928,-0.0,-0.38034362391767534,-0.3952808377532979,0.0
2018-10-02,1.0,-0.18323882966659105,-0.3005670220004536,-0.0,-0.38466772510773417,-0.3996144250396916,0.0
2018-10-03,1.0,-0.18299927444222747,-0.29809087611101037,-0.0,-0.3853165245782696,-0.40093869036822055,0.0
2018-10-04,1.0,-0.18456482320942885,-0.2956029011786038,-0.0,-0.3871033544877607,-0.3992747053490481,0.0
2018-10-05,1.0,-0.17990326809203092,-0.29211680151878133,-0.0,-0.38765086109478825,-0.4004203769832301,0.0
2018-10-08,1.0,-0.17959146782357194,-0.2918926247288503,-0.0,-0.38765365148228487,-0.4004202819956616,0.0
2018-10-09,1.0,-0.17927746774813041,-0.29176927769368066,-0.0,-0.38772282596416713,-0.4005557940398997,0.0
2018-10-10,1.0,-0.1800257470018294,-0.2910314610294284,-0.0,-0.38819251530139803,-0.3992817941594959,0.0
2018-10-11,1.0,-0.15057377230415459,-0.2798107325270303,-0.0,-0.37791584672872397,-0.40274614721294805,0.0
2018-10-12,1.0,-0.14801285154702698,-0.2761102064169711,-0.0,-0.3757537080234145,-0.40073060164605434,0.0
2018-10-15,1.0,-0.13335822042644765,-0.28845604866158675,-0.0,-0.37288917191857524,-0.4011945804694877,0.0
2018-10-16,1.0,-0.12815832875206157,-0.29844969763606377,-0.0,-0.3721165475536009,-0.40028587135788896,0.0
2018-10-17,1.0,-0.12095070038995273,-0.28464370520445287,-0.0,-0.3701065289850337,-0.40282770189312245,0.0
2018-10-18,1.0,-0.1210563012027192,-0.2851446749172041,-0.0,-0.3697489977340073,-0.40286735227470805,0.0
2018-10-19,1.0,-0.11616600104184753,-0.2811903108178503,-0.0,-0.3700295190137176,-0.4031298836603577,0.0
2018-10-22,1.0,-0.11604836433889769,-0.27538150954045193,-0.0,-0.3733041005492001,-0.40603903010832043,0.0
2018-10-23,1.0,-0.11479148566463945,-0.2756950477845352,-0.0,-0.37467419635099913,-0.4068853171155517,0.0
2018-10-24,1.0,-0.1139542966374142,-0.2762837779129377,-0.0,-0.3749674168042402,-0.40698583717090975,0.0
2018-10-25,1.0,-0.10423180708442198,-0.26247483616738765,-0.0,-0.37563712682571637,-0.3992590054396711,0.0
2018-10-26,1.0,-0.09863923848463553,-0.25796971826486936,-0.0,-0.37711620775570176,-0.3957920739368385,0.0
2018-10-29,1.0,-0.08597726501526977,-0.26266118086189344,-0.0,-0.371776382762131,-0.40038598574821854,0.0
2018-10-30,1.0,-0.08173606988380969,-0.262721567297091,-0.0,-0.3719574251547791,-0.4038673564583157,0.0
2018-10-31,1.0,-0.08508932903035289,-0.25092282056149673,-0.0,-0.3716382965259761,-0.4016536944462022,0.0
2018-11-01,1.0,-0.09611920052563531,-0.24539539221296708,-0.0,-0.3744303851126513,-0.40355227739980076,0.0
2018-11-02,1.0,-0.09875448596157906,-0.2329955668144395,-0.0,-0.37804517627190204,-0.4012455140384209,0.0
2018-11-05,1.0,-0.09657879740824381,-0.2389987547751208,-0.0,-0.37861167978725646,-0.39634030518562297,0.0
2018-11-06,1.0,-0.09531553603108896,-0.23821491932077385,-0.0,-0.38010053222945,-0.3984117597364197,0.0
2018-11-07,1.0,-0.09489128140173105,-0.23856871437618746,-0.0,-0.379290690310323,-0.39829005699810005,0.0
2018-11-08,1.0,-0.08954941310109805,-0.23764146577474862,-0.0,-0.37727712566788674,-0.39915436072194876,0.0
2018-11-09,1.0,-0.08972524929524131,-0.23772457609290193,-0.0,-0.3772036857828081,-0.39912483695880846,0.0
2018-11-12,1.0,-0.08932971128940552,-0.23960241750373787,-0.0,-0.3770505612062248,-0.39985680291448183,0.0
2018-11-13,1.0,-0.07962749816888146,-0.23561787171706602,-0.0,-0.37802657737783824,-0.39943496913257304,0.0
2018-11-14,1.0,-0.07923714620666555,-0.23616228437447662,-0.0,-0.3782239155920281,-0.3998283369619829,0.0
