Date,IWF,IWM,MTUM,PSN,SPY,VLUE,VXX
2020-01-06,-0.11326211690068573,-0.4072398190045249,-1.2863273778980266,1.0,-1.3728600083966973,-0.48514251061249236,0.0
2020-01-07,-0.09502876116541178,-0.4080344198662489,-1.3047280549969604,1.0,-1.3665061029790022,-0.5023616891923491,0.0
2020-01-08,-0.0958179178569756,-0.40106776565353813,-1.3085280756802322,1.0,-1.3591532805694748,-0.5186156511965532,0.0
2020-01-09,-0.06662580158430781,-0.40894945303658997,-1.3325631837042624,1.0,-1.3676914371935118,-0.5394190871369295,0.0
2020-01-10,-0.06222933534174356,-0.41239879495386933,-1.327527772547543,1.0,-1.3622199209188477,-0.5428356241762381,0.0
2020-01-13,-0.06242627282593309,-0.4135799556457321,-1.3281272118152219,1.0,-1.3682347945076203,-0.5460765347048554,0.0
2020-01-14,-0.059216720015063076,-0.41009226134437965,-1.3205140274901148,1.0,-1.3646676708717755,-0.5527678403313877,0.0
2020-01-15,-0.06544169611307421,-0.4070671378091873,-1.320800942285041,1.0,-1.3682449941107184,-0.5498704358068316,0.0
2020-01-16,-0.06898826633994627,-0.39230008010932566,-1.3054050233259507,1.0,-1.3733565807454877,-0.572263324065784,0.0
2020-01-17,-0.06667294915893135,-0.3668190171040852,-1.3108891297177592,1.0,-1.3804834377797672,-0.5870046647505065,0.0
2020-01-21,-0.06528092006033183,-0.37707390648567124,-1.3054769984917045,1.0,-1.3794306184012066,-0.5862085218702866,0.0
2020-01-22,-0.061021939405451614,-0.35900845284452465,-1.3520752208186912,1.0,-1.3844619621996392,-0.5922689714122898,0.0
2020-01-23,-0.06319243022205316,-0.36565070610051825,-1.3497693880462176,1.0,-1.3957966810898197,-0.580476439541629,0.0
2020-01-24,-0.06376301649945319,-0.3659359992392183,-1.3494365460510676,1.0,-1.3952736436688697,-0.580476439541629,0.0
2020-01-27,-0.03813860822541625,-0.3459513305820407,-1.3721834827569852,1.0,-1.391869455908164,-0.5954651107632466,0.0
2020-01-28,-0.0,-0.39579602224526345,-1.4200678669054576,1.0,-1.3643133188801961,-0.5328023376378547,0.0
2020-01-29,-0.0,-0.400310135801889,-1.4213147878389174,1.0,-1.3496546214933507,-0.5277477562144636,0.0
2020-01-30,-0.0,-0.401830985915493,-1.4158215962441316,1.0,-1.3651643192488263,-0.5119718309859155,0.0
2020-01-31,-0.0,-0.4088195195336373,-1.4063278642282921,1.0,-1.3689060222838605,-0.5172300314982841,0.0
2020-02-03,-0.0,-0.3916439432453667,-1.3759763368304292,1.0,-1.3448259925128252,-0.5093127513056339,0.0
2020-02-04,-0.0,-0.37470046082949304,-1.3661751152073733,1.0,-1.3445622119815668,-0.5228571428571429,0.0
2020-02-05,-0.0,-0.374651746974195,-1.3583009819593515,1.0,-1.3280200959123085,-0.5062799725964833,0.0
2020-02-06,-0.0,-0.3737216946676406,-1.4045836376917458,1.0,-1.316106647187728,-0.4709642074506939,0.0
2020-02-07,-0.0,-0.3778751369112815,-1.40197152245345,1.0,-1.3133899233296822,-0.4705184373859072,0.0
2020-02-10,-0.0,-0.3599781251424145,-1.4050494462926673,1.0,-1.3209679624481612,-0.4712664631089642,0.0
2020-02-11,-0.0,-0.35875642016271986,-1.3943002590791327,1.0,-1.3151220399072767,-0.4770237716467433,0.0
2020-02-12,-0.0,-0.36067660967624593,-1.3943252091669698,1.0,-1.3121134958166605,-0.48003819570753,0.0
2020-02-13,-0.0,-0.3603894626689112,-1.3941489603712636,1.0,-1.3145730015014332,-0.4806861094681286,0.0
2020-02-14,-0.0,-0.35263062079009644,-1.385081012197342,1.0,-1.325732750773712,-0.4878026579282723,0.0
2020-02-18,-0.0,-0.35356752821259557,-1.381780123771387,1.0,-1.323216235893702,-0.49185475063705864,0.0
2020-02-19,-0.0,-0.35834888271970144,-1.3846994038137712,1.0,-1.3252628225549539,-0.48272880353160696,0.0
2020-02-20,-0.0,-0.35797470657810937,-1.3855882085342555,1.0,-1.322991538531526,-0.48257665362569374,0.0
2020-02-21,-0.0,-0.33650383230215164,-1.4206297903776897,1.0,-1.3676701449810693,-0.4924739126419799,0.0
2020-02-24,-0.0,-0.3326588797939851,-1.4177319966890465,1.0,-1.3595143934516694,-0.48864158925779455,0.0
2020-02-25,-0.0,-0.3996733036069048,-1.398746192221094,1.0,-1.1659087898989007,-0.4505319853428105,0.0
2020-02-26,-0.0,-0.3740976464055359,-1.343129298193157,1.0,-1.1350219982059715,-0.4192900773140831,0.0
2020-02-27,-0.0,-0.36587342204025936,-1.3363613101330605,1.0,-1.1508444216990787,-0.411676902081201,0.0
2020-02-28,-0.010640851268101447,-0.46147691815345226,-1.1877350188015041,1.0,-0.9621969757580606,-0.37823025842067365,0.0
2020-03-02,-0.06759785479868725,-0.40202513407508206,-1.1580084847514607,1.0,-0.98871367966061,-0.38589610181701756,0.0
2020-03-03,-0.04940583088151007,-0.5188567498376065,-0.9944977264911543,1.0,-0.9110083680409613,-0.3472545947804822,0.0
2020-03-04,-0.0,-0.5740503466988243,-1.036742538438348,1.0,-0.8664455833584566,-0.2912270123605668,0.0
2020-03-05,-0.0,-0.6599298600817094,-0.9159405618424383,1.0,-0.7933041686250407,-0.24628511515239163,0.0
2020-03-06,-0.0049390612230394764,-0.6477632093238105,-0.8990157410368476,1.0,-0.7575240734818605,-0.2440393703585261,0.0
2020-03-09,-0.0003531946455691732,-0.6363154734574223,-0.9018472079963269,1.0,-0.7560837777699291,-0.2373821212870413,0.0
2020-03-10,-0.28418419702411496,-0.4215944073884043,-0.6993971267316572,1.0,-0.5743329912775783,-0.22729604925602873,0.0
2020-03-11,-0.17610440498009228,-0.5970738797952347,-0.7593692725778929,1.0,-0.4933956898186184,-0.13398217784238134,0.0
2020-03-12,-0.21384606008897555,-0.49363154366506184,-0.700773965506734,1.0,-0.5059418611737461,-0.13288439271131697,0.0
2020-03-13,-0.28594984932052087,-0.4001250923977938,-0.5821061010974015,1.0,-0.44655143003354747,-0.128276567919486,0.0
2020-03-16,-0.2191358858656003,-0.532221891972223,-0.5489205328433625,1.0,-0.40179415817774056,-0.0,0.0
2020-03-17,-0.2574829336600735,-0.36063114200695157,-0.37025830811932686,1.0,-0.40906704008401895,-0.10314820834687806,0.0
2020-03-18,-0.25614340844018424,-0.3620814141665629,-0.3597410680941118,1.0,-0.40590065977841405,-0.10588821112909248,0.0
2020-03-19,-0.2511330861145447,-0.4335599505562423,-0.39269159456118663,1.0,-0.4279975278121137,-0.0698135558302431,0.0
2020-03-20,-0.2594456467888712,-0.5256707778154416,-0.3682824437433183,1.0,-0.4292195770644833,-0.024875492164480716,0.0
2020-03-23,-0.2598225602027883,-0.5499599079175397,-0.33478182147383667,1.0,-0.4222084270970745,-0.019813248493313677,0.0
