Date,BSTC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6184552358113509,-1.4300559552358112,-0.0,-1.0544064748201438,-0.8930855315747402,0.0
2018-09-25,1.0,-0.6211871599021517,-1.427836852878039,-0.0,-1.0528680545155011,-0.8904198492336878,0.0
2018-09-26,1.0,-0.6206810465348512,-1.4277511483922507,-0.0,-1.0531256241262232,-0.8915018973437187,0.0
2018-09-27,1.0,-0.6210116342937034,-1.4275727767513855,-0.0,-1.0530783442352825,-0.8916462775253408,0.0
2018-09-28,1.0,-0.628829280521434,-1.4299323138631237,-0.0,-1.0585109049887191,-0.8965154173978441,0.0
2018-10-01,1.0,-0.6297633373445647,-1.428900922583233,-0.0,-1.0588648215002006,-0.8965102286401925,0.0
2018-10-02,1.0,-0.6305208803328821,-1.4269313681255327,-0.0,-1.0589061011680954,-0.8969268561688475,0.0
2018-10-03,1.0,-0.6296760605756694,-1.4127971116237088,-0.0,-1.0648881757095578,-0.9071808243907331,0.0
2018-10-04,1.0,-0.630075791798424,-1.415198514279978,-0.0,-1.0646990915022838,-0.9093510013552176,0.0
2018-10-05,1.0,-0.6044668228725261,-1.400867441048906,-0.0,-1.0668029313525103,-0.9131063363078917,0.0
2018-10-08,1.0,-0.6017611064126163,-1.3969951743694344,-0.0,-1.06556887717029,-0.9105517138450824,0.0
2018-10-09,1.0,-0.5946054750402576,-1.4132950885668276,-0.0,-1.0872584541062802,-0.9370471014492753,0.0
2018-10-10,1.0,-0.5952524642928989,-1.4119895393281032,-0.0,-1.0874572520619594,-0.9345202172601087,0.0
2018-10-11,1.0,-0.4837736932797243,-1.3645414512732146,-0.0,-1.0258950794562511,-0.9123587976258856,0.0
2018-10-12,1.0,-0.5022984692668594,-1.3640585754229655,-0.0,-0.9977252262925927,-0.8750296194493152,0.0
2018-10-15,1.0,-0.47866918357715904,-1.3794242567248702,-0.0,-0.9900896649362906,-0.8710240679565834,0.0
2018-10-16,1.0,-0.468027145861212,-1.4293156184285987,-0.0,-1.0008124641559932,-0.8810934811699483,0.0
2018-10-17,1.0,-0.4290117691014384,-1.3591911077900243,-0.0,-0.989678684849617,-0.8923967868484961,0.0
2018-10-18,1.0,-0.42933233658832876,-1.3607438209596785,-0.0,-0.989394010185488,-0.8927720413026211,0.0
