Date,ADVM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.1806211535709172,-4.51710319164162,-0.504794618577358,-3.182052382996994,-2.927722913983111,0.0
2018-09-25,1.0,-2.195153427014626,-4.518067106395182,-0.5210782907943791,-3.1825351304846574,-2.9222827645540583,0.0
2018-09-26,1.0,-2.195870375681101,-4.518784055061658,-0.5227989675939203,-3.181961571551477,-2.9195583596214516,0.0
2018-09-27,1.0,-2.201774470520893,-4.487550085861477,-0.529479107040641,-3.177447052089296,-2.9139954207212364,0.0
2018-09-28,1.0,-2.2019175729822553,-4.486548368631941,-0.5309101316542645,-3.1770177447052093,-2.913852318259874,0.0
2018-10-01,1.0,-2.205297065139585,-4.484609878310666,-0.5318539727988547,-3.1795275590551184,-2.9151037938439512,0.0
2018-10-02,1.0,-2.2051502145922743,-4.470100143061517,-0.5369098712446352,-3.1786838340486407,-2.91516452074392,0.0
2018-10-03,1.0,-2.1990866276580565,-4.446981589838733,-0.5334665334665335,-3.1756814613957474,-2.916226630512345,0.0
2018-10-04,1.0,-2.198063505624377,-4.429730884237505,-0.5336750676349138,-3.173002990175139,-2.904456784849779,0.0
2018-10-05,1.0,-2.132837705147987,-4.3711600504979655,-0.47608360218824514,-3.1550007013606396,-2.8922710057511574,0.0
2018-10-08,1.0,-2.1250525136535496,-4.359193390281473,-0.4577790225458619,-3.1701442375017503,-2.8914717826634924,0.0
2018-10-09,1.0,-2.122654718566228,-4.360403248389806,-0.4518342201064128,-3.172360683281994,-2.8944273312797537,0.0
2018-10-10,1.0,-2.150479954827781,-4.388904573687182,-0.46386222473178995,-3.208215697346132,-2.904997176736307,0.0
2018-10-11,1.0,-1.8400872018466277,-4.0960502692998215,-0.22941779943575277,-2.9231854321620934,-2.735188509874327,0.0
2018-10-12,1.0,-1.87726409119696,-4.087523749208359,-0.20215326155794802,-2.853451551614946,-2.645851804939835,0.0
2018-10-15,1.0,-1.81732223903177,-4.171961674230963,-0.11838124054462935,-2.8464447806354007,-2.6529248613212304,0.0
2018-10-16,1.0,-1.8142875141741213,-4.176137079501071,-0.11339296963588258,-2.8445256394103566,-2.650875645709966,0.0
2018-10-17,1.0,-1.7242431640624998,-3.987060546875,-0.037109375,-2.8022460937499996,-2.6563720703124996,0.0
2018-10-18,1.0,-1.7262064752596211,-3.9936469150885765,-0.033842394624312766,-2.8045204642638972,-2.659376908979841,0.0
