Date,CTVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-23,1.0,-0.5397334233170238,-0.8218322928969125,-1.1943085315786515,-1.356110454980035,-0.7119959507339294,0.0
2020-01-24,1.0,-0.5410029830584792,-0.8204536500253279,-1.19682557550515,-1.3572916080373727,-0.7128946924072719,0.0
2020-01-27,1.0,-0.5196232339089483,-0.8024220677281902,-1.2123233908948197,-1.3501906257008298,-0.7220789414666965,0.0
2020-01-28,1.0,-0.4674021510145248,-0.8359574232176517,-1.2444838673910632,-1.3243707728129503,-0.6716376538418892,0.0
2020-01-29,1.0,-0.44696593230633314,-0.8399867483849593,-1.2490751477002928,-1.3173209651592954,-0.6682126884214014,0.0
2020-01-30,1.0,-0.4829206279018351,-0.8405372540349326,-1.2305438868007958,-1.3431903603802786,-0.6301127570196773,0.0
2020-01-31,1.0,-0.46226945569050837,-0.8445231668915879,-1.2989203778677463,-1.382928475033738,-0.6343904633378318,0.0
2020-02-03,1.0,-0.45943103829975646,-0.8098848793446977,-1.2797210537967678,-1.3575935355324331,-0.6280717290236882,0.0
2020-02-04,1.0,-0.4619095143047239,-0.8144821468174762,-1.2834331337325349,-1.3602239964515415,-0.6244178310046574,0.0
2020-02-05,1.0,-0.41306019332161686,-0.8178273286467487,-1.2976164323374342,-1.3570408611599298,-0.6065465729349736,0.0
2020-02-06,1.0,-0.4252684637300022,-0.8132807363576594,-1.3107056760902915,-1.3433048433048433,-0.5863467017313172,0.0
2020-02-07,1.0,-0.4187397260273973,-0.8221917808219178,-1.3094794520547945,-1.3425205479452056,-0.5865205479452055,0.0
2020-02-10,1.0,-0.41957353745215964,-0.8088572990705303,-1.309130672498633,-1.3446692181519955,-0.5852378348824494,0.0
2020-02-11,1.0,-0.3951679176025859,-0.8123048266038461,-1.3063605982578206,-1.3547909932613817,-0.6099271352654358,0.0
2020-02-12,1.0,-0.4028280170996382,-0.8071906171215608,-1.3067521648580511,-1.3617779239285321,-0.6021593773977858,0.0
2020-02-13,1.0,-0.3945451558135714,-0.8072183580699929,-1.3128320280409662,-1.3626704638808258,-0.599430417876116,0.0
2020-02-14,1.0,-0.40362799364279056,-0.7973365484737218,-1.2971447361210062,-1.3739244807365594,-0.6083191757549187,0.0
2020-02-18,1.0,-0.4051520964647849,-0.7969306659358728,-1.2984927377363662,-1.3738558509180596,-0.6065223348862702,0.0
2020-02-19,1.0,-0.4185252491877306,-0.8110578776364337,-1.310534721074949,-1.3808029076490997,-0.5860454870862933,0.0
2020-02-20,1.0,-0.41158335168465093,-0.8104492402554504,-1.3168354987888131,-1.380092490640828,-0.5864347060118917,0.0
2020-02-21,1.0,-0.3936275588817962,-0.8261611270085848,-1.3208232445520582,-1.3784943869689632,-0.5838652872551178,0.0
2020-02-24,1.0,-0.3261214876485731,-0.8301473407460151,-1.3438133318727064,-1.3928903982034289,-0.5843238210001642,0.0
2020-02-25,1.0,-0.28717462324797133,-0.8690062177257878,-1.3750131731478554,-1.1885340921066498,-0.5495310359363473,0.0
2020-02-26,1.0,-0.2968203255743192,-0.8217962371317004,-1.3076728028804705,-1.1379887418226076,-0.5070236827425326,0.0
2020-02-27,1.0,-0.3367631405545137,-0.8014597800192611,-1.2867352628110902,-1.1544426985655634,-0.48927974048355216,0.0
2020-02-28,1.0,-0.31647069979139014,-0.8758771098046653,-1.134031860421013,-0.9540584107718566,-0.46069599848283715,0.0
2020-03-02,1.0,-0.3573962817541038,-0.8301717205165808,-1.1088509390226595,-0.9696769005156346,-0.46444959553432047,0.0
2020-03-03,1.0,-0.3344529535581531,-0.9037126606655023,-0.9355994446683686,-0.8732142057414125,-0.43154641945452105,0.0
2020-03-04,1.0,-0.2519904458598726,-0.9788128096249115,-1.0069886765746638,-0.8243542108987969,-0.3610668789808917,0.0
2020-03-05,1.0,-0.2445370291641867,-1.0640676813196157,-0.8808349630133492,-0.7456848907405832,-0.3162146076013944,0.0
2020-03-06,1.0,-0.2426109399716926,-1.0402547664640747,-0.8694113729081676,-0.701273832320373,-0.3092998085088669,0.0
2020-03-09,1.0,-0.23455079764903444,-1.059403862300588,-0.8816120906801007,-0.7141477749790093,-0.30843828715365235,0.0
2020-03-10,1.0,-0.48425713964048483,-0.661125079746313,-0.745412241528127,-0.595339062558637,-0.2666716703568882,0.0
2020-03-11,1.0,-0.48636176040220613,-0.6583123850973625,-0.7418301879713354,-0.5932165234682775,-0.27223952275541213,0.0
2020-03-12,1.0,-0.5246821918800477,-0.5374307341277027,-0.6836043605809279,-0.6057730614610118,-0.2702546086704574,0.0
2020-03-13,1.0,-0.555644037427832,-0.4071935762160727,-0.5954940606543234,-0.5501028601765213,-0.20960249518879823,0.0
2020-03-16,1.0,-0.4999363219561894,-0.48162888436067236,-0.5567689760570554,-0.5076732042791645,-0.13789480387162506,0.0
2020-03-17,1.0,-0.45689421542352976,-0.38248667529886476,-0.4431629979824746,-0.4834833930560993,-0.2452046132072631,0.0
2020-03-18,1.0,-0.4523111881839383,-0.3866232135382408,-0.42420618310111824,-0.4793996292531245,-0.24735394367039407,0.0
2020-03-19,1.0,-0.46553452444129967,-0.32425260923403504,-0.40966448493425317,-0.4793030249425084,-0.26953240167462705,0.0
2020-03-20,1.0,-0.47368421052631576,-0.417357096024319,-0.38362043273529234,-0.47973415986171547,-0.22587470942361565,0.0
2020-03-23,1.0,-0.47283797363598756,-0.45123248802979254,-0.3416977005379205,-0.4722468522787729,-0.21756221552284685,0.0
2020-03-24,1.0,-0.4754722550177096,-0.45433884297520666,-0.33264462809917356,-0.4671487603305785,-0.22198937426210155,0.0
2020-03-25,1.0,-0.4934012173616247,-0.45662438136412764,-0.228568177939587,-0.4771602480232095,-0.18852039365151602,0.0
