Date,IWF,IWM,KBH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5368303571428571,-1.3348214285714284,1.0,-0.0,-0.8161160714285715,-0.7765178571428571,0.0
2018-09-25,-0.5441143622961805,-1.3339289702926065,1.0,-0.0,-0.8157694884967612,-0.7734643734643735,0.0
2018-09-26,-0.5431712549159814,-1.3336610654272436,1.0,-0.0,-0.8163210582767251,-0.7758759385055416,0.0
2018-09-27,-0.5424564233543935,-1.3417125957790024,1.0,-0.0,-0.8185239951606399,-0.7781959940852264,0.0
2018-09-28,-0.5392311505701023,-1.357023750507008,1.0,-0.0,-0.8254089864347199,-0.7851187525350399,0.0
2018-10-01,-0.5393455922120065,-1.3569497025419146,1.0,-0.0,-0.8254011177212908,-0.7852442761853254,0.0
2018-10-02,-0.5410715090343803,-1.3503356914342362,1.0,-0.0,-0.8272428243139729,-0.787230207723156,0.0
2018-10-03,-0.5431640005437984,-1.3336656545973626,1.0,-0.0,-0.8441564326822858,-0.8106675125753386,0.0
2018-10-04,-0.5633351638293977,-1.3291689547867471,1.0,-0.0,-0.8732381475379828,-0.8105436573311368,0.0
2018-10-05,-0.5416704617906913,-1.3198378723016668,1.0,-0.0,-0.8764459422533929,-0.8161945532379998,0.0
2018-10-08,-0.5378918673330304,-1.3151294865970014,1.0,-0.0,-0.8767378464334394,-0.8136301681054067,0.0
2018-10-09,-0.5286125977768629,-1.3232240062211245,1.0,-0.0,-0.8905356571062623,-0.8320296418279127,0.0
2018-10-10,-0.5282183696053117,-1.3377443747694577,1.0,-0.0,-0.8973164883806715,-0.847565473994836,0.0
2018-10-11,-0.4301041759415903,-1.3190276912118244,1.0,-0.0,-0.8555337904015672,-0.8472531386341378,0.0
2018-10-12,-0.4296052631578947,-1.309078947368421,1.0,-0.0,-0.8291666666666666,-0.8181140350877193,0.0
2018-10-15,-0.39014769689266776,-1.3496515755796117,1.0,-0.0,-0.8225884209142306,-0.8203532453872113,0.0
2018-10-16,-0.38567734583862906,-1.3568830258140858,1.0,-0.0,-0.8211859578384538,-0.8189507823114344,0.0
2018-10-17,-0.36206451612903223,-1.311956989247312,1.0,-0.0,-0.8083440860215053,-0.8187526881720429,0.0
2018-10-18,-0.3651588397790055,-1.320916781767956,1.0,-0.0,-0.8081837016574586,-0.8220390193370166,0.0
2018-10-19,-0.34248919693663626,-1.3080049629914858,1.0,-0.0,-0.8084114148804177,-0.8194925769049758,0.0
2018-10-22,-0.3477418521548198,-1.328927541223576,1.0,-0.0,-0.808584836612563,-0.8201231325612434,0.0
2018-10-23,-0.3413171049771789,-1.3414040425994347,1.0,-0.0,-0.8285155400999782,-0.8356444251249728,0.0
2018-10-24,-0.3414016078294303,-1.338998601887452,1.0,-0.0,-0.8387364557846907,-0.8499213561691716,0.0
2018-10-25,-0.291127502634352,-1.2759536354056902,1.0,-0.0,-0.8435827186512119,-0.804341412012645,0.0
2018-10-26,-0.29554946213878924,-1.274245939675174,1.0,-0.0,-0.8434085635941784,-0.8053153343176545,0.0
2018-10-29,-0.2582426848806813,-1.3019647525086433,1.0,-0.0,-0.8326165781263175,-0.8234252466481153,0.0
2018-10-30,-0.2713627330768255,-1.3051033782926726,1.0,-0.0,-0.8353135173988415,-0.8163714007864361,0.0
2018-10-31,-0.27213266942358005,-1.3000675162460966,1.0,-0.0,-0.8333192674487299,-0.8142037302725968,0.0
2018-11-01,-0.23885013739167194,-1.3320651025153243,1.0,-0.0,-0.8369477911646586,-0.8194884802367364,0.0
2018-11-02,-0.24054953853934005,-1.3209996207172658,1.0,-0.0,-0.8367819967128829,-0.8159214463314931,0.0
2018-11-05,-0.2390159652891866,-1.3246135052024097,1.0,-0.0,-0.8365980032857324,-0.8122498841568726,0.0
2018-11-06,-0.23006174153715137,-1.3263785394932937,1.0,-0.0,-0.8609750904832871,-0.8406216734085586,0.0
