Date,ACIW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3635200974421437,-0.7331303288672351,-0.20325822168087698,-0.4068209500609013,-0.33836784409257,0.0
2018-09-25,1.0,-0.3646464338985114,-0.7318803080575933,-0.20522967337371767,-0.40571063285744724,-0.3366107576633892,0.0
2018-09-26,1.0,-0.365754133804318,-0.7333049118426261,-0.20743628003288772,-0.4053107585492859,-0.33335363439812415,0.0
2018-09-27,1.0,-0.36505517283423766,-0.7366640248734987,-0.20666951167469363,-0.40587087727854654,-0.3339937816253124,0.0
2018-09-28,1.0,-0.3633315041765746,-0.7380647521492593,-0.2070605450887141,-0.40588988476312426,-0.3342174257667216,0.0
2018-10-01,1.0,-0.3641796505777968,-0.7371405921273287,-0.206939659115163,-0.40647010397292443,-0.33432935939262737,0.0
2018-10-02,1.0,-0.3652366590755216,-0.7776512586939128,-0.19600541638456329,-0.4060749676863421,-0.33252292730965716,0.0
2018-10-03,1.0,-0.36614682857671205,-0.7836405103864882,-0.19688097146027245,-0.4051963262035382,-0.3302101954015903,0.0
2018-10-04,1.0,-0.3650391951114129,-0.7873588050120364,-0.1968397012530091,-0.4038948213073267,-0.33306586013209066,0.0
2018-10-05,1.0,-0.36233670199654916,-0.7890374661079614,-0.1929997535124476,-0.4041779640128173,-0.33254251910278526,0.0
2018-10-08,1.0,-0.36101872382360184,-0.7869549150036954,-0.18831608770633163,-0.4100147819660015,-0.3332409460458241,0.0
2018-10-09,1.0,-0.3615337234370188,-0.7872189713581769,-0.18934400985525102,-0.4093932861102556,-0.3322143517092701,0.0
2018-10-10,1.0,-0.3611436317702878,-0.7884342843058724,-0.18842812249676505,-0.409452215170374,-0.3334462998336312,0.0
2018-10-11,1.0,-0.34287361903605684,-0.7921269879810611,-0.16462304236979483,-0.40163287604710457,-0.33382906397960427,0.0
2018-10-12,1.0,-0.3522498421954372,-0.7910066428206439,-0.16405662929453846,-0.38498301722324085,-0.3134750067630527,0.0
2018-10-15,1.0,-0.34869685323084315,-0.7975618544319001,-0.158719673312515,-0.3844282969012731,-0.31320562094643284,0.0
2018-10-16,1.0,-0.34627063103147643,-0.8103598593031297,-0.14965577368247002,-0.3859844271412681,-0.3140426299491928,0.0
2018-10-17,1.0,-0.34289817779240594,-0.8029681936506986,-0.14703330241464949,-0.3845187157775052,-0.31474222794051643,0.0
2018-10-18,1.0,-0.34265797032072765,-0.8027166108185735,-0.14713977979894688,-0.3847235519387267,-0.31465414073719483,0.0
2018-10-19,1.0,-0.33734294051092717,-0.800512118144465,-0.14181504198177813,-0.38527958077770497,-0.3124813910557971,0.0
