Date,IWF,IWM,MTUM,PD,SPY,VLUE,VXX
2019-12-09,-1.2260019134686935,-1.0521951738067397,-4.015945572446051,1.0,-2.803763155097268,-0.5325821196980971,0.0
2019-12-10,-1.2347284449786908,-1.0912468582668562,-4.128401267621025,1.0,-2.899027428696318,-0.5743634575456235,0.0
2019-12-11,-1.2348559535546062,-1.08850914667543,-4.1420747069777635,1.0,-2.9101763610472124,-0.5784861430605762,0.0
2019-12-12,-1.23192375109553,-1.0975021910604734,-4.142747589833479,1.0,-2.9083041191936894,-0.574934268185802,0.0
2019-12-13,-1.2395890261230735,-1.104929500491857,-4.173133675811564,1.0,-2.887856596349328,-0.5246475024592852,0.0
2019-12-16,-1.2535103115401491,-1.099714787187363,-4.200745941202282,1.0,-2.904673102237824,-0.5110794207985958,0.0
2019-12-17,-1.2404467316325414,-1.104784846162269,-4.206394393955984,1.0,-2.904631555896201,-0.4930471915033396,0.0
2019-12-18,-1.2355609648152246,-1.1481522460721398,-4.239544146935162,1.0,-2.945120601903076,-0.49590617393228587,0.0
2019-12-19,-1.2394631765749777,-1.1537267080745341,-4.246672582076308,1.0,-2.9493123336291034,-0.5022182786157942,0.0
2019-12-20,-1.2319307205506829,-1.153658265793272,-4.242367047851671,1.0,-2.9623626068613302,-0.5121572110580659,0.0
2019-12-23,-1.2411921116773765,-1.1748282738754707,-4.215710170618214,1.0,-2.965987148238422,-0.48138710392200307,0.0
2019-12-24,-1.2308547293542293,-1.1736134266977882,-4.24919417583639,1.0,-2.973324441480494,-0.4878292764254752,0.0
2019-12-26,-1.231632766477715,-1.1748360564632656,-4.248304990552406,1.0,-2.971657219073024,-0.48827386906746695,0.0
2019-12-27,-1.219298245614035,-1.1843215634021764,-4.249722407284033,1.0,-2.9610259826782146,-0.48945147679324896,0.0
2019-12-30,-1.2145478812145478,-1.191969747525303,-4.25781336892448,1.0,-2.968968968968969,-0.4890446001557113,0.0
2019-12-31,-1.1870479581617892,-1.2176477133637476,-4.274173806609547,1.0,-2.970735506843218,-0.47746745298764875,0.0
2020-01-02,-1.190031152647975,-1.219626168224299,-4.2723631508678235,1.0,-2.9691811303960836,-0.47485536270583,0.0
2020-01-03,-1.1673328891849877,-1.2280701754385965,-4.280146568954031,1.0,-2.9593604263824114,-0.46879857872529423,0.0
2020-01-06,-1.1339246119733923,-1.2529933481152993,-4.328159645232816,1.0,-2.9419068736141902,-0.42960088691796006,0.0
2020-01-07,-1.1315818645382996,-1.2531870080922292,-4.328566677751912,1.0,-2.938809444629199,-0.43321139563241323,0.0
2020-01-08,-1.1327934324384292,-1.2446194808076325,-4.330929664965609,1.0,-2.9309962280896382,-0.45440426003993795,0.0
2020-01-09,-1.1198228128460685,-1.2459579180509412,-4.326135105204872,1.0,-2.9233665559246953,-0.4589147286821705,0.0
2020-01-10,-1.0972485240057925,-1.2820541383535702,-4.3341873677175,1.0,-2.9260331959451933,-0.49994430210538043,0.0
2020-01-13,-1.0976397238922289,-1.2813404586951682,-4.333778668448007,1.0,-2.922623023825429,-0.49799599198396793,0.0
