Date,EFT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.08378079065709108,-0.2483891536344721,-0.0,-0.18098530102691454,-0.16480971877307202,0.0
2018-09-25,1.0,-0.08264157284490002,-0.24960510838514538,-0.0,-0.1819022013107041,-0.16624096790455387,0.0
2018-09-26,1.0,-0.08255477886812744,-0.24954630998790162,-0.0,-0.1818960881838957,-0.16635300443608014,0.0
2018-09-27,1.0,-0.08336832205297011,-0.2478041079555951,-0.0,-0.1819525385015871,-0.16633357405572444,0.0
2018-09-28,1.0,-0.08291339111738226,-0.24838742189074786,-0.0,-0.18201975408183835,-0.1664482967143721,0.0
2018-10-01,1.0,-0.08281100337764036,-0.24892033137844696,-0.0,-0.18203969147523902,-0.1666470617889731,0.0
2018-10-02,1.0,-0.0828065101889838,-0.2501849485506759,-0.0,-0.18185486582823326,-0.1664873226175264,0.0
2018-10-03,1.0,-0.08254475165980335,-0.24741574922262374,-0.0,-0.18272123707874613,-0.16813177577947727,0.0
2018-10-04,1.0,-0.08382066276803118,-0.24541238152853395,-0.0,-0.18429454863211667,-0.1669187336156483,0.0
2018-10-05,1.0,-0.07941284649078811,-0.24218410405590662,-0.0,-0.18360250108670212,-0.16663322967867053,0.0
2018-10-08,1.0,-0.08003080683777856,-0.24352470407018603,-0.0,-0.18351834178847087,-0.16719406633515832,0.0
2018-10-09,1.0,-0.08298129149064574,-0.24463555287333197,-0.0,-0.1831288137866291,-0.16562730503587472,0.0
2018-10-10,1.0,-0.08221062698186334,-0.245558109491133,-0.0,-0.1830109222690133,-0.16697146116806202,0.0
2018-10-11,1.0,-0.062987353384444,-0.2376482537186292,-0.0,-0.1727442500491449,-0.1647827796343621,0.0
2018-10-12,1.0,-0.06204557257855102,-0.234143728901584,-0.0,-0.16757011165930924,-0.15917943391326927,0.0
2018-10-15,1.0,-0.05138122441053194,-0.24311815254155003,-0.0,-0.16493777612350913,-0.15885294450827764,0.0
2018-10-16,1.0,-0.04790448264130769,-0.2495504398399404,-0.0,-0.16436891473747306,-0.15821277560872876,0.0
2018-10-17,1.0,-0.046632626680455015,-0.2474631592554292,-0.0,-0.16366662357807654,-0.15804356256463287,0.0
2018-10-18,1.0,-0.0469462316919396,-0.24842380936984707,-0.0,-0.16309935659090172,-0.15812021080539299,0.0
2018-10-19,1.0,-0.04021284438959499,-0.2423188498709791,-0.0,-0.16312727389290466,-0.15708492939913132,0.0
2018-10-22,1.0,-0.04100718268442787,-0.24734465637202127,-0.0,-0.16218083653367185,-0.1563157810165025,0.0
2018-10-23,1.0,-0.04223700276331856,-0.24736520789152366,-0.0,-0.16118822697770066,-0.1557901163164321,0.0
2018-10-24,1.0,-0.04161651178840259,-0.24714719052433914,-0.0,-0.16081660166594444,-0.15535975091081258,0.0
2018-10-25,1.0,-0.02817298211015636,-0.2289211313017483,-0.0,-0.1649997652251491,-0.14308744580613858,0.0
2018-10-26,1.0,-0.020512820512820513,-0.22428904428904434,-0.0,-0.16901320901320901,-0.14017094017094017,0.0
2018-10-29,1.0,-0.018081529570350627,-0.22422955950481085,-0.0,-0.1675679025735579,-0.13952371360840396,0.0
2018-10-30,1.0,-0.01193206471208083,-0.2246327403458749,-0.0,-0.16814913531271306,-0.14488935721812435,0.0
2018-10-31,1.0,-0.015562101886268644,-0.21402902663602574,-0.0,-0.1690547064176319,-0.14369881394882553,0.0
2018-11-01,1.0,-0.005165767154973015,-0.2228373168851195,-0.0,-0.1694680030840401,-0.14454895913646879,0.0
2018-11-02,1.0,-0.0065012910365178905,-0.21624861674658796,-0.0,-0.1710315996557236,-0.14316672814459608,0.0
2018-11-05,1.0,-0.004978488014751075,-0.22046711739397662,-0.0,-0.17143515673017823,-0.13970497848801475,0.0
2018-11-06,1.0,-0.008054970562464452,-0.22317187524018875,-0.0,-0.16946182343627503,-0.13650408128756553,0.0
2018-11-07,1.0,-0.007835666108439474,-0.22320893573217387,-0.0,-0.16897383502081828,-0.1363713183892329,0.0
2018-11-08,1.0,-0.006194323914076755,-0.2228730010272765,-0.0,-0.16813602980635073,-0.1360451388356511,0.0
2018-11-09,1.0,-0.006565827018071365,-0.22308471144110698,-0.0,-0.1680728990887614,-0.13634829564630443,0.0
