Date,IWF,IWM,MTUM,OSPN,SPY,VLUE,VXX
2018-09-24,-0.8341823593383321,-1.6229752160723485,-0.4126266384293973,1.0,-1.0369183217903954,-0.8170682845858851,0.0
2018-09-25,-0.8391067849985686,-1.6202691096478672,-0.4195820211852276,1.0,-1.0344689378757514,-0.812253077583739,0.0
2018-09-26,-0.8546033584250146,-1.645801968731905,-0.4325998841922409,1.0,-1.0477127967573827,-0.8096699478865085,0.0
2018-09-27,-0.8570932855242611,-1.6358799375397606,-0.4350818344803655,1.0,-1.0467873460181596,-0.808513099300214,0.0
2018-09-28,-0.8532344076049153,-1.644852770693253,-0.4363552051936007,1.0,-1.0497913285416183,-0.812137723162532,0.0
2018-10-01,-0.8537066017504203,-1.6437720976062136,-0.43656175737552894,1.0,-1.0499623253926855,-0.8121486118356228,0.0
2018-10-02,-0.8543948085057073,-1.6343936496900169,-0.4398864360623443,1.0,-1.0512775942986268,-0.8141259632655427,0.0
2018-10-03,-0.8536514739097701,-1.6214165749695952,-0.4381189552325245,1.0,-1.055886951989344,-0.8223200324318064,0.0
2018-10-04,-0.8568369886001969,-1.6133325617730456,-0.43903709276083563,1.0,-1.0597187662750998,-0.8177767490307274,0.0
2018-10-05,-0.8357563170647283,-1.605861313026422,-0.41606092073381795,1.0,-1.0762086073612553,-0.8351217260874582,0.0
2018-10-08,-0.8326709290939462,-1.601002246414377,-0.4087898162548241,1.0,-1.0830021312136398,-0.8345141408905018,0.0
2018-10-09,-0.8457656612529002,-1.6125870069605568,-0.42488399071925753,1.0,-1.0854408352668212,-0.8317285382830626,0.0
2018-10-10,-0.8460375603232746,-1.6191639048781905,-0.4221175649747078,1.0,-1.08843537414966,-0.8385371242514099,0.0
2018-10-11,-0.7630634671450999,-1.6158892128279885,-0.315541601255887,1.0,-1.0616169544740974,-0.8505830903790088,0.0
2018-10-12,-0.7677124110933451,-1.601863593758615,-0.3095329988421459,1.0,-1.02718200363897,-0.807299994486409,0.0
2018-10-15,-0.7536837475258413,-1.6226083131735212,-0.2896965031889158,1.0,-1.0254563448427536,-0.80668572685287,0.0
2018-10-16,-0.7521301742619977,-1.6277279973613326,-0.28563575394425816,1.0,-1.025287229948876,-0.8064427464130615,0.0
2018-10-17,-0.725135818406756,-1.566994782421602,-0.26625786670969825,1.0,-1.0120488408369643,-0.8085094938411059,0.0
2018-10-18,-0.7233824954246959,-1.5644310474755088,-0.2681128216169663,1.0,-1.0168478845946818,-0.8099364840133491,0.0
2018-10-19,-0.7056800472889462,-1.559353001235961,-0.24262453651458973,1.0,-1.0417002525659627,-0.8243860497608684,0.0
2018-10-22,-0.7073576799140708,-1.5522556390977444,-0.23780880773361976,1.0,-1.045220193340494,-0.827873254564984,0.0
2018-10-23,-0.712542336433525,-1.5530347830761788,-0.2472447717864631,1.0,-1.0386538358152788,-0.8246330842427826,0.0
