Date,IWF,IWM,MTUM,SPY,SYK,VLUE,VXX
2018-09-24,-0.2872808772912831,-0.43907254729315087,-0.17489794284799487,-0.42199631793804526,1.0,-0.34491315136476425,0.0
2018-09-25,-0.2907600715487092,-0.4375150172197453,-0.17953920495501507,-0.42034866647088664,1.0,-0.3415916918066049,0.0
2018-09-26,-0.2905964649970631,-0.43738986490094517,-0.17907299620868267,-0.4205425321727987,1.0,-0.34231323757142096,0.0
2018-09-27,-0.2921636116225086,-0.43306918541049655,-0.18028762773820006,-0.42050214786947354,1.0,-0.34213826409455966,0.0
2018-09-28,-0.2907004669779853,-0.4344496330887258,-0.18062708472314876,-0.4204136090727151,1.0,-0.34225483655770517,0.0
2018-10-01,-0.28996521273749,-0.4393898849344395,-0.18105432164838106,-0.42122023013112125,1.0,-0.34434037998394434,0.0
2018-10-02,-0.290955311747391,-0.4307465881723308,-0.18410489697618412,-0.42336098474712336,1.0,-0.3468022477923468,0.0
2018-10-03,-0.29106335144394185,-0.43138934239755905,-0.18427321146588868,-0.4231726574418542,1.0,-0.3465460482295319,0.0
2018-10-04,-0.2970241286863271,-0.42495978552278824,-0.18463806970509383,-0.43158176943699733,1.0,-0.34276139410187667,0.0
2018-10-05,-0.29153638525882575,-0.4208824394024426,-0.1797215318421123,-0.43472567412277185,1.0,-0.34557310457254337,0.0
2018-10-08,-0.2902717710502429,-0.4185487746275829,-0.17622403758876606,-0.438838165411928,1.0,-0.34574723690533393,0.0
2018-10-09,-0.2884086234071541,-0.41962973846605933,-0.17083856490262606,-0.4422835466032645,1.0,-0.35030587983864503,0.0
2018-10-10,-0.29010366570481994,-0.4183498984717324,-0.17270492679277546,-0.44343806775675965,1.0,-0.34717323928609595,0.0
2018-10-11,-0.26837387292933523,-0.4137659886768714,-0.14630949884671837,-0.4393740826169008,1.0,-0.35324491507653594,0.0
2018-10-12,-0.27204736678092867,-0.408071050171393,-0.14581385686091203,-0.4301184169523216,1.0,-0.3408122987431183,0.0
2018-10-15,-0.2674584446230843,-0.41446464227368207,-0.13961569379975625,-0.43025698208126967,1.0,-0.3413894147239582,0.0
2018-10-16,-0.2682420689476278,-0.4121034473813909,-0.14157868797177764,-0.4303649710772742,1.0,-0.34167725869627247,0.0
2018-10-17,-0.2656282289729283,-0.40589481297788793,-0.13972411655300682,-0.4295825583798305,1.0,-0.342374457532548,0.0
2018-10-18,-0.2643927648578811,-0.40405684754521964,-0.14080103359173127,-0.43193798449612403,1.0,-0.3427906976744186,0.0
2018-10-19,-0.2604791189563338,-0.3997375395620513,-0.13745722152175593,-0.43360008234052955,1.0,-0.3418675861359134,0.0
2018-10-22,-0.25863362392322214,-0.4137672349121763,-0.1475023928395892,-0.4285899060972139,1.0,-0.338360452182011,0.0
2018-10-23,-0.2580369622612207,-0.41447947403841173,-0.14562302634984728,-0.4306051664337112,1.0,-0.33964901382202206,0.0
2018-10-24,-0.2580636817464628,-0.41343990067509895,-0.143840045523913,-0.43123561211556866,1.0,-0.3400067251235095,0.0
2018-10-25,-0.24051433923102236,-0.38780469283924374,-0.14207608778191208,-0.43784645758979424,1.0,-0.3229554256207761,0.0
2018-10-26,-0.23436674964169874,-0.3826909054336074,-0.1331874984285032,-0.4439164215131629,1.0,-0.32023333584772823,0.0
2018-10-29,-0.23694222580563884,-0.3820454030083902,-0.1334374763788455,-0.44795787245836377,1.0,-0.3192320290256746,0.0
2018-10-30,-0.2249880083815102,-0.3861301153719926,-0.12398071242836585,-0.4532579334023377,1.0,-0.33621973694175855,0.0
2018-10-31,-0.22873502599261658,-0.3712549285516964,-0.1251663778598157,-0.45284914236922075,1.0,-0.3333584469725508,0.0
2018-11-01,-0.2199849359779061,-0.3839568164699975,-0.11481295505900076,-0.45578709515440624,1.0,-0.33612854632186795,0.0
